数据库：分省年度数据
指标：500-1000万元房地产开发投资额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.11,0.09,0.17,0.15,0.20,5.13,4.60,3.78,4.25,0.51,,0.43,,,,,,,,
天津市,,0.14,0.05,0.25,0.09,1.77,2.34,3.25,2.71,0.76,,0.50,,,,,,,,
河北省,0.36,0.33,0.25,1.22,2.41,10.85,7.84,6.15,6.63,3.55,,2.50,,,,,,,,
山西省,0.54,1.45,1.97,1.95,2.48,9.83,8.25,7.31,8.14,2.28,,1.69,,,,,,,,
内蒙古自治区,1.21,2.29,2.57,2.95,5.88,9.74,6.81,6.54,7.42,4.82,,5.99,,,,,,,,
辽宁省,0.71,1.28,1.81,1.78,1.31,9.78,6.03,5.50,7.84,4.31,,5.03,,,,,,,,
吉林省,0.52,1.27,1.88,0.93,0.39,1.24,1.65,3.55,4.04,3.82,,2.48,,,,,,,,
黑龙江省,1.03,1.49,1.59,2.83,4.37,8.11,5.44,5.47,6.45,3.70,,2.44,,,,,,,,
上海市,0.00,0.01,0.05,0.05,0.07,4.73,3.70,4.24,4.63,0.69,,1.31,,,,,,,,
江苏省,0.19,0.50,0.77,1.12,1.82,21.08,22.34,16.57,18.37,5.52,,7.99,,,,,,,,
浙江省,0.28,0.42,0.40,1.27,1.51,20.21,14.82,14.63,17.14,2.16,,3.63,,,,,,,,
安徽省,0.76,1.80,2.09,2.13,2.09,18.53,17.90,15.68,18.79,5.97,,6.69,,,,,,,,
福建省,0.32,0.58,0.50,0.81,1.70,16.19,12.62,13.41,13.33,2.89,,3.66,,,,,,,,
江西省,0.51,0.72,0.97,1.00,2.30,11.31,12.40,12.79,12.96,5.98,,7.14,,,,,,,,
山东省,0.93,1.76,2.13,2.11,4.25,24.47,21.41,17.67,17.85,4.66,,6.29,,,,,,,,
河南省,0.29,1.26,1.63,1.19,1.62,15.79,14.48,9.27,10.53,4.46,,4.93,,,,,,,,
湖北省,1.07,1.25,1.86,3.73,5.93,18.77,14.88,17.79,17.12,7.26,,7.17,,,,,,,,
湖南省,1.50,2.11,3.53,3.61,5.31,21.48,22.50,15.95,17.54,5.29,,5.45,,,,,,,,
广东省,1.71,2.15,3.36,3.85,3.72,25.49,25.27,24.08,27.92,10.03,,11.00,,,,,,,,
广西壮族自治区,0.81,1.15,1.72,1.15,2.37,17.85,16.34,14.93,12.18,2.55,,2.74,,,,,,,,
海南省,0.01,0.05,0.01,0.13,0.15,2.10,4.08,3.29,3.04,0.74,,0.42,,,,,,,,
重庆市,0.51,0.77,2.29,1.92,1.78,12.90,9.97,9.58,11.90,2.68,,4.01,,,,,,,,
四川省,0.83,1.47,2.73,4.46,5.51,27.47,15.86,17.43,19.11,8.35,,9.50,,,,,,,,
贵州省,0.18,1.00,1.51,1.89,2.07,14.08,13.93,13.65,14.07,5.85,,6.11,,,,,,,,
云南省,1.05,1.29,1.63,2.24,2.34,14.35,9.25,6.36,7.97,2.01,,1.58,,,,,,,,
西藏自治区,,,,0.03,0.18,0.30,0.12,0.08,0.34,0.17,,0.00,,,,,,,,
陕西省,0.54,0.61,1.52,1.87,2.26,9.82,7.06,6.77,7.96,2.56,,3.18,,,,,,,,
甘肃省,0.73,1.77,2.26,2.13,2.30,7.73,7.31,6.26,7.67,2.30,,2.12,,,,,,,,
青海省,0.14,0.21,0.22,0.51,0.54,1.98,1.49,0.67,0.48,0.55,,0.38,,,,,,,,
宁夏回族自治区,0.12,0.08,0.52,0.58,0.88,4.37,2.13,3.20,2.96,1.81,,1.54,,,,,,,,
新疆维吾尔自治区,1.65,3.30,3.27,4.91,4.90,13.72,6.45,7.55,7.98,3.75,,2.79,,,,,,,,
数据来源：国家统计局
