数据库：分省年度数据
指标：5-10亿元房地产开发投资额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,328.44,366.99,333.68,386.15,396.55,531.18,450.92,422.96,419.36,330.12,,254.57,,,,,,,,
天津市,327.34,287.20,277.40,308.83,248.78,86.36,129.78,84.25,41.45,76.56,,28.72,,,,,,,,
河北省,913.98,727.39,653.03,590.92,408.10,230.06,131.81,92.19,21.44,50.21,,23.71,,,,,,,,
山西省,266.39,269.81,170.97,157.20,111.73,48.78,21.54,5.00,,7.83,,6.17,,,,,,,,
内蒙古自治区,250.66,321.18,307.15,343.78,217.12,74.47,88.23,18.34,19.55,15.59,,4.09,,,,,,,,
辽宁省,1242.79,1607.25,1313.03,1028.29,669.17,428.18,341.73,200.59,99.07,166.55,,73.12,,,,,,,,
吉林省,292.82,310.19,259.86,293.20,191.45,102.76,73.78,35.40,20.24,26.33,,5.53,,,,,,,,
黑龙江省,216.77,300.01,250.77,179.83,115.55,73.06,65.41,24.60,56.12,32.81,,16.59,,,,,,,,
上海市,477.72,457.81,444.82,470.30,404.81,269.52,217.76,115.44,116.86,354.24,,222.44,,,,,,,,
江苏省,2135.87,1775.35,1465.97,1278.92,953.60,295.93,402.62,311.36,115.16,252.41,,100.41,,,,,,,,
浙江省,1749.34,1398.03,1175.31,932.43,693.65,187.38,251.88,218.55,149.31,307.12,,185.64,,,,,,,,
安徽省,1144.48,981.11,762.95,588.54,459.09,138.99,152.93,59.08,38.38,77.89,,25.65,,,,,,,,
福建省,882.11,755.23,559.36,435.45,391.96,132.80,130.90,128.06,97.45,68.54,,51.07,,,,,,,,
江西省,409.02,332.68,220.71,136.63,96.03,26.29,30.78,13.98,5.29,15.99,,14.63,,,,,,,,
山东省,1361.56,1337.99,1056.19,900.55,618.65,163.66,175.48,87.02,55.76,123.03,,45.93,,,,,,,,
河南省,1052.72,912.69,568.77,449.96,348.99,71.96,85.69,19.86,5.13,40.26,,13.75,,,,,,,,
湖北省,667.84,534.69,409.79,271.99,257.13,157.69,116.73,44.88,53.21,74.15,,22.62,,,,,,,,
湖南省,598.32,506.62,392.18,331.74,224.09,26.89,13.85,6.60,5.10,50.27,,9.14,,,,,,,,
广东省,1401.91,1245.59,1054.55,991.33,778.28,355.93,456.80,345.78,239.12,294.30,,199.40,,,,,,,,
广西壮族自治区,378.38,384.81,364.74,349.45,269.66,29.45,29.17,28.40,19.87,29.76,,6.82,,,,,,,,
海南省,287.87,227.96,178.26,145.37,95.76,15.67,14.16,5.54,,6.68,,1.16,,,,,,,,
重庆市,635.57,541.74,434.70,343.70,284.80,201.47,164.89,105.73,74.96,71.78,,35.17,,,,,,,,
四川省,1510.68,1283.92,884.14,564.46,410.02,161.03,182.80,181.58,88.48,74.77,,18.21,,,,,,,,
贵州省,376.60,298.98,214.29,124.99,77.87,32.03,25.81,,,11.02,,5.54,,,,,,,,
云南省,475.57,367.87,279.49,220.37,141.28,92.43,77.45,30.80,30.22,30.55,,16.63,,,,,,,,
西藏自治区,18.48,,1.40,1.10,1.20,,,,,,,0.00,,,,,,,,
陕西省,409.47,440.66,372.67,326.29,293.91,83.89,76.75,60.90,10.60,23.46,,25.18,,,,,,,,
甘肃省,180.87,135.75,94.35,47.81,23.78,8.91,8.62,,5.21,8.50,,2.40,,,,,,,,
青海省,56.86,54.12,40.51,16.07,11.55,6.89,,,,5.57,,0.77,,,,,,,,
宁夏回族自治区,173.27,138.83,96.37,54.05,28.89,,5.47,,,7.84,,3.63,,,,,,,,
新疆维吾尔自治区,181.10,117.18,73.97,57.35,20.87,,6.25,21.28,,6.82,,2.97,,,,,,,,
数据来源：国家统计局
