数据库：分省年度数据
指标：500万元以下房地产开发投资额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,0.03,0.06,0.11,3.41,1.77,1.79,2.00,0.29,,0.20,,,,,,,,
天津市,0.00,0.01,,0.01,0.05,2.14,1.22,1.34,1.42,25.31,,0.07,,,,,,,,
河北省,0.05,0.17,0.09,0.08,0.30,3.36,2.24,2.32,2.96,0.88,,0.78,,,,,,,,
山西省,,,,,0.36,3.62,2.51,2.79,3.28,0.76,,0.83,,,,,,,,
内蒙古自治区,0.05,0.09,0.23,0.47,1.10,2.96,2.09,1.85,2.23,1.86,,2.24,,,,,,,,
辽宁省,0.09,0.22,0.30,0.27,0.51,3.95,2.42,2.17,3.05,1.31,,1.19,,,,,,,,
吉林省,0.06,0.25,0.49,0.07,0.19,0.42,0.56,0.69,0.83,0.56,,0.83,,,,,,,,
黑龙江省,,0.01,0.13,0.37,0.85,3.31,1.26,1.77,2.37,1.25,,0.30,,,,,,,,
上海市,,,,,0.00,1.90,1.77,1.83,1.85,0.23,,0.26,,,,,,,,
江苏省,0.00,0.07,0.11,0.17,0.24,9.96,8.20,6.03,5.72,2.48,,2.43,,,,,,,,
浙江省,0.04,0.00,0.04,0.12,0.19,7.66,5.93,6.11,6.88,1.24,,1.00,,,,,,,,
安徽省,0.11,0.19,0.52,0.27,1.07,7.32,6.55,5.86,6.41,2.39,,2.42,,,,,,,,
福建省,0.10,0.15,0.16,0.25,0.40,7.57,6.38,6.68,6.84,1.67,,0.91,,,,,,,,
江西省,0.01,0.18,0.05,0.10,0.23,4.65,4.89,3.70,4.85,1.21,,1.96,,,,,,,,
山东省,0.18,0.45,0.51,0.53,0.45,8.90,7.95,5.67,6.77,1.06,,1.42,,,,,,,,
河南省,0.03,0.26,0.26,0.37,0.41,5.94,5.32,3.35,4.25,2.57,,1.78,,,,,,,,
湖北省,0.15,0.30,0.42,0.89,1.70,9.12,6.94,5.58,6.95,3.15,,2.98,,,,,,,,
湖南省,0.27,0.40,0.54,0.77,0.93,8.13,7.79,5.10,6.49,3.73,,1.82,,,,,,,,
广东省,0.27,0.50,0.78,1.21,0.96,12.50,11.93,12.46,13.06,3.98,,3.60,,,,,,,,
广西壮族自治区,0.16,0.21,0.34,0.55,0.49,5.35,6.51,5.35,5.40,0.74,,1.03,,,,,,,,
海南省,0.04,,,,0.04,0.66,1.27,0.91,1.42,0.12,,0.03,,,,,,,,
重庆市,0.06,0.19,0.28,0.39,0.57,7.41,3.59,3.48,4.29,0.77,,1.02,,,,,,,,
四川省,0.11,0.01,0.22,0.69,1.33,11.23,5.53,5.97,7.92,2.33,,2.74,,,,,,,,
贵州省,0.08,0.20,0.32,0.47,0.71,7.11,6.49,6.13,6.58,1.72,,2.46,,,,,,,,
云南省,0.01,0.13,0.28,0.33,0.49,5.02,3.27,3.54,3.12,1.03,,0.84,,,,,,,,
西藏自治区,0.00,0.04,0.02,0.01,0.01,0.04,0.14,0.02,0.05,0.02,,0.00,,,,,,,,
陕西省,0.09,0.04,0.04,0.22,0.29,3.57,2.82,2.76,2.79,2.50,,0.87,,,,,,,,
甘肃省,0.08,0.47,0.22,0.23,0.92,3.22,2.82,2.89,2.89,1.06,,1.02,,,,,,,,
青海省,,0.05,,0.12,0.29,0.78,0.39,0.47,0.61,0.13,,0.05,,,,,,,,
宁夏回族自治区,,,0.05,0.16,0.21,0.74,0.59,0.80,1.04,0.44,,0.50,,,,,,,,
新疆维吾尔自治区,0.42,0.48,1.08,1.12,1.84,5.54,2.30,2.54,3.01,1.56,,0.90,,,,,,,,
数据来源：国家统计局
