数据库：分省年度数据
指标：石油及天然气开采业固定资产投资(不含农户)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.61,1.11,,0.14,0.10,13.16,18.16,4.62,0.03,0.03,0.06,,,,,,,,,
天津市,303.82,286.57,172.02,219.77,306.40,393.16,268.25,179.06,182.19,123.41,22.88,88.19,58.37,63.74,60.14,,,,,30.77
河北省,40.70,39.65,26.81,36.79,33.50,9.77,69.60,74.19,37.97,24.89,7.23,2.40,4.89,3.50,3.35,,,,,3.06
山西省,140.64,111.63,88.31,65.68,21.60,16.49,1.90,0.44,,,0.02,,,,,,,,,
内蒙古自治区,159.06,141.31,53.64,96.48,196.60,187.33,225.70,110.18,35.94,22.15,14.84,5.67,0.61,0.59,0.70,,,,,
辽宁省,95.98,131.46,90.71,110.40,145.80,89.03,102.75,144.93,124.21,94.90,16.52,71.76,68.47,68.55,67.50,,,,,54.91
吉林省,253.73,177.90,228.44,160.13,242.40,206.23,175.52,153.82,111.18,66.39,0.62,43.53,38.14,33.10,22.20,,,,,17.40
黑龙江省,306.98,338.93,312.55,350.32,339.90,332.68,341.90,287.45,212.50,166.44,3.29,113.69,123.56,121.38,139.44,,,,,103.85
上海市,,,,0.57,0.30,8.21,29.03,14.80,2.14,1.68,2.01,2.47,0.66,1.24,2.17,,,,,0.07
江苏省,35.89,32.14,28.20,15.01,27.30,25.34,19.20,11.85,14.97,12.57,11.18,8.85,8.38,9.07,10.74,,,,,6.28
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,3.40,2.04,0.66,1.04,1.60,0.20,0.67,0.20,0.01,0.02,0.02,0.01,0.01,0.01,,,,,,
福建省,11.89,,,,,,,0.11,,,,0.09,0.09,,0.10,,,,,
江西省,,,,,,,2.42,,,,,,,,,,,,,
山东省,298.87,289.08,283.62,289.60,219.10,206.65,185.66,120.81,139.88,117.68,0.45,119.04,117.01,127.73,132.95,,,,,79.97
河南省,42.13,50.28,59.54,59.03,71.50,75.88,72.75,68.40,55.33,55.37,73.73,61.24,55.30,56.96,43.95,,,,,26.10
湖北省,0.82,3.20,0.56,4.45,3.60,30.53,30.76,29.94,17.87,12.85,10.76,10.45,12.79,16.05,13.20,,,,,3.77
湖南省,,0.30,,2.11,0.40,0.59,,,0.04,,0.03,0.00,,,,,,,,
广东省,135.52,89.18,28.15,30.87,12.30,54.03,44.47,39.43,26.51,10.24,0.75,20.56,21.21,14.20,4.41,,,,,6.28
广西壮族自治区,2.24,1.90,0.35,4.94,1.80,1.89,0.85,1.38,0.14,0.16,,,,,,,,,,0.04
海南省,5.72,3.30,3.01,11.43,0.30,4.40,0.27,0.73,0.75,,0.20,0.54,1.89,3.10,5.00,,,,,3.62
重庆市,115.01,33.00,12.19,23.46,8.90,10.27,7.61,3.44,0.65,0.68,0.61,1.57,0.67,0.22,0.34,,,,,
四川省,14.35,13.46,6.19,,10.50,17.55,26.22,22.84,17.53,15.90,12.74,6.55,7.91,8.99,11.63,,,,,24.23
贵州省,,,,1.08,,0.42,0.04,,0.54,0.52,0.47,0.39,0.69,0.52,0.10,,,,,
云南省,,,,0.17,0.80,0.72,0.37,,0.00,0.02,,,,0.00,0.03,,,,,
西藏自治区,,,,,,,,,0.03,0.02,,,,,,,,,,
陕西省,394.27,502.79,299.49,301.25,256.00,213.62,177.58,190.73,133.92,95.71,80.50,55.04,32.04,29.14,23.98,,,,,3.16
甘肃省,121.20,115.70,75.24,20.98,11.70,17.56,22.40,15.19,8.86,6.11,5.09,11.55,10.25,7.97,6.57,,,,,4.29
青海省,59.85,62.34,39.92,34.51,39.40,33.36,37.68,29.38,31.74,30.73,28.22,19.02,17.78,17.18,16.92,,,,,6.00
宁夏回族自治区,4.52,8.03,0.86,0.95,1.60,4.10,4.00,1.64,1.47,,,0.10,,0.10,,,,,,
新疆维吾尔自治区,605.64,525.30,440.50,431.36,387.90,323.37,366.39,360.56,308.45,262.06,18.03,158.48,122.90,135.33,129.38,,,,,85.85
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
