数据库：分省年度数据
指标：人均地区生产总值(元/人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,99995,94648,87475,81658,73856,66940,64491,60096,49505,45444,41099,34892,30840,26998,24122,21407,19128,16621,14254,12690
天津市,105231,100105,93173,85213,72994,62574,58656,47970,40961,35783,30575,25544,21387,19141,17353,15405,14243,13142,11734,9769
河北省,39984,38909,36584,33969,28668,24581,22986,19662,16894,14782,12487,10251,8960,8251,7592,6849,6501,6079,5345,4444
山西省,35070,34984,33628,31357,26283,21522,21506,17805,14106,12495,10742,8642,7082,6226,5722,5230,5104,4724,4178,3515
内蒙古自治区,71046,67836,63886,57974,47347,39735,34869,26521,20047,16331,12767,10039,8162,7216,6502,5861,5406,4980,4457,3772
辽宁省,65201,61996,56649,50760,42355,35149,31739,26057,21802,18983,15835,14270,13000,12015,11177,10086,9415,8725,7730,6880
吉林省,50160,47428,43415,38460,31599,26595,23521,19383,15625,13348,11537,9854,8714,7893,7351,6382,5983,5591,5178,4402
黑龙江省,39226,37697,35711,32819,27076,22447,21740,18580,16268,14434,12449,10638,9541,8900,8294,7578,7375,7133,6382,5402
上海市,97370,90993,85373,82560,76074,69165,66932,62041,57310,51474,46338,39128,35329,32201,29671,27071,25206,23397,20647,17779
江苏省,81874,75354,68347,62290,52840,44253,40014,33837,28685,24560,20223,16830,14396,12882,11765,10695,10049,9371,8471,7319
浙江省,73002,68805,63374,59249,51711,43842,41405,36676,31684,27703,24352,20444,16978,14713,13416,12214,11394,10624,9552,8149
安徽省,34425,32001,28792,25659,20888,16408,14448,12039,10044,8670,7681,6375,5736,5313,4779,4495,4235,3929,3524,3070
福建省,63472,58145,52763,47377,40025,33437,29755,25582,21152,18646,16469,14333,12938,11892,11194,10323,9603,8775,7646,6526
江西省,34674,31930,28800,26150,21253,17335,15900,13322,10679,9440,8097,6624,5829,5221,4851,4402,4124,3890,3452,2896
山东省,60879,56885,51768,47335,41106,35894,32936,27604,23546,20096,16413,13268,11340,10195,9326,8483,7968,7461,6746,5701
河南省,37072,34211,31499,28661,24446,20597,19181,16012,13279,11346,9201,7376,6487,5959,5450,4832,4643,4389,3978,3297
湖北省,47145,42826,38572,34197,27906,22677,19858,16386,13150,11431,9898,8378,7437,6867,6293,5452,5287,4884,4311,3671
湖南省,40271,36943,33480,29880,24719,20428,18147,14869,11830,10426,9165,7589,6734,6120,5425,4933,4667,4420,3963,3359
广东省,63469,58833,54095,50807,44736,39436,37638,33272,28077,24435,20870,17795,15361,13849,12736,11415,10819,10130,9139,8129
广西壮族自治区,33090,30741,27952,25326,20219,16045,14652,12277,10240,8788,7461,6169,5558,5058,4652,4444,4346,3928,3706,3304
海南省,38924,35663,32377,28898,23831,19254,17691,14923,12650,10871,9812,8592,7781,7052,6798,6294,5912,5567,5346,5063
重庆市,47850,43223,38914,34500,27596,22920,20490,16629,12437,10982,9624,8091,7052,6219,5616,5804,5579,5253,4574,3931
四川省,35128,32617,29608,26133,21182,17339,15495,12963,10546,9060,7895,6623,5890,5376,4956,4540,4294,4032,3550,3043
贵州省,26437,23151,19710,16413,13119,10971,9855,7878,5750,5052,4317,3701,3257,3000,2759,2545,2364,2250,2048,1826
云南省,27264,25322,22195,19265,15752,13539,12570,10609,8961,7835,7012,5871,5366,5015,4769,4558,4446,4121,3779,3083
西藏自治区,29252,26326,22936,20077,17027,15008,13588,12083,10396,9114,8103,6893,6117,5324,4572,4180,3666,3144,2688,2358
陕西省,46929,43117,38564,33464,27133,21947,19700,15546,11762,9899,8587,7028,6145,5506,4968,4415,4070,3834,3446,2965
甘肃省,26433,24539,21978,19595,16113,13269,12421,10614,8749,7477,6566,5429,4768,4386,4129,3778,3541,3199,2946,2316
青海省,39671,36875,33181,29522,24115,19454,18421,14507,11753,10045,8693,7346,6478,5774,5138,4728,4426,4122,3799,3513
宁夏回族自治区,41834,39613,36394,33043,26860,21777,19609,15142,11784,10239,9199,7734,6647,6039,5376,4900,4607,4277,3926,3448
新疆维吾尔自治区,40648,37553,33796,30087,25034,19942,19797,16999,14871,13108,11337,9828,8457,7945,7372,6443,6174,5848,5102,4701
数据来源：国家统计局
