数据库：分省年度数据
指标：第三产业增加值(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,16627.04,15348.61,13669.93,12363.18,10600.84,9179.19,8375.76,7236.15,5837.55,4854.33,4092.27,3435.95,2982.57,2484.83,2049.12,1693.13,1458.75,1218.06,1001.19,789.72
天津市,7795.18,6979.60,6058.46,5219.24,4238.65,3405.16,2886.65,2250.04,1902.31,1658.19,1319.76,1150.81,997.47,881.30,764.36,671.30,602.47,519.10,445.16,352.62
河北省,10960.84,10279.12,9384.78,8483.17,7123.77,6068.31,5276.04,4600.72,3895.36,3340.54,2805.47,2439.68,2149.75,1906.31,1704.45,1519.63,1381.08,1257.64,1087.42,895.41
山西省,5678.69,5311.18,4682.95,3960.87,3412.38,2886.92,2759.46,2257.99,1846.18,1611.07,1375.67,1176.65,992.69,902.43,807.49,721.67,642.58,576.58,493.62,412.89
内蒙古自治区,7022.55,6236.66,5630.50,5015.89,4209.03,3696.65,3212.06,2467.41,1934.35,1542.26,1270.00,1000.79,811.47,699.24,605.74,525.93,462.06,408.60,345.50,288.10
辽宁省,11956.19,11033.12,9460.12,8158.98,6849.37,5891.25,5207.72,4486.74,3798.26,3295.45,2811.95,2487.85,2258.17,2048.09,1821.22,1649.41,1495.05,1364.20,1145.92,1011.20
吉林省,4992.54,4707.70,4150.36,3679.91,3111.12,2756.26,2412.26,2025.44,1687.07,1413.83,1223.64,1075.48,958.88,858.74,783.89,594.96,561.90,529.21,433.73,358.02
黑龙江省,6883.61,6134.12,5540.31,4918.09,4040.55,3371.95,2905.68,2493.04,2096.35,1857.42,1657.77,1467.90,1319.40,1181.20,1036.55,932.40,863.00,774.40,655.80,571.60
上海市,15275.72,13785.45,12199.15,11142.86,9833.51,8930.85,7872.23,6821.11,5508.48,4776.20,4097.26,3404.19,3038.90,2728.94,2486.86,2129.60,1855.36,1592.74,1292.11,1020.20
江苏省,30599.49,27197.43,23517.98,20842.21,17131.45,13629.07,11888.53,9730.91,7914.11,6612.22,5198.03,4493.31,3891.92,3454.90,3069.46,2740.30,2512.69,2232.68,1940.91,1573.75
浙江省,19220.79,17948.72,15681.13,14180.23,12063.82,9918.78,8799.31,7613.46,6281.86,5360.10,4584.22,3890.79,3227.99,2665.68,2236.12,1862.87,1676.38,1512.64,1361.43,1153.07
安徽省,7378.68,6572.14,5628.48,4975.96,4193.69,3662.15,3234.64,2789.78,2390.29,2137.77,1963.90,1638.42,1399.02,1231.06,1103.54,991.30,878.38,782.21,682.79,566.45
福建省,9525.60,8664.66,7737.13,6878.74,5850.62,5048.49,4346.40,3770.00,3022.83,2551.41,2206.02,1949.91,1765.80,1618.24,1495.52,1351.03,1214.82,1079.46,920.23,747.74
江西省,5782.98,5108.66,4486.06,3921.20,3121.40,2637.07,2355.86,1918.95,1614.65,1411.92,1225.80,1043.08,972.73,883.56,817.17,740.43,661.21,581.75,488.44,391.35
山东省,25840.12,23221.51,19995.81,17370.89,14343.14,11768.18,10358.64,8620.24,7187.26,5924.74,4764.70,4112.43,3700.52,3279.53,2904.45,2628.52,2397.49,2194.70,1899.54,1587.44
河南省,12961.67,11475.70,9157.57,7991.72,6607.89,5700.91,5099.76,4511.97,3721.44,3181.27,2722.40,2358.86,1978.37,1788.22,1597.26,1413.73,1299.02,1171.26,1019.43,830.40
湖北省,11349.93,9974.92,8208.58,7247.02,6053.37,5127.12,4466.85,3812.34,3111.98,2655.94,2292.55,2003.08,1795.93,1613.97,1445.71,1260.86,1136.72,1016.69,859.75,709.43
湖南省,11406.51,10077.39,8643.60,7539.54,6369.27,5402.81,4633.67,3835.40,3229.42,2882.88,2428.95,1995.78,1780.79,1593.35,1473.39,1243.30,1074.14,951.73,826.09,676.16
广东省,33223.28,30503.44,26519.69,24097.70,20711.55,18052.59,16321.46,14076.83,11585.82,9772.50,8335.30,7178.94,6343.94,5544.35,4755.42,3882.66,3469.21,3091.81,2592.22,2168.34
广西壮族自治区,5934.49,5427.94,4615.30,3998.33,3383.11,2919.13,2529.51,2156.76,1835.12,1560.92,1361.92,1178.25,1074.85,931.82,789.90,721.35,657.31,620.44,575.65,508.55
