数据库：分省年度数据
指标：住宿和餐饮业增加值(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,363.76,374.75,373.06,348.42,317.34,262.51,274.43,244.96,218.39,182.30,163.30,,,,,,,,,
天津市,230.28,221.13,222.18,194.52,157.66,131.84,109.98,92.61,79.41,65.97,56.45,,,,,,,,,
河北省,399.86,377.82,388.87,338.91,265.02,247.14,222.89,203.83,175.45,167.31,106.05,,,,,,,,,
山西省,299.16,272.98,299.67,261.33,231.62,203.58,172.42,137.30,113.39,109.60,96.59,,,,,,,,,
内蒙古自治区,569.25,468.85,433.94,381.64,332.24,294.73,254.34,199.69,165.81,140.11,120.52,,,,,,,,,
辽宁省,568.77,536.39,487.49,436.13,369.61,318.80,275.86,231.54,202.49,180.81,163.20,,,,,,,,,
吉林省,283.79,268.88,240.70,205.69,180.01,157.73,137.69,117.35,97.39,83.39,64.93,,,,,,,,,
黑龙江省,438.79,387.73,367.40,308.98,253.78,211.00,167.89,141.16,121.96,105.95,93.36,,,,,,,,,
上海市,359.28,311.81,298.40,279.34,266.45,238.36,244.26,219.36,194.08,168.31,150.88,,,,,,,,,
江苏省,1094.45,1027.97,1045.21,919.13,710.98,678.36,584.67,432.83,375.08,299.13,235.58,,,,,,,,,
浙江省,884.91,768.64,655.74,620.25,523.67,416.84,388.01,321.39,262.15,224.84,202.55,,,,,,,,,
安徽省,347.66,314.98,268.95,252.62,193.78,157.14,144.35,121.00,105.59,96.27,95.73,,,,,,,,,
福建省,374.61,353.23,337.48,300.35,266.47,235.98,205.57,175.10,151.83,120.84,93.14,,,,,,,,,
江西省,353.48,319.71,310.84,270.29,200.71,167.59,131.71,92.45,79.97,67.11,54.16,,,,,,,,,
山东省,1112.19,985.96,1059.47,881.58,670.97,594.50,540.05,467.78,389.89,344.33,304.14,,,,,,,,,
河南省,998.35,911.67,898.36,797.99,605.23,526.51,511.71,493.40,377.94,302.23,263.32,,,,,,,,,
湖北省,635.32,579.73,512.02,446.52,385.11,337.81,288.67,228.07,182.51,155.45,139.13,,,,,,,,,
湖南省,545.69,501.67,460.70,406.87,354.91,304.93,280.99,224.81,176.21,155.32,126.74,,,,,,,,,
广东省,1333.81,1257.44,1308.40,1192.28,1074.85,945.76,848.40,717.60,614.35,520.92,448.57,,,,,,,,,
广西壮族自治区,364.15,359.57,364.46,307.88,241.34,208.00,197.73,168.21,132.27,112.06,99.28,,,,,,,,,
海南省,154.66,139.03,98.96,89.75,69.45,60.22,55.02,43.63,35.10,28.40,24.39,,,,,,,,,
重庆市,321.64,290.93,189.98,166.31,142.11,132.88,111.63,91.85,77.24,66.56,57.67,,,,,,,,,
四川省,751.28,685.84,621.72,562.63,478.42,405.45,335.13,299.75,255.19,221.42,195.10,,,,,,,,,
贵州省,322.71,294.86,266.58,224.40,180.73,153.41,130.41,90.09,57.07,43.85,27.09,,,,,,,,,
云南省,413.41,373.24,330.67,278.20,190.34,162.10,149.03,123.17,93.54,98.51,60.20,,,,,,,,,
西藏自治区,28.97,25.47,23.78,17.75,15.75,14.70,11.72,12.89,11.62,9.54,11.70,,,,,,,,,
陕西省,365.85,338.51,312.27,266.92,218.16,175.01,165.35,132.66,107.03,88.23,64.60,,,,,,,,,
甘肃省,178.23,159.64,141.68,123.61,97.40,88.52,77.21,68.21,59.56,53.53,47.75,,,,,,,,,
青海省,37.30,34.42,21.39,18.93,16.30,14.54,13.73,12.33,11.11,9.38,8.60,,,,,,,,,
宁夏回族自治区,47.74,44.16,42.67,37.15,31.00,25.59,22.55,17.12,13.54,11.54,10.00,,,,,,,,,
新疆维吾尔自治区,142.85,130.43,108.39,77.87,68.06,62.25,74.60,57.69,51.77,45.70,41.00,,,,,,,,,
数据来源：国家统计局
