数据库：分省年度数据
指标：第二产业增加值指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,106.9,108.1,107.5,106.7,113.7,110.4,100.8,112.7,110.5,110.1,117.0,112.0,108.4,109.5,111.4,112.0,109.6,108.1,106.2,107.7
天津市,109.9,112.6,115.2,118.3,120.2,118.0,118.0,116.6,116.2,117.6,119.8,118.0,114.3,112.8,111.5,111.7,107.4,111.7,114.3,114.1
河北省,105.0,109.0,111.5,113.4,113.4,110.5,110.5,114.1,115.1,115.4,114.8,114.3,110.6,108.3,110.1,110.6,112.2,114.9,116.6,115.4
山西省,103.6,109.8,110.8,116.5,118.3,101.9,106.4,117.2,115.6,116.4,117.5,116.7,115.0,110.8,108.4,109.9,109.2,113.3,111.4,113.4
内蒙古自治区,109.0,110.8,113.3,117.1,118.2,121.1,121.6,126.0,127.1,134.9,122.8,127.7,115.7,110.9,111.7,110.0,109.6,114.0,111.4,111.0
辽宁省,105.2,108.9,109.8,114.1,116.8,115.6,116.1,117.8,117.1,114.4,116.0,112.3,109.8,107.5,110.7,108.5,107.6,110.5,107.8,107.1
吉林省,106.6,108.8,114.0,117.7,118.8,117.1,118.4,121.2,117.0,111.6,115.2,114.1,110.5,111.1,110.9,110.8,107.7,108.8,113.1,111.6
黑龙江省,102.8,106.7,110.3,113.0,114.5,113.1,111.9,112.0,112.9,112.6,112.9,111.9,110.9,110.0,109.8,107.6,110.0,110.1,110.5,110.2
上海市,104.2,105.9,103.1,106.3,116.8,103.5,107.5,111.5,112.0,110.5,114.9,116.1,112.1,112.0,109.8,109.0,108.2,110.6,111.1,114.8
江苏省,108.2,110.0,111.1,111.7,113.1,112.5,113.2,115.5,116.0,116.0,117.1,117.2,113.7,110.9,111.6,111.3,112.1,112.6,112.3,116.2
浙江省,107.2,106.3,107.3,109.2,112.4,106.8,109.3,115.6,114.3,112.7,116.4,116.8,113.4,111.0,111.7,111.4,110.8,112.8,115.5,118.4
安徽省,109.9,111.5,114.4,118.0,120.7,116.8,116.1,119.7,118.7,118.4,114.7,113.4,111.6,109.5,109.5,107.5,109.7,112.7,114.3,111.2
福建省,111.9,113.2,114.3,116.2,118.1,113.7,115.1,118.2,116.6,112.3,114.9,115.6,113.8,110.2,111.2,111.5,112.4,116.1,114.3,117.3
江西省,110.9,112.0,113.1,115.2,118.2,117.1,117.0,117.3,116.3,117.1,118.6,124.3,118.5,112.9,106.7,106.5,111.1,115.5,113.3,103.0
山东省,109.2,110.5,110.5,111.7,112.8,113.9,112.0,115.8,116.6,117.4,119.3,116.8,115.0,111.0,112.0,112.1,112.1,112.7,113.8,114.1
河南省,109.4,109.6,111.4,113.2,114.8,112.4,114.6,118.1,117.7,117.6,116.2,117.0,111.6,109.9,111.8,107.8,109.2,110.9,116.0,117.2
湖北省,110.1,111.3,113.2,117.9,120.2,116.8,116.6,116.7,116.0,115.2,113.6,110.2,110.1,109.9,109.1,108.2,111.2,113.4,115.5,116.1
湖南省,109.3,110.9,112.8,117.0,120.2,118.9,115.2,118.6,117.1,112.9,116.1,112.5,110.9,110.3,110.6,109.3,111.5,113.3,116.3,113.5
广东省,107.9,108.0,107.3,110.5,114.7,109.2,111.6,117.1,117.0,115.2,118.8,120.3,113.7,110.7,112.0,110.6,112.4,112.9,112.6,118.7
广西壮族自治区,110.1,111.6,114.2,116.4,120.5,117.7,117.4,120.8,119.3,118.4,117.1,114.6,111.3,108.0,108.3,106.6,112.8,106.4,109.3,108.6
海南省,111.0,109.1,111.0,115.3,119.2,112.6,105.3,124.4,119.8,116.9,115.9,119.5,112.9,108.8,107.7,108.0,109.0,105.6,102.2,94.3
重庆市,112.7,113.4,115.6,121.8,122.7,117.9,118.2,120.9,117.1,113.3,116.9,116.6,114.3,112.2,110.8,110.6,107.2,112.5,112.2,114.2
四川省,108.9,111.5,115.2,120.6,122.0,119.5,113.7,120.4,118.2,117.8,118.3,115.2,111.9,110.2,108.2,106.0,110.8,111.6,109.2,111.5
贵州省,112.3,114.1,116.8,117.9,116.6,112.1,108.1,113.2,113.4,112.0,114.2,113.3,113.2,107.0,107.6,113.2,111.8,112.3,112.6,110.5
云南省,109.1,112.5,116.7,117.9,115.8,113.6,112.1,115.2,116.8,107.5,112.7,110.1,109.3,103.9,105.8,107.0,109.2,110.6,111.5,113.5
西藏自治区,114.6,120.0,114.4,118.3,114.1,121.7,107.9,116.0,123.0,123.6,111.4,113.4,120.5,117.8,116.1,120.2,121.1,114.4,90.8,167.5
陕西省,110.9,112.6,114.8,116.4,118.0,113.8,118.5,117.5,114.6,116.1,116.7,115.8,113.4,111.2,111.1,112.4,113.8,112.6,112.8,115.2
甘肃省,109.2,111.3,114.2,115.2,115.3,111.0,108.4,116.8,114.3,113.2,112.3,111.7,110.2,109.5,110.1,108.5,108.8,110.0,110.4,110.0
青海省,110.0,112.3,114.1,117.4,119.3,111.3,116.5,114.9,115.8,115.9,116.6,116.5,116.5,115.1,111.7,109.4,111.5,110.6,110.6,109.3
宁夏回族自治区,109.2,112.5,113.8,117.6,116.0,114.4,114.6,116.2,116.7,115.3,114.8,118.6,112.7,111.3,114.8,109.8,107.9,108.4,109.3,113.3
新疆维吾尔自治区,111.2,112.5,113.7,112.0,112.6,108.5,114.3,112.7,111.2,114.4,114.0,111.6,107.4,108.1,108.6,106.8,105.7,105.2,107.8,111.5
数据来源：国家统计局
