数据库：分省年度数据
指标：城镇居民消费水平(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,38515,35836,32857,30037,26949,23812,21872,20320,18185,16478,15438,13826,12505,10301,10145,7040,6240,8594,7477,6497
天津市,31000,28779,25569,23360,20482,17483,16452,14218,12600,11415,10348,9377,8604,8231,7398,7346,6916,6117,5389,4495
河北省,17589,17198,16554,15331,13619,12195,10835,10031,8971,7851,7096,6063,5776,4991,4523,5033,4463,3765,3499,3397
山西省,17189,16341,15091,14055,12680,10617,10262,9252,8143,7104,6441,5172,4764,3552,4311,3932,3902,4173,3939,3412
内蒙古自治区,25885,23590,21308,18996,16136,14323,12863,10930,8930,7887,6415,5593,5327,4431,4045,3765,3242,3311,3031,2683
辽宁省,27282,25161,23065,20560,17488,14786,13265,10845,9317,8749,7748,7147,7874,7366,6903,6366,5869,5665,4975,4540
吉林省,18549,18714,16873,14804,13090,12085,10891,9598,8166,7630,6869,6830,6153,5813,5309,5216,4857,4665,4180,3665
黑龙江省,20068,17102,15538,14347,12578,10784,9842,8564,7410,6958,6321,5903,5149,4867,4504,5632,5248,3709,3597,3243
上海市,45352,41464,39095,37558,34588,28428,26909,24429,21216,18996,17304,15374,14003,12951,12323,11943,10541,9234,8033,7050
江苏省,34074,28753,24101,21598,18243,15965,14752,12990,11363,10060,8604,7263,6111,5358,5312,6239,5951,5494,5017,4508
浙江省,32186,30101,28259,26856,23655,21204,19002,16986,15837,13843,11771,9907,8839,8404,8020,7985,7630,7649,7268,6141
安徽省,19259,17779,16131,14923,13259,11301,10196,9204,7886,7102,5343,4933,4468,5806,5323,4985,4675,4088,3834,3491
福建省,23642,21725,20722,19762,17900,15662,15072,12896,11630,10296,9502,8571,7642,7125,6648,6255,6115,5765,5080,4590
江西省,16914,16728,15327,14029,12353,9833,9642,9105,7738,7329,6300,5127,5138,4845,4488,3482,3267,3200,2942,2632
山东省,25869,23358,21528,19923,17717,16027,14815,12633,11193,9453,7965,6974,6232,6020,5603,6060,5450,4123,3391,2895
河南省,20111,18833,17104,15616,13958,11884,10797,9743,8810,8145,7394,6585,5986,5562,5090,4214,4038,3963,3548,3045
湖北省,21854,19156,17296,15935,13576,12080,11650,10593,8944,8051,7277,6547,7899,7042,6250,5295,5129,5208,4892,3989
湖南省,21227,19508,18060,16783,14707,13000,11749,10551,9491,8623,7731,6851,6126,6050,5770,5290,4813,4746,4395,3884
广东省,30216,30440,28269,25527,23159,20852,19101,16982,14695,13609,12409,11136,10358,9312,9189,8987,8642,7807,7660,7091
广西壮族自治区,20518,19185,17457,15681,14017,12585,11229,9473,7824,7136,6525,5972,5382,5009,4729,4987,4788,5210,5630,5276
海南省,16823,15877,15068,13272,11365,10215,9807,9422,8117,7183,6595,5964,5407,4968,4668,4700,4555,4014,3927,3454
重庆市,24000,21681,19873,17973,15260,13417,12168,10541,8806,7793,7146,6275,5578,5098,6544,6190,5711,3883,4336,3658
四川省,19318,17899,16649,15687,13457,11701,10608,9559,8305,7577,6970,6312,5932,5661,5315,4876,4702,4534,4204,3703
贵州省,18804,16581,15441,13877,12635,11945,11007,9887,9226,7777,6768,6227,5715,5363,5197,4334,4197,4190,3927,3444
云南省,19569,19089,16514,14464,12584,11585,10688,9234,8798,8514,7778,6199,5731,5294,5164,4933,5032,5164,5153,4310
西藏自治区,15009,14001,12958,11393,11026,9862,8694,7761,6817,8571,9859,8942,5547,4861,4684,4685,4169,3866,4024,3981
陕西省,21531,19620,18254,16213,14134,12232,11310,9901,8771,7954,7352,6781,6297,5854,5390,4520,4428,3901,3508,2941
甘肃省,17925,16327,15048,13574,11881,10765,9975,9150,8190,7410,6923,6160,5743,5148,4736,4615,4263,4010,3510,2516
青海省,19252,17617,15026,13348,11878,10845,9816,8819,7481,6947,6432,5768,5261,4925,4530,4384,4087,3630,3563,2964
宁夏回族自治区,21212,19671,18223,17038,14730,13151,11852,9555,8573,7503,6772,6145,5692,5109,3552,3813,3633,3499,3325,3146
新疆维吾尔自治区,19176,18285,17442,14663,12665,10366,9882,8833,7728,7221,6808,6199,6257,5668,5274,3988,3614,4261,3836,3414
数据来源：国家统计局
