数据库：分省年度数据
指标：固定资本形成总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,7957.20,7595.38,7032.80,5953.86,5342.40,4435.01,3989.48,4022.63,3551.17,3204.65,2844.29,2437.88,1951.88,1602.06,1400.36,1233.46,1171.90,1001.73,922.48,888.31
天津市,11337.95,10438.83,9314.76,8069.94,6468.54,5077.89,3594.00,2615.09,2087.24,1739.40,1446.49,1180.54,926.65,805.34,695.10,631.92,640.15,556.43,491.90,417.95
河北省,17064.67,16167.13,15087.91,13688.75,10791.59,9390.15,8306.05,6165.64,5073.21,4329.96,3279.73,2512.48,2058.08,1947.60,1846.29,1822.30,1665.10,1486.07,1240.62,955.21
山西省,8818.51,8693.51,7663.39,7256.12,5852.44,4856.82,3587.61,2909.61,2345.57,1897.39,1479.50,1113.20,876.70,743.00,657.60,605.35,562.00,434.10,351.10,314.00
内蒙古自治区,13453.88,15287.13,12954.33,10837.14,8938.69,7425.16,5522.72,4356.39,3353.88,2685.22,1817.73,1228.26,729.37,510.02,439.42,383.37,350.20,317.47,275.54,273.16
辽宁省,16927.43,16479.80,15049.60,13474.62,11079.59,8906.44,8098.60,6297.19,5272.12,4279.75,2925.14,2102.10,1627.56,1444.15,1293.92,1115.82,1069.57,976.45,920.66,884.95
吉林省,10372.65,9751.49,9234.98,8355.53,7618.06,6280.53,5608.30,4003.18,2804.29,1802.41,1291.89,998.10,824.20,699.65,627.74,525.04,442.28,386.38,412.84,358.14
黑龙江省,9288.00,9153.46,7824.09,6599.25,5410.47,4483.54,3655.29,2877.84,2232.04,1788.67,1516.85,1261.30,1152.90,1046.80,922.40,859.11,865.34,724.40,653.62,558.80
上海市,8022.49,7617.13,7012.53,6801.78,6380.33,6447.52,5614.47,5192.50,4383.33,3775.55,3239.04,2643.07,2366.10,2099.99,1933.01,1801.59,1804.81,1795.83,1711.46,1380.85
江苏省,28796.18,27711.11,26415.45,24522.24,20709.14,17137.99,14038.68,11727.89,10069.27,8888.85,6972.68,5480.80,3994.23,3543.16,3225.42,2842.65,2642.29,2295.97,2062.17,1756.88
浙江省,17000.91,16139.70,14607.57,13822.90,12101.32,10220.13,8798.01,7992.86,7065.65,6269.16,5563.87,4479.98,3255.13,2645.40,2267.20,1970.59,1848.00,1694.57,1617.53,1357.90
安徽省,10723.84,9739.11,8680.90,7594.37,6061.09,4820.46,4229.64,3344.78,2656.90,2214.10,1877.75,1362.18,1138.20,1012.31,928.09,839.29,822.73,779.21,710.63,619.07
福建省,13038.04,11678.58,10270.16,9060.53,7341.57,6438.28,5601.36,4344.88,3310.15,2654.95,2100.48,1672.63,1383.54,1269.93,1216.91,1184.84,1145.35,981.45,863.75,716.17
江西省,6876.92,6774.22,6301.13,5785.75,4740.28,4082.63,3675.71,2982.33,2422.06,1922.10,1633.53,1269.92,931.80,696.70,605.54,552.67,520.82,477.30,395.85,325.55
山东省,31647.07,29249.45,26808.85,24281.22,20800.55,17734.43,15035.08,12505.88,10829.36,8974.77,6896.07,5180.82,4192.58,3518.25,3159.03,2662.95,2347.02,2044.45,1777.05,1481.10
河南省,26655.78,24376.04,21667.75,18819.16,15704.09,12996.08,10301.66,8043.35,6001.50,4506.75,3217.10,2431.76,2018.58,1790.76,1641.43,1472.53,1414.85,1255.59,1076.78,874.87
湖北省,15442.86,13701.86,12064.75,10597.82,8200.40,6612.85,5368.99,4371.14,3555.21,2804.01,2325.87,1875.78,1699.78,1610.93,1451.85,1320.10,1238.90,1102.10,985.03,778.25
湖南省,15139.68,13573.85,11990.65,10487.26,8568.77,6666.80,5571.61,4194.92,3159.17,2520.38,1978.31,1613.12,1380.89,1233.17,1082.00,956.10,846.37,725.73,678.32,534.12
广东省,27930.81,24997.73,22033.82,19432.79,16515.11,14025.08,11471.36,9964.01,8489.71,7418.23,5957.86,4986.53,4023.73,3447.52,3093.82,2974.32,2651.24,2288.69,2240.76,2059.43
广西壮族自治区,10463.07,9725.64,10547.35,9745.72,7785.50,5533.23,3762.70,2791.97,2141.72,1749.87,1296.55,990.71,842.72,735.56,670.65,629.07,573.10,487.29,483.57,423.37
海南省,2549.33,2233.46,1947.87,1460.47,1179.36,871.91,771.90,552.37,445.51,375.58,311.05,265.55,227.50,208.18,198.00,187.91,173.48,162.36,167.33,192.64
重庆市,7380.94,6580.98,6041.15,5511.24,4379.26,3633.22,3059.89,2557.86,2138.20,1862.65,1515.61,1220.60,918.92,751.66,628.01,558.99,516.31,392.66,313.61,0.00
四川省,13990.55,13081.70,12096.20,10691.30,8911.05,7464.20,6352.86,5060.57,4040.03,3179.92,2587.14,2145.07,1801.06,1570.89,1400.69,1229.81,1185.21,977.28,850.35,699.26
贵州省,5928.80,5141.75,4067.26,3147.46,2510.39,2046.84,1691.89,1363.42,1153.87,996.64,871.46,768.76,663.89,575.89,456.26,398.46,339.60,278.67,229.24,183.09
云南省,10918.83,9311.13,7949.51,6678.17,5213.05,3502.42,2302.17,2063.58,1795.88,1564.23,1352.78,1068.51,860.67,770.20,722.27,720.87,689.35,549.42,465.05,395.03
西藏自治区,1050.94,898.40,709.13,547.54,561.40,379.40,312.86,271.67,232.35,196.19,168.45,100.97,68.63,41.99,38.26,36.98,30.46,26.94,23.41,29.72
陕西省,11783.73,10779.46,9700.12,8190.19,6851.53,5270.28,4400.56,3289.10,2430.22,1936.45,1471.31,1231.90,1016.90,887.20,796.20,651.33,573.49,464.80,406.94,358.75
甘肃省,4116.72,3649.14,3128.68,2685.76,2177.89,1788.34,1493.47,1221.96,1027.78,874.52,756.02,617.62,534.75,463.13,373.90,283.85,239.25,215.98,180.28,141.98
青海省,2953.52,2418.27,1895.70,1369.90,1057.86,791.80,583.20,480.43,411.68,364.08,314.93,282.18,244.00,202.17,156.97,131.12,116.38,101.55,79.24,57.48
宁夏回族自治区,2987.70,2222.98,1967.18,1653.19,1489.96,1185.35,898.25,652.20,574.59,469.62,379.72,318.21,230.83,195.81,160.82,130.61,108.65,88.10,77.32,70.12
新疆维吾尔自治区,8301.43,6943.72,5477.61,3948.87,3233.00,2473.24,2285.60,1885.24,1596.16,1384.33,1239.50,1079.24,856.70,720.12,648.12,551.72,543.78,461.41,422.87,422.53
数据来源：国家统计局
