数据库：分省年度数据
指标：生产税净额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3227.50,3179.84,2894.58,2566.16,2197.19,1953.53,1896.58,1625.82,1286.69,1093.36,960.40,753.11,642.99,549.77,464.08,388.12,341.32,302.58,264.91,227.25
天津市,2614.63,2431.55,2138.15,1771.81,1402.91,1159.32,1013.49,926.88,798.75,748.40,571.81,534.87,416.97,387.17,328.92,274.62,223.85,186.38,160.57,150.51
河北省,3934.51,4196.90,3408.74,2951.14,2487.22,2034.75,1879.54,1651.19,1411.11,1282.16,1027.09,650.97,566.28,528.62,441.17,433.35,442.10,404.39,355.78,304.58
山西省,2153.86,2133.08,1989.99,1833.04,1502.52,1128.64,1318.57,923.51,732.72,650.44,542.10,425.74,318.97,271.84,244.18,222.32,222.04,207.69,177.03,145.49
内蒙古自治区,2267.38,2254.69,2152.04,2083.49,1560.30,1292.36,1153.05,829.29,588.49,434.83,404.07,250.88,210.69,204.80,183.04,152.33,116.68,126.33,113.95,97.26
辽宁省,5290.62,5085.44,5192.66,4142.88,3096.30,2457.96,1768.45,1467.62,1249.82,1105.86,927.96,797.23,736.65,677.09,670.78,446.39,423.51,391.96,343.80,397.42
吉林省,2094.65,2139.25,1859.57,1637.88,1337.77,1089.43,959.43,735.12,601.28,521.94,463.97,197.97,174.66,144.45,184.28,192.46,181.53,167.90,166.53,161.64
黑龙江省,2151.11,2172.24,2107.32,2048.09,1642.57,1099.49,1080.81,897.42,797.15,781.11,665.28,539.10,485.90,460.30,488.00,503.60,490.60,472.40,416.20,378.50
上海市,4716.76,4462.84,4022.74,3713.40,3298.73,2916.92,2662.86,2142.97,1729.03,1459.39,1313.83,1265.89,1219.35,1184.62,1124.30,902.10,809.04,716.02,576.01,430.67
江苏省,8697.30,8096.73,7862.22,7272.03,6278.34,5420.70,4912.90,4317.14,3370.48,2622.82,2357.46,1732.06,1390.24,1229.29,1107.55,998.28,942.41,889.95,774.39,684.68
浙江省,6191.46,5711.10,5495.64,5248.01,4274.03,3417.94,3260.31,2870.06,2296.81,1914.54,1728.94,1415.46,1188.52,983.95,899.18,671.61,595.26,566.67,502.15,413.55
安徽省,3385.00,3086.83,2350.44,2076.10,1779.83,1458.49,931.84,1084.42,891.40,747.62,647.24,578.98,478.58,460.02,422.74,380.78,366.13,332.18,269.85,252.33
福建省,3653.71,3093.63,2809.74,2287.51,1867.67,1553.20,1334.19,1314.35,1019.66,868.51,780.60,522.41,434.87,392.29,371.62,345.36,316.66,275.15,247.08,210.71
江西省,2572.53,2240.86,2114.79,1965.45,1616.83,1488.80,1300.32,778.30,624.30,502.26,475.52,374.23,316.47,280.09,210.86,180.32,166.88,160.07,120.04,100.37
山东省,9779.50,9208.69,8307.74,7605.50,6274.22,4956.32,4606.66,3842.66,2958.32,2552.82,2192.06,1801.57,1484.58,1341.00,1182.64,1021.82,957.66,845.11,661.96,563.20
河南省,3848.12,4667.76,4633.77,3358.46,3071.13,3262.67,2309.77,2026.05,1497.77,1270.84,1036.60,836.00,709.58,628.58,582.76,509.06,425.50,477.78,430.47,344.76
湖北省,3992.32,3592.53,3161.57,2676.10,2283.20,1835.04,1550.37,1474.60,1099.07,982.09,764.57,748.13,559.93,521.62,509.56,433.95,360.90,319.66,275.75,261.66
湖南省,4175.01,4046.17,3596.68,3240.66,2553.68,1958.85,1782.12,1298.50,1044.11,869.37,733.19,590.65,501.34,452.05,435.23,390.19,345.24,289.82,248.96,215.39
广东省,10669.94,9623.38,8988.68,8567.19,6841.07,6020.88,5796.13,4947.40,4038.50,3177.03,2659.30,2303.35,1988.13,1939.52,1759.12,1375.14,1268.93,1111.15,985.78,827.17
广西壮族自治区,3014.84,2857.45,1719.70,1484.65,1237.65,959.80,755.45,679.20,505.00,383.32,383.78,311.85,289.98,260.84,228.41,205.99,198.81,204.43,192.08,163.69
海南省,464.46,427.75,546.25,438.44,341.65,251.15,210.95,176.29,131.27,111.48,95.19,81.07,73.73,66.73,56.63,50.29,45.32,40.73,37.82,35.65
重庆市,2576.50,2281.36,1664.96,1486.41,1183.97,912.54,774.50,667.78,603.20,503.07,429.00,361.07,300.93,269.53,239.03,233.69,218.42,151.08,93.09,
四川省,4528.47,4149.96,3676.83,3241.96,2684.50,2256.77,1755.81,1251.85,1027.01,1025.87,976.30,928.88,831.44,761.60,683.50,650.07,571.49,521.46,378.11,316.43
贵州省,1709.57,1473.01,1241.50,946.78,698.54,583.57,562.50,411.81,320.60,291.86,251.27,218.49,207.80,201.11,188.79,164.72,144.36,138.19,119.29,97.37
云南省,2595.83,2430.22,2316.81,1822.40,1499.72,1263.65,1212.06,996.95,864.58,708.47,607.56,567.11,523.21,467.14,495.97,442.38,487.50,406.18,316.16,265.36
西藏自治区,78.92,75.86,62.14,48.78,37.64,32.10,32.37,24.26,19.55,18.02,13.50,10.00,4.59,7.47,6.16,5.18,4.34,2.47,-0.22,1.05
陕西省,3480.67,2912.55,2585.50,2272.65,1695.80,1377.59,1074.52,855.51,703.60,619.67,392.99,375.84,340.15,260.33,270.82,248.59,197.05,161.63,135.55,104.97
甘肃省,1095.15,987.72,987.21,909.98,666.78,422.93,395.90,413.49,343.67,296.22,255.82,208.04,243.43,202.09,99.95,146.73,134.93,121.54,113.38,89.72
青海省,304.77,279.60,278.38,292.11,197.71,158.49,129.01,101.45,80.13,64.53,55.00,46.80,40.59,34.23,30.74,25.79,21.30,22.05,16.46,16.85
宁夏回族自治区,387.92,372.91,328.05,256.71,183.49,152.60,177.73,116.12,96.67,79.81,68.73,57.39,50.08,46.31,42.52,35.30,32.35,29.47,24.84,22.17
新疆维吾尔自治区,1354.85,1197.18,1140.66,1084.37,791.23,654.14,618.56,456.62,367.71,301.82,247.58,220.98,230.65,174.14,159.93,130.29,118.79,115.25,108.76,81.37
数据来源：国家统计局
