数据库：分省年度数据
指标：供水管道长度(公里)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,27286,32581,23674,26453,25147,23959,23828,21998,26434,18175,17018,,,,,,,,,
天津市,14369,13411,12926,11906,10744,8847,8248,8083,7365,7093,6781,,,,,,,,,
河北省,15528,15207,15344,15014,14288,13733,13012,12699,11968,11336,11055,,,,,,,,,
山西省,9727,9176,8550,7548,7414,6901,6569,6261,6474,5939,5938,,,,,,,,,
内蒙古自治区,10619,10290,9967,9073,8561,8217,7884,6877,6220,5864,5718,,,,,,,,,
辽宁省,36706,33118,32062,31487,29123,27735,26850,25422,25153,23211,23636,,,,,,,,,
吉林省,11764,10608,9600,9335,8935,8390,8393,8591,7636,6771,6535,,,,,,,,,
黑龙江省,14120,13207,12847,12149,11413,11171,10711,10492,10117,9796,10580,,,,,,,,,
上海市,35068,36217,34904,32217,32462,30753,29148,28950,28329,25482,23497,,,,,,,,,
江苏省,78477,75988,71413,65586,63807,59445,55737,49354,55825,43890,42565,,,,,,,,,
浙江省,53604,49298,44841,41646,38982,35786,34517,31889,29279,27033,25390,,,,,,,,,
安徽省,22247,20450,18869,17032,14730,13314,11062,10049,8893,8745,8003,,,,,,,,,
福建省,16539,15889,16743,15595,14650,12449,10551,9200,9131,7563,6765,,,,,,,,,
江西省,13714,13524,11831,10837,9807,9251,7964,7229,6748,6079,5548,,,,,,,,,
山东省,47373,43944,41934,39568,37313,34814,32970,32695,32669,28799,27944,,,,,,,,,
河南省,20590,19954,19288,18270,17299,16109,15028,14406,13750,12632,12065,,,,,,,,,
湖北省,29644,27794,26146,24239,22827,21596,20323,19085,17174,16999,16197,,,,,,,,,
湖南省,20498,18208,16747,15956,14400,12791,12300,11196,10438,9862,9117,,,,,,,,,
广东省,95463,92361,75935,86022,79816,81923,73871,67088,56114,45867,39036,,,,,,,,,
广西壮族自治区,15857,15196,14424,13782,12843,12233,11134,10463,9476,8594,8011,,,,,,,,,
海南省,3864,3680,3451,3145,2525,2491,2750,2621,2317,2064,1570,,,,,,,,,
重庆市,11601,10619,9534,8914,9190,8523,8288,7554,7290,6766,6414,,,,,,,,,
四川省,27461,24832,22880,21649,20656,19064,17597,15856,13390,14062,13403,,,,,,,,,
贵州省,8685,7845,7466,7124,5979,5702,4902,4746,4501,3424,3403,,,,,,,,,
云南省,9587,8672,8011,7512,6559,6229,7712,6351,6495,5537,5329,,,,,,,,,
西藏自治区,1059,856,835,827,753,661,647,645,50,374,365,,,,,,,,,
陕西省,6820,6175,5948,5338,4926,4845,5079,5062,4716,4435,4409,,,,,,,,,
甘肃省,5265,4974,4719,4690,4357,4092,3990,3967,4063,5521,5347,,,,,,,,,
青海省,2231,2081,1534,1501,1383,1312,1294,1246,1238,1000,929,,,,,,,,,
宁夏回族自治区,2309,2117,1996,2471,2382,1970,2027,1972,2191,1831,1756,,,,,,,,,
新疆维吾尔自治区,8652,8142,7450,6888,6507,6092,5696,5184,4952,4586,4089,,,,,,,,,
数据来源：国家统计局
