数据库：分省年度数据
指标：运营线路总长度(公里)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,20776,20153,19989,19832,19079,228,200,142,114,,,,,,,,,,,
天津市,15028,13603,12871,12690,12320,759,79,71,8650,,,,,,,,,,,
河北省,20305,19647,18812,17512,14869,8410,6260,5753,5481,,,,,,,,,,,
山西省,13658,14655,13369,12592,12200,8710,3828,3831,2959,,,,,,,,,,,
内蒙古自治区,11109,11123,10650,9673,9272,2810,2791,3175,2386,,,,,,,,,,,
辽宁省,23603,22215,21521,20251,19219,8449,6439,6472,6207,,,,,,,,,,,
吉林省,13129,12910,11255,10366,10175,4729,4228,3301,3108,,,,,,,,,,,
黑龙江省,17930,14999,15087,13661,11956,5698,5148,4279,4928,,,,,,,,,,,
上海市,24475,24391,23658,23360,23583,7097,7007,7005,6444,,,,,,,,,,,
江苏省,54797,50876,49903,47468,41351,16444,14679,16133,12466,,,,,,,,,,,
浙江省,50273,43797,40606,39982,39989,20022,8947,9150,7773,,,,,,,,,,,
安徽省,12319,11068,10535,9551,8948,5026,4022,3772,3008,,,,,,,,,,,
福建省,19675,17030,15627,15209,13555,6685,3607,3636,3250,,,,,,,,,,,
江西省,11718,11291,11648,10968,9934,4762,2701,3189,2943,,,,,,,,,,,
山东省,59238,51412,44682,41492,39470,18296,18845,14182,12838,,,,,,,,,,,
河南省,20866,18171,18337,17035,16362,9475,5647,5481,4735,,,,,,,,,,,
湖北省,18541,16427,17354,16456,16735,12089,6507,6258,6058,,,,,,,,,,,
湖南省,14698,13764,14132,15631,14791,5433,5095,5020,4303,,,,,,,,,,,
广东省,94568,89133,87797,79498,69785,24030,17677,16438,5124,,,,,,,,,,,
广西壮族自治区,10699,9733,9323,8360,8099,4960,3058,3143,3114,,,,,,,,,,,
海南省,4758,4022,5600,4737,3818,1211,580,486,512,,,,,,,,,,,
重庆市,12191,17142,8959,8950,11200,2724,3050,2939,2606,,,,,,,,,,,
四川省,20883,19975,19180,16748,15258,8705,5090,5980,4602,,,,,,,,,,,
贵州省,6269,5300,5305,5201,5143,2790,1135,1107,1225,,,,,,,,,,,
云南省,16679,15126,16329,16240,13218,5928,2588,2552,4195,,,,,,,,,,,
西藏自治区,997,963,834,790,949,748,262,262,208,,,,,,,,,,,
陕西省,9470,8783,9207,8857,8697,2620,2028,2057,2244,,,,,,,,,,,
甘肃省,5872,4969,4907,4513,4173,2405,2171,1366,1147,,,,,,,,,,,
青海省,1978,1979,1937,1870,1554,1057,522,515,492,,,,,,,,,,,
宁夏回族自治区,5890,5342,4813,4658,4325,2708,847,696,754,,,,,,,,,,,
新疆维吾尔自治区,7663,7583,7568,7103,10258,4241,2311,2410,1983,,,,,,,,,,,
数据来源：国家统计局
