数据库：分省年度数据
指标：公共汽电车客运量(万人次)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,477180,484306,515416,503272,505144,516517,470863,422645,397919,457630,453223,,,,,,,,,
天津市,151011,136490,118721,114798,108581,116178,112137,102415,94241,89529,78502,,,,,,,,,
河北省,205342,202727,203954,197470,178559,166910,156368,143232,120091,99412,86888,,,,,,,,,
山西省,131496,156364,124838,124029,110135,99887,89438,84633,77145,71205,59916,,,,,,,,,
内蒙古自治区,107099,108685,96349,92547,89963,64298,62004,51069,45968,36806,30474,,,,,,,,,
辽宁省,405165,403782,401457,411312,400802,373767,371659,353721,329906,314394,335576,,,,,,,,,
吉林省,169206,164143,165336,152458,148242,153721,420035,111111,103429,103729,96868,,,,,,,,,
黑龙江省,245973,236759,223956,220063,212581,204493,193391,170863,150593,138506,119306,,,,,,,,,
上海市,266530,271048,280360,281075,280758,270591,266339,265170,274035,278090,283787,,,,,,,,,
江苏省,442725,439512,427578,408572,377257,373199,352597,322230,304669,283760,263088,,,,,,,,,
浙江省,341776,321359,310463,300425,302932,320709,292044,262806,241138,226740,214173,,,,,,,,,
安徽省,211631,211012,212719,198662,181876,182560,164226,155909,152189,139661,116158,,,,,,,,,
福建省,225977,227004,224703,216866,197723,175940,196154,183203,144698,149465,140637,,,,,,,,,
江西省,129185,130511,127961,122042,121628,112248,115598,105371,96303,83880,73189,,,,,,,,,
山东省,403854,411311,398268,380085,371800,335324,339599,302850,270915,247906,191104,,,,,,,,,
河南省,257033,266092,263718,256311,229237,200187,192288,172633,162167,153775,132204,,,,,,,,,
湖北省,331786,328874,330613,309524,281181,305052,257354,250175,220006,224094,204698,,,,,,,,,
湖南省,276227,271882,272165,265211,241463,199092,195527,190582,159397,212507,175137,,,,,,,,,
广东省,757868,743710,739359,685606,576764,656849,849251,546399,139989,455579,299729,,,,,,,,,
广西壮族自治区,130990,138161,142505,143137,141942,133106,115894,117944,111810,107331,103304,,,,,,,,,
海南省,43815,43756,43306,39908,36470,30746,222928,26381,26452,25971,12833,,,,,,,,,
重庆市,240681,221342,176968,174930,161932,141466,155206,146766,125412,111324,95174,,,,,,,,,
四川省,390383,360895,347025,313943,289504,276147,425191,229929,205860,192983,173541,,,,,,,,,
贵州省,142596,139265,132200,122646,113505,405571,98506,94955,84503,86310,79337,,,,,,,,,
云南省,147956,149918,148409,137730,138213,121842,106495,98305,81582,73733,58330,,,,,,,,,
西藏自治区,8380,8001,7139,7251,5296,5618,6861,6991,1365,778,590,,,,,,,,,
陕西省,239293,238542,248687,241279,223729,198598,185848,159770,134636,114794,93600,,,,,,,,,
甘肃省,113738,110711,102846,96662,85327,72966,74647,60858,59489,48411,45945,,,,,,,,,
青海省,34971,41760,39135,39158,38964,42158,60037,56798,42483,37081,26304,,,,,,,,,
宁夏回族自治区,42744,41664,37441,30427,27130,26993,20567,13053,13890,12206,10754,,,,,,,,,
新疆维吾尔自治区,155845,153091,151397,138388,132084,119086,123554,117090,105368,94292,84707,,,,,,,,,
数据来源：国家统计局
