数据库：分省年度数据
指标：市容环卫专用车辆设备(台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,10255,9797,9384,7991,7461,6881,6930,6253,6197,5851,5942,,,,,,,,,
天津市,3036,2482,2453,2395,1951,1985,1706,1783,1632,1346,1402,,,,,,,,,
河北省,4820,4331,3889,3556,3306,3109,2947,2940,2865,2948,2792,,,,,,,,,
山西省,4895,4141,3986,3823,3689,3464,2123,1912,1867,1396,1473,,,,,,,,,
内蒙古自治区,2717,2568,2093,2001,1480,1379,1321,1292,1214,1199,1112,,,,,,,,,
辽宁省,6097,5743,5323,5200,4998,4457,4134,4058,3381,3313,2883,,,,,,,,,
吉林省,5973,4878,4759,2867,2608,2378,2313,2137,2045,2053,1957,,,,,,,,,
黑龙江省,6887,5633,5749,5042,3814,3504,3268,3244,3070,3187,3295,,,,,,,,,
上海市,5371,5237,5102,5309,5560,5549,5451,4489,4252,4352,4082,,,,,,,,,
江苏省,11227,9865,8709,7984,7481,6923,5939,5589,5447,5094,4494,,,,,,,,,
浙江省,6483,6167,5607,5032,4685,4138,3829,3614,3366,2848,2723,,,,,,,,,
安徽省,3116,2765,2320,2059,1508,1327,1321,1117,1162,1182,1058,,,,,,,,,
福建省,2578,2505,2222,2049,2036,1987,1889,1835,1706,1590,1421,,,,,,,,,
江西省,1630,1157,1184,1044,899,838,900,876,791,735,661,,,,,,,,,
山东省,10324,9645,8598,7276,5983,5280,5007,4638,4943,4121,3751,,,,,,,,,
河南省,4203,3777,3614,3164,3025,2856,2698,2625,2503,2678,2317,,,,,,,,,
湖北省,8851,6423,4091,3419,3077,2925,2735,2720,2224,2597,2287,,,,,,,,,
湖南省,3642,3151,2810,2372,1998,1803,1674,1486,1342,1396,1192,,,,,,,,,
广东省,11729,10975,9066,9147,8535,8305,8079,8255,6291,6467,6393,,,,,,,,,
广西壮族自治区,3442,3097,2022,1883,1748,1606,1508,1232,1089,982,933,,,,,,,,,
海南省,1503,869,1824,1902,1525,1390,349,338,131,315,293,,,,,,,,,
重庆市,2448,1915,1807,1489,1786,1838,1182,1085,886,937,913,,,,,,,,,
四川省,4436,3970,3797,3425,3301,2864,2610,2366,2110,2486,2210,,,,,,,,,
贵州省,2352,1987,1681,1496,882,699,635,605,586,561,538,,,,,,,,,
云南省,2314,3731,2102,1860,1783,1538,1436,1345,1295,1331,990,,,,,,,,,
西藏自治区,251,156,38,10,20,88,84,81,91,28,18,,,,,,,,,
陕西省,2938,2515,2072,2009,1719,1631,1368,1344,1274,1033,929,,,,,,,,,
甘肃省,1717,1531,1499,1231,1045,906,877,517,519,566,634,,,,,,,,,
青海省,475,424,319,336,330,304,281,238,196,187,171,,,,,,,,,
宁夏回族自治区,1099,1051,672,634,554,430,492,373,357,332,316,,,,,,,,,
新疆维吾尔自治区,4622,4066,3365,2335,1627,1374,1314,1222,1188,1094,1058,,,,,,,,,
数据来源：国家统计局
