数据库：分省年度数据
指标：三类以上公共厕所数量(座)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5429,5563,5773,5843,5966,6022,5589,5308,5051,,,,,,,,,,,
天津市,786,757,754,741,729,806,725,545,513,,,,,,,,,,,
河北省,3743,3895,3846,3763,3734,2554,2797,2575,2794,,,,,,,,,,,
山西省,1576,1464,1141,1086,946,967,1034,1039,959,,,,,,,,,,,
内蒙古自治区,1864,1596,1510,1392,1059,1098,1131,1223,1626,,,,,,,,,,,
辽宁省,1896,1810,1713,1653,1493,1337,1041,851,753,,,,,,,,,,,
吉林省,1061,979,1074,1358,1524,1476,1243,1054,2101,,,,,,,,,,,
黑龙江省,2560,2017,1695,1629,1587,1939,1912,2226,1641,,,,,,,,,,,
上海市,4967,4470,4404,5457,5767,6015,3278,3003,2523,,,,,,,,,,,
江苏省,9255,8597,8031,8097,7919,7791,7650,7038,7286,,,,,,,,,,,
浙江省,6441,6316,6172,6554,6380,6451,5427,4977,3976,,,,,,,,,,,
安徽省,2684,2579,2603,2502,2469,2392,2291,2026,1732,,,,,,,,,,,
福建省,3092,3058,2850,2426,2059,1373,945,1207,1186,,,,,,,,,,,
江西省,1524,1456,1532,1521,1236,1359,1295,1087,1049,,,,,,,,,,,
山东省,5266,4876,4717,4769,4277,4178,4067,3498,3738,,,,,,,,,,,
河南省,6545,6383,6188,6219,5985,5484,4780,3071,2945,,,,,,,,,,,
湖北省,4171,3818,3417,4005,4061,3118,3121,3011,3069,,,,,,,,,,,
湖南省,2611,2827,2729,2722,2328,2196,1865,1754,1781,,,,,,,,,,,
广东省,9076,9255,9137,8805,8393,7156,7740,6526,4517,,,,,,,,,,,
广西壮族自治区,2035,2052,1522,1463,1396,1403,1351,1047,1293,,,,,,,,,,,
海南省,474,419,336,270,234,143,83,136,43,,,,,,,,,,,
重庆市,2234,1747,1586,1291,1134,1640,1304,1325,1247,,,,,,,,,,,
四川省,3040,4381,3928,2886,2909,3699,2128,3005,2945,,,,,,,,,,,
贵州省,1142,1046,1064,1010,1022,965,931,839,914,,,,,,,,,,,
云南省,1995,2065,2002,1468,1416,1278,1106,614,824,,,,,,,,,,,
西藏自治区,172,160,,7,9,162,145,140,170,,,,,,,,,,,
陕西省,3707,3173,2620,2581,2196,2108,1876,1589,1241,,,,,,,,,,,
甘肃省,1153,1097,949,896,833,806,823,689,651,,,,,,,,,,,
青海省,302,280,257,257,220,201,181,156,135,,,,,,,,,,,
宁夏回族自治区,576,587,502,652,511,369,419,446,329,,,,,,,,,,,
新疆维吾尔自治区,1709,1415,1262,1201,1235,1163,1769,1655,1653,,,,,,,,,,,
数据来源：国家统计局
