数据库：分省年度数据
指标：城市污水日处理能力(万立方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,442.0,401.0,400.5,381.6,376.9,376.7,370.4,353.4,383.2,334.6,272.3,,,,,,,,,
天津市,262.6,261.6,257.2,232.2,224.2,212.6,212.5,192.7,189.6,157.8,93.2,,,,,,,,,
河北省,523.2,516.8,522.8,526.8,501.6,467.7,424.1,395.8,378.4,313.0,278.5,,,,,,,,,
山西省,208.5,179.8,190.1,196.0,187.8,174.2,175.9,170.2,155.0,143.9,116.0,,,,,,,,,
内蒙古自治区,189.5,171.4,167.4,158.4,155.5,136.7,119.2,126.2,100.1,105.5,101.0,,,,,,,,,
辽宁省,783.8,825.1,670.9,635.4,586.2,514.6,499.1,460.5,445.5,410.8,421.7,,,,,,,,,
吉林省,262.8,262.1,247.8,232.5,225.1,200.4,161.9,172.3,123.0,155.8,135.9,,,,,,,,,
黑龙江省,690.8,676.2,323.2,337.2,310.4,301.2,275.7,393.4,284.8,281.3,248.6,,,,,,,,,
上海市,788.0,784.6,701.3,694.3,679.7,654.0,606.3,539.7,509.8,481.0,452.6,,,,,,,,,
江苏省,1622.4,1606.5,1564.5,1555.5,1590.0,1411.2,1432.2,1180.1,1224.9,1023.9,1017.8,,,,,,,,,
浙江省,838.5,802.6,691.1,662.6,643.8,606.8,595.7,528.6,480.0,412.6,503.6,,,,,,,,,
安徽省,616.2,600.2,511.4,490.8,528.4,488.1,438.8,458.8,335.9,269.7,307.2,,,,,,,,,
福建省,434.4,461.5,392.1,332.5,317.4,321.8,403.9,329.6,322.3,249.0,195.5,,,,,,,,,
江西省,242.4,230.4,226.0,226.0,226.3,223.9,162.3,162.3,134.8,120.7,112.5,,,,,,,,,
山东省,935.1,872.2,954.0,895.4,824.1,767.7,779.8,684.6,629.3,538.3,510.1,,,,,,,,,
河南省,562.8,537.8,527.8,498.3,488.4,448.3,423.5,395.6,323.1,267.4,249.9,,,,,,,,,
湖北省,610.4,581.9,557.0,561.8,513.7,495.0,514.6,505.5,509.5,449.5,425.7,,,,,,,,,
湖南省,551.3,499.2,575.3,555.0,544.5,518.9,396.3,439.4,482.7,275.7,328.4,,,,,,,,,
广东省,1857.5,1760.5,1705.3,1716.0,1801.8,1284.8,1173.8,1047.9,967.2,633.6,543.1,,,,,,,,,
广西壮族自治区,672.2,642.2,720.2,705.7,1110.4,1205.5,714.4,657.7,622.4,372.4,282.3,,,,,,,,,
海南省,87.6,86.4,73.9,76.8,67.5,66.0,43.5,41.0,42.7,43.2,41.2,,,,,,,,,
重庆市,257.8,253.8,238.4,219.7,190.9,186.1,182.0,175.7,160.5,168.9,63.4,,,,,,,,,
四川省,527.6,444.0,403.1,391.0,373.3,352.4,324.6,267.0,239.1,226.4,203.1,,,,,,,,,
贵州省,140.8,188.5,124.8,122.8,122.0,79.5,60.5,51.5,32.3,34.5,23.3,,,,,,,,,
云南省,233.5,233.7,229.7,231.3,226.4,147.4,123.8,131.6,179.0,173.9,161.2,,,,,,,,,
西藏自治区,6.2,5.0,5.0,,,,,,,,,,,,,,,,,
陕西省,280.5,250.2,227.2,212.5,209.3,171.8,157.1,104.0,141.8,68.1,41.4,,,,,,,,,
甘肃省,161.0,166.5,159.1,136.8,108.3,115.0,152.0,125.8,111.3,72.9,70.9,,,,,,,,,
青海省,34.2,34.2,32.1,32.1,19.8,17.8,17.8,13.5,13.5,8.5,8.5,,,,,,,,,
宁夏回族自治区,65.5,83.5,79.5,89.5,80.5,70.0,70.0,62.0,62.5,64.1,54.0,,,,,,,,,
新疆维吾尔自治区,234.4,233.3,214.2,197.6,158.7,167.8,160.8,170.1,149.8,132.7,124.4,,,,,,,,,
数据来源：国家统计局
