数据库：分省年度数据
指标：天然气管道长度(公里)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,20574,19650,18656,17278,15500,15313,10550,10425,8630,7124,7164,,,,,,,,,
天津市,16108,14963,13627,11731,10791,10233,9827,9076,8515,6751,5715,,,,,,,,,
河北省,12760,11767,10250,9113,8155,6975,5400,3946,3143,2550,2040,,,,,,,,,
山西省,6520,6064,5107,4115,3429,2626,1991,1309,886,441,350,,,,,,,,,
内蒙古自治区,6713,5990,5437,3800,2925,1942,1505,1311,740,619,464,,,,,,,,,
辽宁省,13468,12426,10160,9059,7405,6941,6364,5940,5610,4979,5214,,,,,,,,,
吉林省,6330,5872,5170,4708,3976,3223,2607,2432,3052,2776,2284,,,,,,,,,
黑龙江省,7261,7213,6651,6377,6032,5164,3746,1854,1458,1193,1099,,,,,,,,,
上海市,26057,23156,21283,19068,17317,14997,12877,10867,8349,6370,4911,,,,,,,,,
江苏省,55594,50187,43799,35389,27641,22155,19178,15081,11199,8051,4727,,,,,,,,,
浙江省,25647,22813,18151,15916,13962,11784,8761,7057,4366,2893,297,,,,,,,,,
安徽省,17155,15380,13192,11638,9803,8165,6392,4808,3890,2974,906,,,,,,,,,
福建省,7499,7008,6328,4981,4296,2982,1287,332,43,,,,,,,,,,,
江西省,8314,7115,6479,4904,3220,2622,1855,1472,881,477,285,,,,,,,,,
山东省,40616,36672,31146,28049,24518,20328,15327,13364,7709,5937,4572,,,,,,,,,
河南省,17412,16591,15442,13777,11914,10870,9759,8716,7988,5755,4783,,,,,,,,,
湖北省,20893,17815,15244,13025,11371,9838,8408,7372,5641,3977,622,,,,,,,,,
湖南省,11741,10167,9111,8979,7177,4956,4827,3579,2956,1328,,,,,,,,,,
广东省,25541,21778,17421,15035,10683,8885,6559,4236,1950,1173,506,,,,,,,,,
广西壮族自治区,3377,2859,5094,4537,3974,3613,2477,1921,480,105,70,,,,,,,,,
海南省,2201,1952,1725,1533,1366,1108,1025,897,793,534,399,,,,,,,,,
重庆市,17973,13501,12674,10565,8351,5980,10853,10127,9377,7621,7902,,,,,,,,,
四川省,31382,28368,25896,24020,23889,21748,18064,16342,15087,12275,11636,,,,,,,,,
贵州省,965,854,486,330,195,112,85,75,53,18,18,,,,,,,,,
云南省,1173,828,672,467,337,300,149,143,134,110,110,,,,,,,,,
西藏自治区,1350,552,,,,,,,,,,,,,,,,,,
陕西省,10527,9335,7842,7407,6901,6287,5751,5319,2913,2151,1993,,,,,,,,,
甘肃省,2087,1900,1701,1129,900,846,648,571,184,147,474,,,,,,,,,
青海省,1061,1035,949,887,830,780,764,744,502,501,490,,,,,,,,,
宁夏回族自治区,4123,3674,3089,2543,2424,2007,1843,1464,1153,1027,495,,,,,,,,,
新疆维吾尔自治区,12147,10986,9972,8613,7145,5998,5207,4471,3816,2187,1888,,,,,,,,,
数据来源：国家统计局
