数据库：分省年度数据
指标：天然气用气人口(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1424.55,1398.57,1366.85,1333.90,1291.91,1143.20,1068.12,1000.89,956.84,880.00,738.00,,,,,,,,,
天津市,771.55,651.01,637.23,598.03,573.53,569.75,588.48,595.62,478.21,411.52,404.63,,,,,,,,,
河北省,1028.40,1059.01,981.57,918.79,838.82,673.61,568.75,318.82,193.43,142.00,117.99,,,,,,,,,
山西省,826.45,768.70,584.06,508.71,430.83,358.27,286.23,165.39,69.05,50.20,44.25,,,,,,,,,
内蒙古自治区,504.70,458.74,347.14,287.13,258.02,178.72,165.88,149.11,109.02,49.59,39.45,,,,,,,,,
辽宁省,995.71,1021.16,956.61,852.40,797.04,751.10,710.52,657.26,629.48,566.57,575.92,,,,,,,,,
吉林省,538.63,423.92,387.18,359.05,289.90,215.98,188.76,181.70,197.94,166.85,147.50,,,,,,,,,
黑龙江省,725.67,672.60,637.62,600.88,567.52,512.05,289.03,136.25,114.26,103.68,88.99,,,,,,,,,
上海市,1553.92,1447.28,1320.90,1231.00,1092.58,850.66,740.63,696.45,585.72,521.85,396.50,,,,,,,,,
江苏省,2124.96,1906.64,1743.63,1557.50,1299.71,1029.60,841.68,699.86,574.89,380.39,178.76,,,,,,,,,
浙江省,937.23,840.13,703.82,643.57,552.86,459.47,352.71,300.02,187.93,118.91,58.11,,,,,,,,,
安徽省,1083.08,975.86,911.83,786.10,635.63,529.49,435.94,328.45,241.38,207.83,105.27,,,,,,,,,
福建省,375.19,346.86,294.56,287.47,274.32,211.42,34.24,20.03,3.65,,,,,,,,,,,
江西省,473.65,429.84,321.96,259.15,156.78,114.01,89.52,59.77,45.86,38.38,12.60,,,,,,,,,
山东省,2280.13,2085.84,1865.59,1628.32,1444.35,1231.16,986.71,760.40,598.74,381.33,258.88,,,,,,,,,
河南省,1448.85,1307.45,1095.08,930.50,830.87,706.62,586.45,469.12,444.44,398.72,346.55,,,,,,,,,
湖北省,1174.89,1106.17,945.00,819.48,700.47,610.28,496.97,381.06,294.26,263.92,14.20,,,,,,,,,
湖南省,761.23,639.82,562.20,443.82,421.69,331.32,236.19,206.76,150.80,61.59,,,,,,,,,,
广东省,1618.67,1380.26,1154.71,1028.13,921.68,850.36,581.99,398.60,83.73,78.53,19.66,,,,,,,,,
广西壮族自治区,266.44,241.80,186.83,133.25,105.98,88.64,58.60,39.73,8.12,0.49,1.40,,,,,,,,,
海南省,127.86,110.82,104.90,90.80,77.13,64.27,55.47,32.82,25.86,21.09,48.40,,,,,,,,,
重庆市,1070.92,955.21,934.02,862.32,860.70,729.84,696.16,640.24,545.11,509.04,458.01,,,,,,,,,
四川省,1595.19,1492.14,1382.70,1284.40,1164.48,1079.42,1019.22,960.13,903.91,966.48,911.70,,,,,,,,,
贵州省,138.00,129.41,54.81,23.69,11.65,10.32,8.78,8.65,4.13,1.67,1.67,,,,,,,,,
云南省,110.29,37.82,32.97,27.01,36.82,32.64,6.25,5.65,5.04,4.90,4.90,,,,,,,,,
西藏自治区,8.21,4.96,,,,,,,,15.40,,,,,,,,,,
陕西省,766.94,712.88,644.33,593.53,546.56,480.11,418.55,400.58,357.83,358.80,321.56,,,,,,,,,
甘肃省,297.95,275.66,252.01,221.05,196.97,180.72,156.52,144.91,132.84,117.55,88.80,,,,,,,,,
青海省,126.68,123.13,108.42,99.61,88.98,83.39,79.99,69.67,61.14,32.63,30.52,,,,,,,,,
宁夏回族自治区,188.26,177.70,141.32,127.87,108.46,85.00,68.70,54.66,42.73,34.12,26.99,,,,,,,,,
新疆维吾尔自治区,628.74,602.05,547.68,490.34,444.98,382.26,350.05,307.17,273.06,220.37,186.34,,,,,,,,,
数据来源：国家统计局
