数据库：分省年度数据
指标：公园面积(万公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1.33,1.33,1.14,1.03,1.00,0.99,0.65,0.64,0.74,1.14,0.61,,,,,,,,,
天津市,0.21,0.20,0.18,0.17,0.17,0.15,,,0.11,0.23,0.24,,,,,,,,,
河北省,1.64,1.56,1.50,1.33,1.22,0.94,0.81,0.74,0.68,0.57,0.55,,,,,,,,,
山西省,0.94,0.82,0.78,0.66,0.57,0.50,0.53,0.37,0.33,0.39,0.25,,,,,,,,,
内蒙古自治区,1.21,1.15,1.04,0.96,0.77,0.71,0.70,0.67,0.47,0.31,0.26,,,,,,,,,
辽宁省,1.38,1.29,1.22,1.17,1.10,1.03,1.00,1.03,0.98,0.83,0.79,,,,,,,,,
吉林省,0.62,0.53,0.51,0.46,0.44,0.41,0.39,0.33,0.26,0.25,0.25,,,,,,,,,
黑龙江省,0.96,0.95,0.94,0.93,0.91,0.80,0.74,0.65,0.57,0.54,0.44,,,,,,,,,
上海市,0.23,0.22,0.22,0.22,0.19,0.17,0.17,0.17,0.15,0.15,0.15,,,,,,,,,
江苏省,2.19,1.87,1.65,1.57,1.24,1.37,1.30,1.18,1.06,0.99,0.91,,,,,,,,,
浙江省,1.59,1.52,1.48,1.35,1.26,1.37,1.23,1.14,1.02,0.60,0.49,,,,,,,,,
安徽省,1.13,1.08,0.99,0.96,0.87,0.77,0.73,0.70,0.83,0.40,0.32,,,,,,,,,
福建省,1.14,1.09,1.03,0.97,0.88,0.80,0.69,0.54,0.48,0.44,0.41,,,,,,,,,
江西省,0.86,0.84,0.81,0.75,0.64,0.53,0.45,0.33,0.29,0.23,0.20,,,,,,,,,
山东省,3.26,2.95,2.50,2.29,2.14,2.04,1.85,1.65,1.32,1.14,1.01,,,,,,,,,
河南省,1.20,1.14,1.11,0.94,0.93,0.86,0.84,0.80,0.66,0.62,0.50,,,,,,,,,
湖北省,1.12,1.07,1.04,0.98,0.81,0.74,0.72,0.67,0.67,0.58,0.62,,,,,,,,,
湖南省,0.96,0.90,0.93,0.74,0.68,0.61,0.55,0.55,0.51,0.66,0.50,,,,,,,,,
广东省,7.02,6.68,6.18,6.08,5.83,5.06,4.42,4.25,6.16,3.13,2.57,,,,,,,,,
广西壮族自治区,0.78,0.76,0.75,0.72,0.58,0.54,0.51,0.50,0.44,0.37,0.35,,,,,,,,,
海南省,0.21,0.18,0.18,0.19,0.19,0.16,0.15,0.12,0.10,0.11,0.09,,,,,,,,,
重庆市,1.08,1.01,1.00,0.89,0.55,0.37,0.34,0.28,0.21,0.20,0.14,,,,,,,,,
四川省,1.24,1.22,1.06,0.94,0.79,0.70,0.68,0.62,0.58,0.57,0.55,,,,,,,,,
贵州省,0.51,0.45,0.41,0.41,0.36,0.29,0.29,0.29,0.28,0.19,0.26,,,,,,,,,
云南省,0.67,0.62,0.64,0.59,0.52,0.54,1.04,1.02,0.99,0.45,0.29,,,,,,,,,
西藏自治区,0.07,0.06,0.07,0.07,0.07,0.06,0.04,0.04,0.04,0.01,0.01,,,,,,,,,
陕西省,0.54,0.43,0.35,0.32,0.29,0.26,0.25,0.22,0.19,0.14,0.15,,,,,,,,,
甘肃省,0.41,0.36,0.26,0.26,0.25,0.24,0.24,0.20,0.19,0.22,0.20,,,,,,,,,
青海省,0.09,0.09,0.09,0.09,0.05,0.05,0.05,0.05,0.05,0.03,0.03,,,,,,,,,
宁夏回族自治区,0.23,0.21,0.21,0.21,0.20,0.19,0.19,0.18,0.17,0.08,0.06,,,,,,,,,
新疆维吾尔自治区,0.43,0.38,0.37,0.33,0.32,0.31,0.31,0.29,0.29,0.22,0.22,,,,,,,,,
数据来源：国家统计局
