数据库：分省年度数据
指标：热水供热能力(兆瓦)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,40445,38585,38298,36805,35684,32674,31772,28989,30546,30115,23706,,,,,,,,,
天津市,22596,21572,21063,19325,18055,16158,16011,13866,11753,10563,10111,,,,,,,,,
河北省,29554,27441,26129,24535,23177,22247,17787,16536,15219,13917,12866,,,,,,,,,
山西省,26412,23068,20706,18210,17405,12999,12677,8265,9421,8578,6627,,,,,,,,,
内蒙古自治区,38000,33729,29489,28560,25850,21364,19210,16042,13328,10887,10160,,,,,,,,,
辽宁省,69158,68631,62826,59855,55770,51183,46395,39717,43765,36051,30488,,,,,,,,,
吉林省,41998,40576,36536,30988,29145,26147,23238,20985,20143,18925,18330,,,,,,,,,
黑龙江省,44551,42296,38743,41000,32052,30420,27499,26143,23805,23952,22646,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,6055,55,45033,33,33,200,228,,,,,,,,,
浙江省,20,85,75,75,75,75,233,233,233,233,233,,,,,,,,,
安徽省,20182,182,182,182,182,176,165,165,165,135,135,,,,,,,,,
福建省,,,,,,,,286,286,286,286,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,43427,39722,33450,28922,27587,22661,21088,19637,17881,16744,13901,,,,,,,,,
河南省,9544,8568,6204,6763,4767,3905,3664,3224,3078,2118,1617,,,,,,,,,
湖北省,278,278,278,278,278,78,78,78,78,78,78,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,,,,,,,,,,,,,,,,
贵州省,240,239,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,11428,8902,6682,5309,4215,12543,11971,2992,2672,1806,1499,,,,,,,,,
甘肃省,14146,14069,12758,11137,10208,9225,8969,7749,7276,5791,5474,,,,,,,,,
青海省,348,348,258,230,370,369,193,121,173,173,158,,,,,,,,,
宁夏回族自治区,7138,8252,7927,6113,5945,5595,5160,5127,4482,5115,4822,,,,,,,,,
新疆维吾尔自治区,27604,26997,23675,20465,18897,18307,14552,14472,13362,12309,11077,,,,,,,,,
数据来源：国家统计局
