数据库：分省年度数据
指标：蒸汽供热总量(万吉焦)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,166,168,289,346,189,325,321,512,619,812,1071,,,,,,,,,
天津市,1538,1827,1757,1757,1568,1721,1846,2092,1728,1966,1764,,,,,,,,,
河北省,5684,5599,6490,7274,7068,7228,7847,8530,8338,7825,7616,,,,,,,,,
山西省,834,942,1767,1436,1462,1091,1617,1542,2796,1868,6424,,,,,,,,,
内蒙古自治区,182,671,778,870,1148,92,174,190,198,528,523,,,,,,,,,
辽宁省,7505,6521,6320,6599,6521,6479,6253,5886,5936,6435,5269,,,,,,,,,
吉林省,457,387,420,1470,1998,2151,1175,1521,2149,1813,1712,,,,,,,,,
黑龙江省,2497,2433,2454,2590,2020,1995,1941,1935,2010,2496,2479,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,4513,3285,6524,5664,8723,14499,12051,,,,,,,,,
浙江省,10857,9648,5713,5264,5667,5303,5288,5580,5459,4923,3804,,,,,,,,,
安徽省,2870,3071,2868,2561,2665,2201,2045,1700,1354,1013,1460,,,,,,,,,
福建省,,,,,,,,,,,222,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,14020,14441,14759,14517,17221,17473,21112,17709,14405,14326,12717,,,,,,,,,
河南省,3150,3010,3053,3114,3000,3084,2939,2991,3631,2454,1966,,,,,,,,,
湖北省,1279,963,891,763,721,702,736,764,742,741,806,,,,,,,,,
湖南省,,,,,,,,,,6,6,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,,84,98,86,39,43,134,133,,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,130,,,,,,,,,,,,,,,,,,,
陕西省,2150,2142,2293,1932,2402,2142,1625,2452,1937,1682,1670,,,,,,,,,
甘肃省,88,245,305,,6296,6158,6146,5975,6297,6636,6658,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,985,153,151,313,612,465,438,436,619,241,241,,,,,,,,,
新疆维吾尔自治区,1221,1021,1302,974,1242,1144,969,856,808,1095,855,,,,,,,,,
数据来源：国家统计局
