数据库：分省年度数据
指标：外商投资企业注册资本(百万美元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,119161,105851,90704,80327,71477,62500,56308,48035,36600,32440,29030,25603,25210,23830,21738,20986,17353,16959,15819,15115
天津市,82486,72074,64949,64764,62044,54900,53254,46373,36300,33280,27506,24520,20343,19050,18510,16967,14694,13879,12261,10882
河北省,31065,27228,25750,24156,21663,19900,18754,16060,14100,12450,10628,9792,8816,8565,8290,8602,9100,9518,9569,8197
山西省,22296,19907,18668,13951,11128,10100,9199,8798,6000,4030,3473,3122,2975,2533,2560,2533,2586,2476,2268,1903
内蒙古自治区,12286,10844,13504,13561,12240,13500,11265,8602,7500,6270,5581,2205,1699,1538,1718,1575,1503,1645,1631,1426
辽宁省,120354,113599,117131,105770,97535,84900,80127,68124,59700,49530,40207,38688,43002,40465,39626,25846,25424,23448,20329,17430
吉林省,15783,15333,13023,13017,12299,10600,9795,16511,16200,6920,6035,5679,5457,5526,5277,5061,5125,4757,4409,3711
黑龙江省,14343,13107,12788,12247,12046,10900,9914,8892,8500,6880,5739,4943,4394,5217,5606,6130,6967,7091,7167,6348
上海市,335956,282305,251092,226232,200919,181900,169175,145025,121200,108610,92321,80410,69161,60913,53345,49401,49868,46700,42567,36029
江苏省,383934,354282,330138,305009,273899,239500,220310,201619,165400,132130,108330,74726,62353,47953,40657,40296,40993,40516,39756,32404
浙江省,152681,140665,127466,117000,106942,95000,91701,82604,70200,56460,46710,34647,24337,19774,17122,16026,16323,16160,16208,14806
安徽省,26075,22660,20706,18433,17349,16000,14749,14034,10600,8900,7635,6963,5957,5836,5868,5825,5854,6066,5414,4229
福建省,94485,85375,80443,75386,69358,65400,62645,56194,50000,43070,38729,36079,33041,29165,27585,30503,29581,29424,27600,22882
江西省,43769,38436,34904,31285,28136,23100,20855,18371,14000,11390,8817,7065,4835,3526,3301,3136,3890,4021,3762,3647
山东省,113131,99456,89679,81749,72865,64700,57071,53636,51800,47070,41564,35229,28216,25216,23097,23272,24998,27017,27978,25771
河南省,29692,24479,23697,22522,20535,19100,16110,13739,12300,11220,8712,7553,7040,6387,7337,7903,8364,8752,7189,6753
湖北省,41016,34923,32150,29317,24314,22000,20084,18105,15800,15140,13590,10711,9311,10107,10348,10162,10816,10874,10168,9278
湖南省,24190,20872,19647,18295,16111,15800,15380,13644,11800,9470,7029,5867,4853,3770,4338,4423,4802,4633,4638,4460
广东省,337737,303715,283269,268475,249493,234300,225137,204086,180500,167730,152016,140506,134949,125890,128086,128936,134356,133789,133977,129132
广西壮族自治区,19374,17268,16744,16082,15478,15000,13907,12412,9800,8250,7351,6057,6135,5929,6268,6405,7081,7121,7433,8463
海南省,15719,15283,14337,13118,14545,16200,15964,14226,8300,5790,5496,5596,5022,12260,13926,13669,13474,13225,12970,12378
重庆市,42543,36900,31155,25729,20350,16200,13329,10500,4900,4230,3918,3543,3965,4194,4419,4984,4591,7224,,
四川省,46716,41338,37445,34444,33457,28000,25766,16340,12600,10860,9403,8948,8112,7514,7028,7011,6652,1761,10204,9303
贵州省,7756,6252,4197,3231,2510,2100,1931,1697,1600,1490,1448,1378,1234,1197,1166,1532,1865,2451,1627,1572
云南省,14446,14136,13381,12111,10450,9300,8256,6650,5900,4700,4438,4070,3669,3398,3101,2797,2697,4007,2251,1938
西藏自治区,828,811,739,457,296,400,327,310,300,220,204,203,198,192,188,116,138,110,3729,72
陕西省,24111,20974,17667,12108,11012,9700,8077,9452,8400,7800,7126,7202,6407,5810,5071,4719,4287,1371,94,2998
甘肃省,2967,2840,3108,2857,2766,2300,1847,1653,1600,1980,1944,1452,1420,1610,1817,1192,1196,189,1216,1114
青海省,1300,1489,1393,1488,1389,1700,2016,1355,1100,400,566,478,349,365,332,378,232,423,133,111
宁夏回族自治区,3220,1849,1689,2130,1785,1400,1328,1197,2000,2010,2016,1514,933,789,696,624,471,1028,405,368
新疆维吾尔自治区,4062,3612,3654,3277,3330,3100,2921,1966,1700,1140,952,821,753,716,749,839,1036,4092,977,980
注：外资企业基本情况数据来自国家工商总局，其年底登记户数自2008年起口径调整为企业加分支机构，（同时调整了以前年份数据）。
数据来源：国家统计局
