数据库：分省年度数据
指标：经营单位所在地进出口总额(千美元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,415518593,428995812,408107320,389555977,301721548,214733053,271692899,192999761,158036628,125506425,94575725,68500170,52505290,51541310,49621890,34359510,30506080,30388520,29318330,37033780
天津市,133886075,128501788,115634270,103376166,82100050,63831234,80400836,71449733,64461940,53276804,42028606,29342440,22811400,18172090,17154000,12600940,10613840,10331370,9544050,8043590
河北省,59877359,54911571,50563060,53600835,42060370,29627252,38420533,25523410,18530877,16070353,13525851,8978250,6665250,5737310,5238620,4579950,4227320,4103280,4192690,3917920
山西省,16232813,15790979,15043110,14743057,12576225,8569032,14395057,11579483,6627099,5545655,5382487,3090130,2311540,1940980,1764380,1287500,1111130,1340620,1163760,1402280
内蒙古自治区,14556321,11994572,11258980,11930904,8729741,6774066,8918483,7735885,5960820,4876254,3721706,2829020,2434020,2034700,2622050,1294150,962940,1073010,1049910,992650
辽宁省,113998255,114478189,104090000,96035851,80712148,62934378,72433849,59474345,48390240,41013265,34410862,26509170,21739650,19807150,19031480,13718320,12744020,14905520,14068710,13185740
吉林省,26380786,25831735,24563010,22060930,16845182,11742407,13332125,10298001,7914038,6527723,6790448,6148410,3702480,3206850,2570420,2212340,1651910,1853590,2103660,2607040
黑龙江省,38900926,38879095,37590290,38522675,25515415,16229513,23130593,17296593,12856547,9566017,6788995,5329400,4349150,3384260,2986370,2198300,2019550,2464560,2447480,2386530
上海市,466399838,441268216,436586950,437548615,368950652,277713611,322055310,282853878,227524196,186336738,160009920,112339550,72627110,60893150,54708020,38618120,31376230,29799980,27138850,24357320
江苏省,563553079,550802269,547961490,539580894,465798959,338739703,392271930,349471786,283978384,227922762,170849007,113617400,70288540,51350930,45636360,31257410,26341580,23628990,20697610,16309870
浙江省,355039765,335788705,312401360,309377765,253534656,187730863,211133730,176847368,139141607,107389656,85204882,61410810,41955760,32798610,27832620,18305610,14851000,14242220,12528510,11509990
安徽省,49177300,45518969,39284540,31309246,24273372,15677726,20183848,15932286,12245136,9119388,7211555,5947810,4180970,3619970,3346840,2648440,2331490,2377520,2221410,2008010
福建省,177407841,169320901,155937960,143522428,108783289,79649592,84821068,74447381,62659633,54411187,47527013,35325530,28397370,22629520,21220460,17619190,17152960,18189090,15512590,14445690
江西省,42730822,36746634,33413830,31468810,21619177,12778782,13617931,9448541,6194863,4064606,3527948,2528060,1694470,1530940,1624050,1313820,1246280,1332390,1115490,1323150
山东省,276929398,266531533,245544320,235886076,189156292,139053369,158407511,122474443,95213815,76735872,60658222,44636820,33934480,28953710,24989760,18266980,16713890,17643990,16164050,13943520
河南省,64972209,59956868,51738810,32622578,17831514,13476415,17479337,12785127,9794566,7724918,6619553,4712170,3203160,2781760,2282900,1748850,1733720,1891070,1968260,2229190
湖北省,43039619,36380076,31963750,33586935,25932110,17251015,20705670,14868954,11762194,9054752,6765809,5109300,3953140,3577130,3222860,2677620,2832130,3204710,2861640,3404230
湖南省,30831603,25175308,21948730,18943763,14656390,10149466,12547194,9685853,7352256,6000189,5443515,3732360,2875840,2757790,2512220,1955460,1781720,1893420,1865670,2038880
广东省,1076584474,1091581437,984020460,913467331,784896124,611094049,684968798,634185954,527199096,427964967,357130622,283524770,221096310,176494690,170098880,140342410,129798040,130047340,109910060,103923840
广西壮族自治区,40548851,32827499,29484460,23355966,17738906,14254726,13236168,9258997,6667562,5181504,4277221,3186750,2430490,1796990,2033790,1753400,2409100,2866310,2026050,3090540
海南省,15862660,14985434,14322100,12756036,8648577,4881633,4528517,3514411,2846208,2542338,3401694,2274920,1866800,1747050,1287860,1217040,1743230,1926840,2262860,2355720
重庆市,95431578,68692163,53203580,29207634,12427074,7712521,9521394,7437944,5469679,4292842,3857147,2594760,1793070,1833910,1785900,1208790,1033960,1663100,,
四川省,70202970,64574658,59143600,47724169,32693864,24168651,22113647,14378124,11020819,7901964,6866987,5634290,4468530,3099160,2545200,2468470,2092740,1823010,3731820,3479960
贵州省,10771326,8290101,6631560,4887579,3146801,2304212,3366208,2270300,1617713,1403572,1513727,984330,691470,646450,659980,547580,627610,629240,485480,664270
云南省,29607422,25303558,21013730,16028773,13430120,8047595,9596916,8793567,6224836,4743441,3741169,2669130,2226760,1988780,1812760,1660110,1643800,1678930,1849760,2147980
西藏自治区,2254947,3319409,3424140,1358368,836067,402098,765829,393464,328377,205468,199892,159860,130370,92910,130310,166450,119590,175580,176630,217220
陕西省,27364485,20128062,14799030,14647271,12101681,8405392,8328826,6887339,5360289,4576868,3642383,2782620,2224030,2062000,2140080,2005760,2050620,1731090,1744860,1684410
甘肃省,8640615,10236106,8900750,8728579,7402953,3865554,6095433,5523670,3824932,2630274,1763145,1327140,877400,778880,569530,406270,447880,478440,473620,599520
青海省,1717888,1402742,1157470,923817,788961,586785,688823,612073,651724,413307,575515,339140,196640,204900,159730,107850,117740,128600,128020,153970
宁夏回族自治区,5435212,3217686,2216710,2285746,1959989,1202479,1879404,1581515,1437127,966574,908209,653230,442910,532770,442920,317990,238950,226030,189750,219630
新疆维吾尔自治区,27672315,27561391,25170060,22819672,17130110,13947831,22217360,13715828,9103268,7940487,5634517,4769860,2691700,1771480,2264040,1765350,1524830,1123660,938720,1171460
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
