数据库：分省年度数据
指标：国有城镇单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1932.39,1771.36,1624.84,1460.25,1264.30,1116.00,1056.54,903.50,770.70,,,,,,,,,,,
天津市,631.30,593.71,606.46,551.39,456.00,389.47,375.36,299.51,254.78,,,,,,,,,,,
河北省,1268.49,1181.05,1295.47,1152.91,1054.40,948.79,847.20,705.95,587.78,,,,,,,,,,,
山西省,940.39,883.11,973.00,885.68,769.30,704.79,667.96,557.47,468.74,,,,,,,,,,,
内蒙古自治区,944.42,919.88,871.21,762.41,629.90,537.15,443.25,368.65,310.05,,,,,,,,,,,
辽宁省,1391.94,1336.62,1346.76,1206.58,1004.70,899.06,875.10,727.27,614.51,,,,,,,,,,,
吉林省,834.83,790.06,668.61,581.90,498.30,445.63,410.97,364.90,294.59,,,,,,,,,,,
黑龙江省,1193.83,1155.46,1226.69,1055.03,940.60,848.04,678.64,583.33,485.02,,,,,,,,,,,
上海市,1100.64,1079.39,1275.72,1213.58,1055.50,938.66,797.29,704.35,559.03,,,,,,,,,,,
江苏省,2147.91,1966.73,1801.43,1606.23,1383.70,1226.62,1060.41,914.16,783.83,,,,,,,,,,,
浙江省,1874.46,1715.04,1638.57,1499.00,1325.30,1170.24,1027.05,900.50,771.33,,,,,,,,,,,
安徽省,1027.12,954.87,1008.09,849.53,691.50,586.89,513.74,440.69,352.87,,,,,,,,,,,
福建省,982.51,898.44,888.11,749.66,614.70,542.02,486.59,408.58,351.66,,,,,,,,,,,
江西省,931.22,853.72,817.25,656.38,600.00,507.46,432.97,381.10,321.88,,,,,,,,,,,
山东省,2334.06,2184.45,2125.11,1885.82,1683.50,1461.95,1311.28,1134.84,940.87,,,,,,,,,,,
河南省,1699.25,1556.02,1597.67,1408.13,1215.50,1079.55,1018.52,861.71,700.78,,,,,,,,,,,
湖北省,1425.69,1195.18,1245.66,1132.53,970.00,822.27,694.20,623.66,530.95,,,,,,,,,,,
湖南省,1263.08,1184.17,1133.40,972.09,860.20,764.38,697.90,595.18,479.33,,,,,,,,,,,
广东省,2714.29,2473.05,2545.59,2272.45,1951.20,1718.71,1546.29,1365.97,1186.27,,,,,,,,,,,
广西壮族自治区,946.90,886.47,800.05,726.19,658.20,574.12,524.22,445.29,361.23,,,,,,,,,,,
海南省,228.20,208.29,218.11,199.64,169.60,132.14,117.78,106.30,87.18,,,,,,,,,,,
重庆市,752.46,666.73,641.82,565.43,456.40,395.25,346.45,286.59,257.96,,,,,,,,,,,
四川省,2016.26,1917.45,1706.03,1447.95,1226.60,1058.15,913.14,770.25,627.81,,,,,,,,,,,
贵州省,904.96,809.26,755.31,627.87,483.10,427.39,385.91,326.38,256.10,,,,,,,,,,,
云南省,978.57,864.74,840.53,739.65,631.40,558.63,480.68,403.50,344.34,,,,,,,,,,,
西藏自治区,164.80,157.59,124.67,110.28,105.10,91.84,86.59,80.51,52.54,,,,,,,,,,,
陕西省,1276.61,1164.10,1262.04,1088.62,878.80,760.72,647.35,525.51,418.90,,,,,,,,,,,
甘肃省,762.82,673.37,620.63,488.91,444.30,412.92,361.30,310.45,255.25,,,,,,,,,,,
青海省,205.34,190.92,220.75,192.52,155.40,136.44,116.47,95.37,78.75,,,,,,,,,,,
宁夏回族自治区,210.08,199.67,205.87,156.41,131.50,117.49,108.90,94.41,76.16,,,,,,,,,,,
新疆维吾尔自治区,1021.81,928.68,864.54,709.79,577.50,489.93,457.84,403.18,339.43,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
