数据库：分省年度数据
指标：城镇集体单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,86.02,74.54,76.33,66.85,61.20,57.57,36.75,34.96,34.76,,,,,,,,,,,
天津市,35.33,31.64,34.18,32.24,18.00,14.81,20.87,19.71,17.99,,,,,,,,,,,
河北省,59.13,60.62,61.36,56.10,57.80,49.55,43.71,41.56,37.75,,,,,,,,,,,
山西省,75.70,77.72,80.99,66.41,51.10,43.21,46.46,40.39,35.53,,,,,,,,,,,
内蒙古自治区,33.61,37.09,38.68,33.08,26.70,22.86,19.49,16.09,14.36,,,,,,,,,,,
辽宁省,116.15,123.54,103.14,86.85,63.10,55.97,52.79,44.63,42.52,,,,,,,,,,,
吉林省,25.07,25.26,27.33,24.50,23.30,20.90,19.12,18.16,19.46,,,,,,,,,,,
黑龙江省,64.43,59.84,49.88,43.98,44.10,48.09,40.57,36.51,34.36,,,,,,,,,,,
上海市,84.29,67.56,64.09,53.88,38.40,38.70,36.40,35.94,31.15,,,,,,,,,,,
江苏省,205.19,193.69,126.35,111.15,90.70,79.96,76.06,64.02,54.58,,,,,,,,,,,
浙江省,113.39,116.95,119.58,115.88,100.80,85.33,74.97,69.17,62.33,,,,,,,,,,,
安徽省,64.36,61.41,58.04,51.76,42.60,36.82,42.60,38.17,32.67,,,,,,,,,,,
福建省,65.22,56.36,61.07,51.59,43.50,39.50,37.64,33.92,27.88,,,,,,,,,,,
江西省,60.00,52.57,50.69,43.62,24.70,22.32,20.84,21.35,16.76,,,,,,,,,,,
山东省,232.77,247.75,216.34,182.10,147.10,122.27,104.27,92.77,80.85,,,,,,,,,,,
河南省,161.55,149.02,137.29,123.13,101.50,87.61,114.45,127.50,104.79,,,,,,,,,,,
湖北省,53.59,49.61,63.36,47.68,50.30,40.62,36.48,33.91,38.52,,,,,,,,,,,
湖南省,79.96,76.01,79.70,71.24,63.30,55.82,56.06,48.86,37.61,,,,,,,,,,,
广东省,229.52,205.38,171.77,154.47,129.00,117.25,112.68,106.01,96.29,,,,,,,,,,,
广西壮族自治区,53.38,45.23,45.08,43.13,36.50,30.73,28.27,24.20,21.54,,,,,,,,,,,
海南省,9.11,10.98,11.01,8.75,7.50,5.96,4.72,4.36,3.65,,,,,,,,,,,
重庆市,36.47,31.10,29.16,30.31,25.00,20.52,18.38,16.41,16.89,,,,,,,,,,,
四川省,123.82,118.04,110.73,95.16,78.50,79.19,69.82,59.73,51.26,,,,,,,,,,,
贵州省,33.31,28.83,25.65,23.15,17.30,15.54,15.97,14.08,11.95,,,,,,,,,,,
云南省,56.26,58.13,44.88,34.47,25.40,22.39,19.64,17.25,15.40,,,,,,,,,,,
西藏自治区,1.08,1.42,1.13,0.61,0.80,0.58,0.68,0.61,0.55,,,,,,,,,,,
陕西省,79.62,71.28,49.16,41.10,31.90,29.55,26.83,23.04,19.32,,,,,,,,,,,
甘肃省,37.59,37.33,26.42,21.01,15.60,13.94,11.68,10.79,10.41,,,,,,,,,,,
青海省,4.99,4.35,4.54,4.49,3.50,3.25,3.26,2.92,2.34,,,,,,,,,,,
宁夏回族自治区,3.87,5.23,4.73,4.31,3.70,3.11,2.96,2.73,2.39,,,,,,,,,,,
新疆维吾尔自治区,17.89,17.27,17.75,14.45,10.90,9.40,8.85,8.36,7.92,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
