数据库：分省年度数据
指标：国有城镇单位就业人员工资总额指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,109.1,109.0,111.3,115.5,113.3,105.6,116.9,117.2,106.5,,,,,,,,,,,
天津市,106.3,97.9,110.0,120.9,117.1,103.8,125.3,117.6,114.0,,,,,,,,,,,
河北省,107.4,91.2,112.4,109.3,111.1,112.0,120.0,120.1,110.9,,,,,,,,,,,
山西省,106.5,90.8,109.9,115.1,109.2,105.5,119.8,118.9,117.6,,,,,,,,,,,
内蒙古自治区,102.7,105.6,114.3,121.0,117.3,121.2,120.2,118.9,115.5,,,,,,,,,,,
辽宁省,104.1,99.2,111.6,120.1,111.7,102.7,120.3,118.4,111.8,,,,,,,,,,,
吉林省,105.7,118.2,114.9,116.8,111.8,108.4,112.6,123.9,112.5,,,,,,,,,,,
黑龙江省,103.3,94.2,116.3,112.2,110.9,125.0,116.3,120.3,111.9,,,,,,,,,,,
上海市,102.0,84.6,105.1,115.0,112.4,117.7,113.2,126.0,117.8,,,,,,,,,,,
江苏省,109.2,109.2,112.2,116.1,112.8,115.7,116.0,116.6,114.4,,,,,,,,,,,
浙江省,109.3,104.7,109.3,113.1,113.2,113.9,114.1,116.7,113.5,,,,,,,,,,,
安徽省,107.6,94.7,118.7,122.9,117.8,114.2,116.6,124.9,111.7,,,,,,,,,,,
福建省,109.4,101.2,118.5,122.0,113.4,111.4,119.1,116.2,114.7,,,,,,,,,,,
江西省,109.1,104.5,124.5,109.4,118.2,117.2,113.6,118.4,114.9,,,,,,,,,,,
山东省,106.8,102.8,112.7,112.0,115.2,111.5,115.5,120.6,113.0,,,,,,,,,,,
河南省,109.2,97.4,113.5,115.8,112.6,106.0,118.2,123.0,120.1,,,,,,,,,,,
湖北省,119.3,95.9,110.0,116.8,118.0,118.4,111.3,117.5,110.5,,,,,,,,,,,
湖南省,106.7,104.5,116.6,113.0,112.5,109.5,117.3,124.2,113.9,,,,,,,,,,,
广东省,109.8,97.2,112.0,116.5,113.5,111.2,113.2,115.1,110.0,,,,,,,,,,,
广西壮族自治区,106.8,110.8,110.2,110.3,114.7,109.5,117.7,123.3,116.5,,,,,,,,,,,
海南省,109.6,95.5,109.3,117.7,128.4,112.2,110.8,121.9,105.0,,,,,,,,,,,
重庆市,112.9,103.9,113.5,123.9,115.5,114.1,120.9,111.1,114.1,,,,,,,,,,,
四川省,105.2,112.4,117.8,118.0,115.9,115.9,118.6,122.7,112.6,,,,,,,,,,,
贵州省,111.8,107.1,120.3,130.0,113.0,110.7,118.2,127.4,123.6,,,,,,,,,,,
云南省,113.2,102.9,113.6,117.1,113.0,116.2,119.1,117.2,119.8,,,,,,,,,,,
西藏自治区,104.6,126.4,113.1,104.9,114.4,106.1,107.6,153.2,114.2,,,,,,,,,,,
陕西省,109.7,92.2,115.9,123.9,115.5,117.5,123.2,125.5,112.2,,,,,,,,,,,
甘肃省,113.3,108.5,126.9,110.0,107.6,114.3,116.4,121.6,104.1,,,,,,,,,,,
青海省,107.6,86.5,114.7,123.9,113.9,117.1,122.1,121.1,119.8,,,,,,,,,,,
宁夏回族自治区,105.2,97.0,131.6,119.0,111.9,107.9,115.3,124.0,112.1,,,,,,,,,,,
新疆维吾尔自治区,110.0,107.4,121.8,122.9,117.9,107.0,113.6,118.8,115.1,,,,,,,,,,,
数据来源：国家统计局
