数据库：分省年度数据
指标：城镇集体单位就业人员工资总额指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,115.4,97.7,114.2,109.2,106.3,156.7,105.1,100.6,98.5,,,,,,,,,,,
天津市,111.7,92.5,106.0,179.3,121.4,71.0,105.8,109.6,107.8,,,,,,,,,,,
河北省,97.5,98.8,109.4,97.0,116.7,113.4,105.2,110.1,107.7,,,,,,,,,,,
山西省,97.4,96.0,121.9,129.9,118.3,93.0,115.0,113.7,113.7,,,,,,,,,,,
内蒙古自治区,90.6,95.9,116.9,124.0,116.7,117.3,121.1,112.0,103.8,,,,,,,,,,,
辽宁省,94.0,119.8,118.8,137.6,112.7,106.0,118.3,105.0,110.0,,,,,,,,,,,
吉林省,99.3,92.4,111.5,105.2,111.4,109.3,105.3,93.3,103.8,,,,,,,,,,,
黑龙江省,107.7,120.0,113.4,99.7,91.7,118.5,111.1,106.3,114.6,,,,,,,,,,,
上海市,124.8,105.4,118.9,140.4,99.2,106.3,101.3,115.4,102.9,,,,,,,,,,,
江苏省,105.9,153.3,113.7,122.5,113.4,105.1,118.8,117.3,108.0,,,,,,,,,,,
浙江省,97.0,97.8,103.2,114.9,118.2,113.8,108.4,111.0,103.5,,,,,,,,,,,
安徽省,104.8,105.8,112.1,121.6,115.6,86.4,111.6,116.8,109.4,,,,,,,,,,,
福建省,115.7,92.3,118.4,118.5,110.2,104.9,111.0,121.7,108.4,,,,,,,,,,,
江西省,114.1,103.7,116.2,176.5,110.8,107.1,97.6,127.4,101.8,,,,,,,,,,,
山东省,94.0,114.5,118.8,123.8,120.3,117.3,112.4,114.7,107.9,,,,,,,,,,,
河南省,108.4,108.5,111.5,121.3,115.9,76.6,89.8,121.7,114.5,,,,,,,,,,,
湖北省,108.0,78.3,132.9,94.8,123.8,111.4,107.6,88.1,117.8,,,,,,,,,,,
湖南省,105.2,95.4,111.9,112.6,113.4,99.6,114.7,129.9,109.1,,,,,,,,,,,
广东省,111.8,119.6,111.2,119.7,110.0,104.1,106.3,110.1,106.6,,,,,,,,,,,
广西壮族自治区,118.0,100.3,104.5,118.3,118.7,108.7,116.8,112.4,104.9,,,,,,,,,,,
海南省,83.0,99.8,125.9,115.9,126.5,126.5,108.3,119.4,106.2,,,,,,,,,,,
重庆市,117.3,106.7,96.2,121.4,121.7,111.7,112.0,97.1,105.0,,,,,,,,,,,
四川省,104.9,106.6,116.4,121.2,99.2,113.4,116.9,116.5,112.2,,,,,,,,,,,
贵州省,115.5,112.4,110.8,134.0,111.1,97.3,113.4,117.8,111.8,,,,,,,,,,,
云南省,96.8,129.5,130.2,135.8,113.3,114.0,113.8,112.0,134.7,,,,,,,,,,,
西藏自治区,76.0,125.6,185.2,77.6,135.9,85.6,111.4,110.2,109.2,,,,,,,,,,,
陕西省,111.7,145.0,119.6,128.9,107.9,110.2,116.5,119.3,110.3,,,,,,,,,,,
甘肃省,100.7,141.3,125.8,134.8,111.8,119.3,108.3,103.6,88.5,,,,,,,,,,,
青海省,114.8,95.6,101.2,129.9,106.3,99.8,111.5,124.8,107.3,,,,,,,,,,,
宁夏回族自治区,74.0,110.6,109.9,117.8,117.5,105.1,108.5,114.1,109.4,,,,,,,,,,,
新疆维吾尔自治区,103.6,97.3,122.8,132.2,116.2,106.3,105.9,105.5,102.1,,,,,,,,,,,
数据来源：国家统计局
