数据库：分省年度数据
指标：其他城镇单位就业人员平均实际工资指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,108.2,107.3,108.8,109.3,110.4,104.9,,,,,,,,,,,,,,
天津市,103.8,108.1,110.0,102.7,112.1,109.2,,,,,,,,,,,,,,
河北省,105.6,109.5,106.3,105.7,114.5,115.0,,,,,,,,,,,,,,
山西省,100.9,98.5,107.3,121.8,122.4,109.8,,,,,,,,,,,,,,
内蒙古自治区,106.2,109.4,110.9,110.3,110.0,113.4,,,,,,,,,,,,,,
辽宁省,105.3,107.6,107.5,102.9,110.8,115.6,,,,,,,,,,,,,,
吉林省,107.1,104.1,110.2,109.7,108.4,113.0,,,,,,,,,,,,,,
黑龙江省,103.2,118.9,112.9,107.9,107.7,101.2,,,,,,,,,,,,,,
上海市,108.9,117.1,100.7,109.0,111.1,110.8,,,,,,,,,,,,,,
江苏省,104.5,118.5,109.3,111.2,110.7,110.2,,,,,,,,,,,,,,
浙江省,107.1,111.9,111.6,109.2,109.6,110.4,,,,,,,,,,,,,,
安徽省,103.9,103.0,109.4,113.4,112.4,108.6,,,,,,,,,,,,,,
福建省,108.2,108.0,113.1,116.6,113.7,112.2,,,,,,,,,,,,,,
江西省,106.5,103.5,120.2,113.0,115.5,121.6,,,,,,,,,,,,,,
山东省,107.9,113.3,110.5,109.9,111.4,113.4,,,,,,,,,,,,,,
河南省,107.9,97.2,107.7,107.2,107.5,112.3,,,,,,,,,,,,,,
湖北省,107.7,112.0,110.3,112.8,117.8,116.6,,,,,,,,,,,,,,
湖南省,108.7,107.2,109.3,117.2,111.7,111.9,,,,,,,,,,,,,,
广东省,109.8,107.3,109.3,107.5,108.5,111.9,,,,,,,,,,,,,,
广西壮族自治区,109.1,113.2,108.0,106.1,111.7,112.8,,,,,,,,,,,,,,
海南省,106.9,108.7,107.6,109.3,106.4,112.1,,,,,,,,,,,,,,
重庆市,107.5,112.5,108.7,106.4,112.7,117.3,,,,,,,,,,,,,,
四川省,110.4,119.6,110.1,110.7,115.6,112.2,,,,,,,,,,,,,,
贵州省,112.8,119.0,105.9,110.9,113.5,115.7,,,,,,,,,,,,,,
云南省,102.8,120.0,109.3,114.1,106.2,109.3,,,,,,,,,,,,,,
西藏自治区,122.3,94.4,135.6,99.9,123.5,146.0,,,,,,,,,,,,,,
陕西省,106.4,118.0,109.8,101.2,109.2,106.7,,,,,,,,,,,,,,
甘肃省,108.9,107.6,110.5,110.6,113.1,110.5,,,,,,,,,,,,,,
青海省,110.3,124.3,118.8,124.3,111.2,97.8,,,,,,,,,,,,,,
宁夏回族自治区,107.3,103.0,104.3,107.4,115.6,112.8,,,,,,,,,,,,,,
新疆维吾尔自治区,106.9,107.7,111.4,116.2,109.1,113.5,,,,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
