数据库：分省年度数据
指标：城镇集体单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,45500,42502,38552,32574,26677,23450,24227,20235,17550,,,,,,,,,,,
天津市,44946,41094,40494,35213,37686,29018,25113,21539,17752,,,,,,,,,,,
河北省,36358,33057,28597,24788,21825,18005,15050,12304,10255,,,,,,,,,,,
山西省,38841,36409,32780,27038,21579,18115,16663,13987,12014,,,,,,,,,,,
内蒙古自治区,53766,50932,45344,37382,29287,24145,18526,14278,12404,,,,,,,,,,,
辽宁省,32889,31789,28183,23845,19904,16870,15093,12117,10793,,,,,,,,,,,
吉林省,37351,34570,29506,25252,16877,14335,12675,11087,9106,,,,,,,,,,,
黑龙江省,37740,35819,28762,24712,19596,16190,13088,10791,9194,,,,,,,,,,,
上海市,60008,55098,52786,51422,41106,36663,30562,27949,22959,,,,,,,,,,,
江苏省,53122,50560,42368,36085,30263,25955,22357,18496,15279,,,,,,,,,,,
浙江省,56684,52070,46789,41039,35665,31319,28747,25242,22006,,,,,,,,,,,
安徽省,41741,37926,34741,29539,23869,19984,18061,15109,11722,,,,,,,,,,,
福建省,50679,41293,38576,33760,26652,24227,21790,18706,15549,,,,,,,,,,,
江西省,39893,36004,29429,24403,17898,16142,13673,12404,10000,,,,,,,,,,,
山东省,45015,41416,34001,29683,25626,21344,18482,15502,13024,,,,,,,,,,,
河南省,37601,33135,27682,24220,20385,18006,16873,15674,12377,,,,,,,,,,,
湖北省,36449,33216,32683,26536,23954,18819,14651,12869,10265,,,,,,,,,,,
湖南省,36417,32975,29663,26066,21595,19295,17969,15496,12490,,,,,,,,,,,
广东省,40509,35650,30947,25573,22453,20318,18446,16347,14545,,,,,,,,,,,
广西壮族自治区,36874,32197,28819,22123,21533,18575,16372,13774,12025,,,,,,,,,,,
海南省,38393,36418,31715,24862,20434,17499,15203,11830,9604,,,,,,,,,,,
重庆市,40166,34492,30087,28078,23817,20057,17253,15044,13471,,,,,,,,,,,
四川省,43707,39112,33409,28342,23441,21043,18386,15089,12624,,,,,,,,,,,
贵州省,55520,47941,38882,30894,24065,21707,20482,16549,12590,,,,,,,,,,,
云南省,48389,43702,37211,32102,24213,20664,17709,13766,11859,,,,,,,,,,,
西藏自治区,29574,24865,25966,15163,16206,11949,12979,11354,10767,,,,,,,,,,,
陕西省,42932,38455,32399,26670,20400,16346,13335,11059,8879,,,,,,,,,,,
甘肃省,34257,32822,32580,27826,22084,18914,15761,12858,11411,,,,,,,,,,,
青海省,40883,34255,29341,23745,20289,17807,14936,12931,10780,,,,,,,,,,,
宁夏回族自治区,44674,48650,44330,37143,38127,33600,30244,23877,18504,,,,,,,,,,,
新疆维吾尔自治区,59378,56809,46452,38944,31249,22721,21894,17528,14058,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
