数据库：分省年度数据
指标：城镇单位就业人员平均货币工资指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,110.0,109.8,112.3,115.8,112.8,103.5,121.9,115.5,117.9,,,,,,,,,,,
天津市,107.4,110.2,110.5,108.1,117.2,109.9,120.0,120.6,114.5,,,,,,,,,,,
河北省,108.7,107.4,109.5,112.3,113.2,114.4,123.0,120.0,112.8,,,,,,,,,,,
山西省,105.5,104.9,112.8,118.7,117.8,110.1,119.6,117.7,117.0,,,,,,,,,,,
内蒙古自治区,106.0,108.9,113.2,116.8,115.5,117.5,119.1,118.6,115.5,,,,,,,,,,,
辽宁省,105.9,108.7,109.7,110.8,112.8,112.3,118.8,118.2,112.9,,,,,,,,,,,
吉林省,108.6,111.6,114.3,115.9,111.8,111.4,114.3,124.3,114.0,,,,,,,,,,,
黑龙江省,107.9,112.1,116.3,112.9,111.8,114.0,117.8,116.3,113.7,,,,,,,,,,,
上海市,110.3,115.6,104.1,114.3,113.3,111.9,115.9,119.7,119.0,,,,,,,,,,,
江苏省,106.5,112.9,111.3,114.4,112.9,112.5,115.0,115.0,113.3,,,,,,,,,,,
浙江省,108.8,112.7,111.1,111.1,111.2,108.7,109.1,111.8,107.3,,,,,,,,,,,
安徽省,106.5,107.2,113.3,118.0,116.1,111.8,118.5,123.2,117.3,,,,,,,,,,,
福建省,110.1,109.0,115.4,119.3,114.0,111.0,114.7,114.7,113.0,,,,,,,,,,,
江西省,108.8,110.3,115.9,117.2,117.4,117.3,113.5,118.1,113.6,,,,,,,,,,,
山东省,110.3,112.2,111.4,112.9,113.3,112.1,115.4,118.8,115.5,,,,,,,,,,,
河南省,110.1,102.6,111.0,112.8,110.8,110.1,118.4,122.9,118.9,,,,,,,,,,,
湖北省,113.5,110.2,110.3,113.6,119.8,118.6,114.5,123.9,115.0,,,,,,,,,,,
湖南省,110.3,109.6,112.7,116.6,111.8,109.9,114.7,121.0,113.7,,,,,,,,,,,
广东省,111.6,106.0,111.6,111.4,110.9,109.6,112.2,112.3,109.4,,,,,,,,,,,
广西壮族自治区,109.7,113.8,110.2,107.7,112.3,110.2,116.7,120.9,116.5,,,,,,,,,,,
海南省,110.9,113.9,108.9,117.8,124.1,113.9,113.3,121.3,110.2,,,,,,,,,,,
重庆市,111.2,112.4,112.9,113.5,113.9,114.5,116.0,119.8,115.6,,,,,,,,,,,
四川省,109.6,113.3,113.4,114.6,115.7,113.8,117.3,119.7,112.6,,,,,,,,,,,
贵州省,111.4,115.1,114.0,118.6,110.9,114.4,118.4,122.9,117.0,,,,,,,,,,,
云南省,108.6,112.8,110.7,116.5,111.6,112.3,117.0,109.0,116.1,,,,,,,,,,,
西藏自治区,106.0,111.7,104.5,99.1,110.0,102.9,102.9,147.1,110.1,,,,,,,,,,,
陕西省,106.5,110.2,112.9,114.3,112.9,116.0,121.5,126.0,114.3,,,,,,,,,,,
甘肃省,109.6,113.7,117.4,110.3,108.8,113.2,114.4,121.6,115.9,,,,,,,,,,,
青海省,111.1,110.6,112.4,114.5,111.2,107.9,118.9,115.2,118.5,,,,,,,,,,,
宁夏回族自治区,108.7,106.4,111.1,114.9,112.9,109.5,116.8,123.1,123.1,,,,,,,,,,,
新疆维吾尔自治区,109.0,110.1,116.6,119.5,115.9,111.9,116.2,120.0,114.2,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
