数据库：分省年度数据
指标：国有城镇单位就业人员平均货币工资指数(上年=100)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,108.9,107.9,111.5,116.1,111.4,106.7,117.3,117.0,110.6,,,,,,,,,,,
天津市,111.0,111.2,106.4,113.3,118.2,111.5,124.5,119.0,117.6,,,,,,,,,,,
河北省,109.3,101.2,109.2,112.2,110.8,114.4,121.6,121.7,112.2,,,,,,,,,,,
山西省,108.7,103.2,111.9,111.9,113.1,110.1,118.6,119.2,116.9,,,,,,,,,,,
内蒙古自治区,104.3,109.5,112.5,117.5,116.0,118.3,119.5,117.8,116.7,,,,,,,,,,,
辽宁省,104.0,106.4,108.2,112.4,111.4,110.6,118.8,119.6,112.5,,,,,,,,,,,
吉林省,108.0,116.0,114.9,113.8,111.1,110.6,113.9,126.6,117.2,,,,,,,,,,,
黑龙江省,109.5,106.1,116.2,111.7,110.7,119.0,117.2,118.2,112.8,,,,,,,,,,,
上海市,107.0,106.5,107.4,116.2,111.2,113.4,113.3,125.3,120.7,,,,,,,,,,,
江苏省,106.5,110.8,110.3,112.0,112.6,115.0,116.9,116.3,116.4,,,,,,,,,,,
浙江省,107.9,110.4,108.4,108.7,109.5,110.6,108.2,113.5,109.8,,,,,,,,,,,
安徽省,106.8,108.6,114.1,116.3,115.9,113.5,117.0,126.0,114.9,,,,,,,,,,,
福建省,108.2,107.4,115.7,116.9,111.2,112.2,117.2,116.7,114.6,,,,,,,,,,,
江西省,109.3,114.9,110.7,118.5,117.4,115.8,114.5,118.9,115.2,,,,,,,,,,,
山东省,110.7,110.3,110.2,112.9,112.2,111.5,114.0,119.7,114.9,,,,,,,,,,,
河南省,110.3,107.4,111.2,112.4,110.4,108.7,119.0,124.5,120.1,,,,,,,,,,,
湖北省,119.1,106.6,107.4,111.6,120.1,120.2,112.4,121.9,115.9,,,,,,,,,,,
湖南省,109.5,109.3,113.4,111.7,110.1,110.1,114.6,124.4,113.2,,,,,,,,,,,
广东省,109.8,105.4,110.1,110.1,110.4,109.9,112.0,116.1,108.8,,,,,,,,,,,
广西壮族自治区,108.3,112.9,108.1,107.1,111.3,110.3,117.4,123.0,117.3,,,,,,,,,,,
海南省,113.7,117.2,107.1,118.9,130.6,114.3,113.0,122.7,106.1,,,,,,,,,,,
重庆市,114.6,110.6,115.8,117.3,111.7,113.9,116.7,118.4,114.6,,,,,,,,,,,
四川省,105.8,112.9,113.5,114.5,114.0,114.5,117.0,120.9,112.7,,,,,,,,,,,
贵州省,108.7,113.8,117.0,118.7,108.7,115.2,116.3,125.3,119.8,,,,,,,,,,,
云南省,111.5,107.9,112.2,116.7,112.7,113.2,116.7,114.1,118.7,,,,,,,,,,,
西藏自治区,103.3,114.7,102.9,98.7,109.1,102.3,102.7,148.7,109.7,,,,,,,,,,,
陕西省,104.1,106.3,112.8,116.9,111.9,118.4,122.0,126.3,112.5,,,,,,,,,,,
甘肃省,108.7,118.8,118.6,108.3,106.4,113.0,113.2,123.2,114.6,,,,,,,,,,,
青海省,109.8,109.2,108.1,113.3,110.7,109.0,119.6,118.5,117.4,,,,,,,,,,,
宁夏回族自治区,108.0,106.5,113.7,116.7,108.6,107.3,115.9,124.6,120.7,,,,,,,,,,,
新疆维吾尔自治区,108.8,107.9,117.0,117.1,116.5,110.9,113.2,120.3,115.1,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
