数据库：分省年度数据
指标：有限责任公司就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,83104,74700,67006,60095,51189,44653,42832,35480,30732,,,,,,,,,,,
天津市,65191,62761,57532,51067,49569,43765,39019,33191,26722,,,,,,,,,,,
河北省,44671,41803,37630,35630,33149,28437,25367,19803,17580,,,,,,,,,,,
山西省,52863,51715,53773,51411,39214,30704,28640,23621,20554,,,,,,,,,,,
内蒙古自治区,49684,46341,40603,35721,30927,26944,23236,20607,17439,,,,,,,,,,,
辽宁省,44589,42389,38795,35596,33018,29295,26415,21803,18852,,,,,,,,,,,
吉林省,39974,36730,32097,27539,23768,21791,19924,16774,15249,,,,,,,,,,,
黑龙江省,46308,43801,32763,27961,24533,20282,17869,15100,13949,,,,,,,,,,,
上海市,77619,69954,59409,59566,56932,48925,45119,38783,31305,,,,,,,,,,,
江苏省,54540,51714,43882,38804,32504,28845,26737,23372,20453,,,,,,,,,,,
浙江省,50180,45992,39321,34571,30893,27668,25471,22487,19903,,,,,,,,,,,
安徽省,50263,48036,45271,40173,33997,29923,29562,24566,20773,,,,,,,,,,,
福建省,49229,44343,40315,34641,27844,24529,21940,19589,17366,,,,,,,,,,,
江西省,44393,40603,38734,31600,24183,20110,18504,17610,14710,,,,,,,,,,,
山东省,46864,42856,36643,32783,28208,24340,21160,18306,15732,,,,,,,,,,,
河南省,38334,34323,36386,33136,28775,25701,24012,19728,17051,,,,,,,,,,,
湖北省,46802,42990,36549,32472,27114,22507,19079,16674,14683,,,,,,,,,,,
湖南省,44147,40178,37014,33243,27271,23496,21163,18047,15754,,,,,,,,,,,
广东省,57574,50814,45754,42282,39271,36425,33246,30694,28138,,,,,,,,,,,
广西壮族自治区,45310,40598,34623,30747,27668,24037,22050,18891,16549,,,,,,,,,,,
海南省,45035,42414,35646,30810,27197,23737,23163,20677,17359,,,,,,,,,,,
重庆市,48850,45338,38129,35692,31649,26929,23238,19953,15637,,,,,,,,,,,
四川省,46288,42025,34063,29328,25352,21327,18707,15682,13251,,,,,,,,,,,
贵州省,48135,41461,33332,28890,26261,22323,19865,16244,14227,,,,,,,,,,,
云南省,41921,41170,31617,28372,23369,22055,19467,17298,16308,,,,,,,,,,,
西藏自治区,60372,49303,58256,49219,44520,36882,26410,26089,27741,,,,,,,,,,,
陕西省,48941,44557,36845,32503,29819,26608,28432,23721,18215,,,,,,,,,,,
甘肃省,42171,37354,35071,31151,27087,22963,18679,15819,13998,,,,,,,,,,,
青海省,44675,39773,35989,29124,22457,19416,17260,14310,13952,,,,,,,,,,,
宁夏回族自治区,55471,52368,50718,48660,43644,36495,32322,26961,22711,,,,,,,,,,,
新疆维吾尔自治区,55073,49548,42724,36723,29660,25909,22846,19476,16450,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
