数据库：分省年度数据
指标：外商投资单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,142300,130840,118777,105793,100409,91165,83977,64388,64192,,,,,,,,,,,
天津市,72635,65775,58900,50619,47111,41566,39754,35357,28654,,,,,,,,,,,
河北省,47650,43662,40319,36465,31098,27893,24955,21328,18014,,,,,,,,,,,
山西省,48668,45108,33521,32398,32612,27950,26636,20733,17363,,,,,,,,,,,
内蒙古自治区,51757,51134,51050,41176,32218,26290,25846,23612,19041,,,,,,,,,,,
辽宁省,60754,54523,45859,39411,34563,29688,26077,22093,19756,,,,,,,,,,,
吉林省,54312,48718,55199,46822,42284,37283,31926,27121,22562,,,,,,,,,,,
黑龙江省,49455,45526,37395,32289,25428,20846,23799,19818,18206,,,,,,,,,,,
上海市,118493,106045,83960,75481,63182,55940,49423,44845,42556,,,,,,,,,,,
江苏省,63846,59094,47276,42298,36749,31218,29478,25978,23446,,,,,,,,,,,
浙江省,57842,51678,44677,38702,32093,27492,25576,23340,20950,,,,,,,,,,,
安徽省,51820,47165,41435,41481,30688,25931,23112,20368,19283,,,,,,,,,,,
福建省,51096,47335,42642,37137,29703,25039,22945,20282,17860,,,,,,,,,,,
江西省,41025,38038,38758,32162,24905,21036,15025,13127,13731,,,,,,,,,,,
山东省,47831,42981,38490,34149,29305,26665,23970,21197,18248,,,,,,,,,,,
河南省,39721,36985,36053,32674,29620,27120,25237,21371,17452,,,,,,,,,,,
湖北省,62118,52642,48103,44249,38398,31323,27934,23167,23261,,,,,,,,,,,
湖南省,48429,44027,38053,34997,27201,23148,21869,19951,17574,,,,,,,,,,,
广东省,58926,53926,50154,42677,37386,34170,32054,28834,26522,,,,,,,,,,,
广西壮族自治区,50537,44965,44542,40097,37428,32758,28030,25943,22427,,,,,,,,,,,
海南省,54102,47824,41149,34899,29495,26955,23444,23186,22625,,,,,,,,,,,
重庆市,57256,50604,44741,41512,35738,31690,28226,27277,25037,,,,,,,,,,,
四川省,54982,47031,37646,34763,29872,26882,24989,22327,20749,,,,,,,,,,,
贵州省,54207,48239,35073,31893,27944,24694,22860,19323,15359,,,,,,,,,,,
云南省,48207,44758,38269,31519,28562,27409,24686,22324,20944,,,,,,,,,,,
西藏自治区,60819,54764,49635,43424,,,,,,,,,,,,,,,,
陕西省,53116,51482,50040,35895,38728,34046,29889,24675,18077,,,,,,,,,,,
甘肃省,61330,41875,45857,36740,32877,27518,18426,22401,20139,,,,,,,,,,,
青海省,45109,39891,38559,32539,24019,19738,21808,11059,11430,,,,,,,,,,,
宁夏回族自治区,52237,47264,42590,40033,34545,25614,29335,26788,21971,,,,,,,,,,,
新疆维吾尔自治区,52101,49232,40271,35344,31311,27212,22543,21563,18122,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
