数据库：分省年度数据
指标：采矿业城镇单位就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6.11,6.76,6.88,6.72,4.50,5.03,4.55,,,,,,,,,,,,,
天津市,6.64,7.61,6.92,10.41,9.00,9.27,7.02,,,,,,,,,,,,,
河北省,27.26,28.27,28.80,28.42,27.80,27.02,28.09,,,,,,,,,,,,,
山西省,98.52,103.01,90.26,85.70,79.60,75.03,71.67,,,,,,,,,,,,,
内蒙古自治区,20.38,21.54,21.47,20.55,18.50,17.88,17.29,,,,,,,,,,,,,
辽宁省,31.29,34.03,32.55,33.07,35.20,35.46,33.56,,,,,,,,,,,,,
吉林省,14.28,15.40,16.64,14.78,15.60,18.27,17.61,,,,,,,,,,,,,
黑龙江省,35.93,38.41,41.33,43.49,42.20,42.81,44.00,,,,,,,,,,,,,
上海市,0.06,0.05,0.05,0.05,0.10,0.09,0.08,,,,,,,,,,,,,
江苏省,11.77,13.62,12.83,12.85,12.60,13.67,13.59,,,,,,,,,,,,,
浙江省,0.86,0.97,1.40,1.56,1.70,1.66,1.59,,,,,,,,,,,,,
安徽省,31.33,33.10,34.61,34.03,32.10,30.30,29.25,,,,,,,,,,,,,
福建省,2.53,2.77,5.32,6.91,4.80,5.10,4.82,,,,,,,,,,,,,
江西省,7.77,8.33,10.12,8.97,9.00,8.48,10.09,,,,,,,,,,,,,
山东省,71.15,74.60,78.82,73.42,66.80,63.09,62.07,,,,,,,,,,,,,
河南省,56.34,62.57,63.00,63.67,52.60,53.32,50.33,,,,,,,,,,,,,
湖北省,7.78,8.95,11.97,12.98,9.90,8.81,10.07,,,,,,,,,,,,,
湖南省,12.59,15.50,15.19,15.35,15.40,15.01,13.21,,,,,,,,,,,,,
广东省,2.99,2.94,3.44,3.21,3.40,3.33,3.43,,,,,,,,,,,,,
广西壮族自治区,3.80,4.36,5.28,4.75,4.40,4.34,5.42,,,,,,,,,,,,,
海南省,0.70,0.79,0.98,1.00,0.90,0.90,0.90,,,,,,,,,,,,,
重庆市,8.99,10.14,10.39,10.40,9.40,9.53,9.20,,,,,,,,,,,,,
四川省,23.51,23.20,24.48,21.31,20.40,21.91,23.19,,,,,,,,,,,,,
贵州省,17.59,18.42,18.17,13.54,11.80,11.54,10.83,,,,,,,,,,,,,
云南省,17.34,22.92,22.27,18.41,15.20,14.55,11.52,,,,,,,,,,,,,
西藏自治区,0.56,0.57,0.20,0.12,0.20,0.16,0.13,,,,,,,,,,,,,
陕西省,36.10,36.31,29.99,28.92,24.70,23.20,23.74,,,,,,,,,,,,,
甘肃省,12.60,10.58,9.66,9.69,9.10,8.81,8.58,,,,,,,,,,,,,
青海省,4.21,4.42,2.59,2.60,2.00,1.93,1.79,,,,,,,,,,,,,
宁夏回族自治区,6.33,6.60,6.56,6.01,5.80,5.55,5.01,,,,,,,,,,,,,
新疆维吾尔自治区,19.20,19.71,18.85,18.71,17.50,17.62,17.75,,,,,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
