数据库：分省年度数据
指标：建筑业城镇单位就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,45.60,43.91,42.74,42.53,39.40,34.11,32.76,,,,,,,,,,,,,
天津市,31.27,31.04,31.10,30.56,10.20,10.67,10.85,,,,,,,,,,,,,
河北省,89.05,90.62,81.40,50.62,36.50,33.94,34.56,,,,,,,,,,,,,
山西省,35.54,38.45,38.78,25.14,22.50,22.55,19.83,,,,,,,,,,,,,
内蒙古自治区,22.91,25.49,18.25,16.71,13.60,13.69,13.41,,,,,,,,,,,,,
辽宁省,102.32,112.05,60.92,47.89,31.20,29.47,28.45,,,,,,,,,,,,,
吉林省,33.19,33.87,17.64,13.37,13.40,12.94,13.75,,,,,,,,,,,,,
黑龙江省,33.85,37.22,35.62,30.58,27.00,29.91,30.12,,,,,,,,,,,,,
上海市,37.28,37.18,48.86,36.75,11.30,11.01,11.08,,,,,,,,,,,,,
江苏省,450.20,420.53,69.50,65.19,52.30,46.04,38.35,,,,,,,,,,,,,
浙江省,329.45,303.23,294.07,236.72,180.20,155.85,121.73,,,,,,,,,,,,,
安徽省,97.08,99.68,69.94,58.43,42.10,40.70,34.21,,,,,,,,,,,,,
福建省,154.75,146.19,121.70,99.95,62.40,51.96,45.01,,,,,,,,,,,,,
江西省,94.41,91.33,66.63,49.53,29.40,27.43,25.25,,,,,,,,,,,,,
山东省,177.51,188.65,136.84,121.94,80.30,70.46,65.71,,,,,,,,,,,,,
河南省,189.61,189.48,125.58,116.06,93.70,87.32,80.64,,,,,,,,,,,,,
湖北省,144.15,140.40,97.07,103.14,72.50,69.82,61.72,,,,,,,,,,,,,
湖南省,107.92,107.39,94.60,87.34,75.60,71.65,66.92,,,,,,,,,,,,,
广东省,149.41,162.28,107.58,92.68,64.40,63.15,59.59,,,,,,,,,,,,,
广西壮族自治区,60.96,60.86,42.52,38.70,30.50,27.55,23.56,,,,,,,,,,,,,
海南省,7.32,7.69,5.95,5.58,6.80,6.24,4.94,,,,,,,,,,,,,
重庆市,103.81,103.64,85.16,82.82,48.00,43.32,41.14,,,,,,,,,,,,,
四川省,155.56,177.84,116.09,111.80,99.90,99.65,93.79,,,,,,,,,,,,,
贵州省,42.81,39.45,34.87,28.27,23.30,22.02,21.74,,,,,,,,,,,,,
云南省,67.61,73.68,66.44,48.12,37.60,36.29,36.01,,,,,,,,,,,,,
西藏自治区,1.93,1.75,0.50,0.77,0.80,0.85,0.75,,,,,,,,,,,,,
陕西省,70.98,72.14,42.81,34.61,25.20,24.08,20.63,,,,,,,,,,,,,
甘肃省,45.69,46.06,22.99,19.05,15.40,14.05,16.31,,,,,,,,,,,,,
青海省,7.55,7.32,7.35,6.63,4.10,4.00,3.51,,,,,,,,,,,,,
宁夏回族自治区,6.02,6.24,4.39,2.65,3.00,2.43,2.41,,,,,,,,,,,,,
新疆维吾尔自治区,25.43,26.25,22.38,20.64,15.00,14.33,13.84,,,,,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
