数据库：分省年度数据
指标：信息传输、计算机服务和软件业城镇单位就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,61.11,58.24,52.63,49.09,41.70,36.21,33.41,,,,,,,,,,,,,
天津市,3.85,3.57,3.27,2.08,2.20,2.48,2.53,,,,,,,,,,,,,
河北省,8.56,8.63,6.50,5.86,6.30,6.05,5.58,,,,,,,,,,,,,
山西省,5.50,6.02,5.27,4.93,4.10,4.29,4.56,,,,,,,,,,,,,
内蒙古自治区,5.02,5.85,4.41,4.20,3.90,3.91,3.75,,,,,,,,,,,,,
辽宁省,12.96,12.71,9.01,8.47,7.00,6.08,6.13,,,,,,,,,,,,,
吉林省,6.58,6.74,4.73,5.79,5.20,5.09,3.64,,,,,,,,,,,,,
黑龙江省,7.64,7.10,6.11,6.12,5.60,5.33,5.50,,,,,,,,,,,,,
上海市,24.78,21.65,8.55,8.20,6.70,6.52,5.63,,,,,,,,,,,,,
江苏省,29.04,30.46,10.79,9.92,8.70,7.33,7.27,,,,,,,,,,,,,
浙江省,16.44,15.35,14.07,12.56,11.20,10.03,8.87,,,,,,,,,,,,,
安徽省,7.38,6.21,4.55,4.37,3.80,3.74,3.47,,,,,,,,,,,,,
福建省,7.10,6.96,5.33,5.43,4.60,4.09,3.86,,,,,,,,,,,,,
江西省,7.15,6.35,4.34,3.22,3.30,3.61,2.93,,,,,,,,,,,,,
山东省,16.97,17.54,9.13,8.37,6.60,6.20,5.77,,,,,,,,,,,,,
河南省,9.72,9.46,6.34,5.87,4.90,5.20,3.99,,,,,,,,,,,,,
湖北省,10.54,9.10,5.64,5.64,4.50,4.62,4.12,,,,,,,,,,,,,
湖南省,7.62,7.32,7.05,6.86,5.70,4.94,5.19,,,,,,,,,,,,,
广东省,34.63,33.26,18.59,19.74,17.60,16.73,16.21,,,,,,,,,,,,,
广西壮族自治区,4.46,5.24,4.43,4.21,3.60,3.53,3.31,,,,,,,,,,,,,
海南省,1.56,1.30,1.00,0.97,0.70,0.69,0.63,,,,,,,,,,,,,
重庆市,4.65,4.89,3.94,3.94,2.90,2.55,2.69,,,,,,,,,,,,,
四川省,16.29,15.62,5.99,6.47,6.30,5.92,5.18,,,,,,,,,,,,,
贵州省,3.29,3.35,2.46,2.68,2.70,2.38,2.47,,,,,,,,,,,,,
云南省,5.25,6.65,4.31,4.07,3.50,4.05,3.81,,,,,,,,,,,,,
西藏自治区,0.51,0.51,0.31,0.22,0.40,0.37,0.38,,,,,,,,,,,,,
陕西省,10.37,9.47,7.81,7.72,7.10,6.19,3.71,,,,,,,,,,,,,
甘肃省,2.76,3.06,2.04,1.80,1.80,2.24,1.55,,,,,,,,,,,,,
青海省,0.93,1.00,0.93,0.88,0.80,0.82,0.82,,,,,,,,,,,,,
宁夏回族自治区,0.84,0.83,0.63,0.60,0.60,0.68,0.64,,,,,,,,,,,,,
新疆维吾尔自治区,2.77,2.88,2.64,2.50,1.80,1.97,1.89,,,,,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
