数据库：分省年度数据
指标：水利、环境和公共设施管理业城镇单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,63.49,57.25,49.66,43.41,36.60,32.90,30.40,25.92,21.04,,,,,,,,,,,
天津市,28.70,25.96,20.94,16.39,15.60,13.24,11.28,9.25,7.77,,,,,,,,,,,
河北省,35.46,32.01,29.50,24.13,22.00,18.71,16.05,13.32,11.39,,,,,,,,,,,
山西省,22.66,19.60,15.93,13.46,10.50,9.34,8.02,7.47,6.32,,,,,,,,,,,
内蒙古自治区,32.61,32.70,29.65,24.74,20.10,16.96,13.14,11.50,8.69,,,,,,,,,,,
辽宁省,47.54,46.12,43.15,37.63,31.20,26.69,21.71,18.00,15.22,,,,,,,,,,,
吉林省,22.72,20.34,17.87,16.90,14.90,12.24,10.88,9.13,7.51,,,,,,,,,,,
黑龙江省,28.87,27.08,24.28,20.32,18.20,15.17,12.19,10.87,8.81,,,,,,,,,,,
上海市,55.16,48.18,32.65,29.87,26.20,26.06,22.66,18.09,15.45,,,,,,,,,,,
江苏省,73.40,62.38,53.17,46.48,37.70,32.35,29.87,24.96,20.55,,,,,,,,,,,
浙江省,58.53,53.72,52.72,43.78,35.10,25.27,21.07,18.24,15.05,,,,,,,,,,,
安徽省,29.61,25.40,23.81,17.92,13.20,11.98,10.62,9.19,7.51,,,,,,,,,,,
福建省,24.71,20.34,17.65,14.84,11.80,10.59,9.50,9.02,6.86,,,,,,,,,,,
江西省,29.30,30.45,16.39,10.86,11.00,8.58,7.94,6.95,5.96,,,,,,,,,,,
山东省,63.95,56.33,39.10,34.37,29.40,25.39,23.70,20.32,16.51,,,,,,,,,,,
河南省,46.30,38.99,39.41,35.15,29.80,25.53,23.45,19.87,14.92,,,,,,,,,,,
湖北省,35.63,28.42,27.58,21.75,19.30,15.14,13.20,12.02,11.68,,,,,,,,,,,
湖南省,29.52,25.90,23.63,19.48,19.00,16.66,15.44,12.36,9.61,,,,,,,,,,,
广东省,77.04,70.39,59.21,51.38,43.70,38.01,34.42,29.43,24.93,,,,,,,,,,,
广西壮族自治区,29.27,26.74,21.21,17.23,14.80,12.61,10.26,8.57,6.81,,,,,,,,,,,
海南省,10.28,9.64,6.71,5.25,4.50,3.40,3.09,2.88,2.26,,,,,,,,,,,
重庆市,21.26,16.82,13.63,10.48,7.70,6.30,5.40,4.68,3.41,,,,,,,,,,,
四川省,48.36,40.88,30.20,24.50,19.90,17.39,13.83,12.53,10.16,,,,,,,,,,,
贵州省,15.48,12.75,11.26,9.60,6.80,4.83,4.69,3.93,3.37,,,,,,,,,,,
云南省,24.90,23.53,15.24,12.86,9.40,8.26,7.07,6.16,5.48,,,,,,,,,,,
西藏自治区,0.75,0.73,0.59,0.61,0.50,0.51,0.50,0.51,0.28,,,,,,,,,,,
陕西省,36.10,31.40,27.63,22.76,18.40,15.46,11.48,8.27,6.23,,,,,,,,,,,
甘肃省,22.15,18.06,14.56,9.62,7.90,7.28,7.04,5.81,5.51,,,,,,,,,,,
青海省,4.54,4.07,3.40,3.20,2.80,2.31,1.91,1.48,1.16,,,,,,,,,,,
宁夏回族自治区,8.96,7.51,6.72,5.67,4.50,4.10,3.92,3.41,2.78,,,,,,,,,,,
新疆维吾尔自治区,22.62,19.97,17.09,15.17,13.20,11.05,9.10,8.03,6.61,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
