数据库：分省年度数据
指标：教育城镇单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,451.11,400.55,366.85,310.58,262.10,228.97,209.15,177.44,151.29,,,,,,,,,,,
天津市,157.11,153.28,122.64,115.04,109.10,93.76,74.32,57.61,48.08,,,,,,,,,,,
河北省,399.12,366.49,346.01,319.42,288.50,244.03,211.77,167.88,134.51,,,,,,,,,,,
山西省,239.79,216.76,190.86,171.77,148.70,131.87,118.17,97.51,81.64,,,,,,,,,,,
内蒙古自治区,225.06,217.84,195.28,176.76,151.10,128.28,104.37,85.16,71.04,,,,,,,,,,,
辽宁省,299.99,291.36,276.31,241.89,216.90,193.80,161.22,132.79,103.46,,,,,,,,,,,
吉林省,174.87,166.81,152.09,133.81,115.80,108.70,99.27,87.05,67.15,,,,,,,,,,,
黑龙江省,223.73,195.91,185.88,169.18,160.10,140.29,120.41,108.37,83.72,,,,,,,,,,,
上海市,283.69,266.40,242.86,227.77,185.60,170.26,152.19,119.90,97.65,,,,,,,,,,,
江苏省,662.70,585.28,529.82,472.64,420.80,357.76,295.90,256.40,210.70,,,,,,,,,,,
浙江省,557.46,509.00,459.84,417.13,385.20,338.45,270.54,242.37,204.07,,,,,,,,,,,
安徽省,312.30,292.92,265.91,231.34,194.90,167.58,148.75,131.63,100.68,,,,,,,,,,,
福建省,297.41,269.85,243.92,214.68,180.20,160.60,138.28,114.03,92.30,,,,,,,,,,,
江西省,245.50,209.41,182.95,154.27,142.10,121.82,100.85,91.01,73.68,,,,,,,,,,,
山东省,697.30,623.22,503.02,450.84,418.70,364.01,328.30,291.45,227.81,,,,,,,,,,,
河南省,544.94,488.40,465.70,421.03,376.30,333.99,289.85,251.16,186.42,,,,,,,,,,,
湖北省,348.87,278.94,280.80,234.84,223.20,184.85,144.66,135.16,109.08,,,,,,,,,,,
湖南省,341.42,298.21,276.88,250.14,222.90,198.03,188.96,163.20,123.33,,,,,,,,,,,
广东省,791.27,695.03,632.75,558.82,480.80,413.69,359.57,320.64,264.74,,,,,,,,,,,
广西壮族自治区,253.52,234.42,208.10,197.00,185.40,152.44,135.25,114.27,90.51,,,,,,,,,,,
海南省,77.68,67.41,61.51,57.31,47.60,34.87,26.80,22.61,17.64,,,,,,,,,,,
重庆市,250.58,199.64,178.30,159.65,129.60,113.85,90.92,75.10,60.42,,,,,,,,,,,
四川省,491.69,444.12,394.81,330.91,280.50,242.56,191.40,169.72,131.50,,,,,,,,,,,
贵州省,265.03,220.53,184.58,146.50,127.00,115.56,94.12,83.88,62.53,,,,,,,,,,,
云南省,293.32,261.75,218.18,190.46,165.60,147.17,112.76,100.93,89.01,,,,,,,,,,,
西藏自治区,30.34,27.20,24.32,23.11,20.50,18.85,17.28,16.41,9.40,,,,,,,,,,,
陕西省,314.92,296.99,271.96,240.26,218.50,183.95,152.36,116.87,86.43,,,,,,,,,,,
甘肃省,194.18,169.04,143.86,114.02,101.10,95.83,83.41,69.51,54.59,,,,,,,,,,,
青海省,47.76,43.85,38.85,37.18,31.60,28.09,23.95,18.63,15.02,,,,,,,,,,,
宁夏回族自治区,47.62,43.99,38.47,33.27,27.90,26.35,23.50,20.87,15.86,,,,,,,,,,,
新疆维吾尔自治区,202.20,186.52,167.69,137.21,118.30,98.33,87.83,77.67,63.56,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
