数据库：分省年度数据
指标：制造业城镇单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,813.43,763.68,695.25,613.80,482.30,414.51,384.90,347.05,299.26,,,,,,,,,,,
天津市,781.14,768.32,687.36,549.62,319.20,268.29,248.64,221.46,185.85,,,,,,,,,,,
河北省,648.96,608.07,535.15,428.06,330.40,279.42,248.96,210.73,181.14,,,,,,,,,,,
山西省,276.49,269.78,242.50,213.44,177.00,152.10,144.94,128.23,105.71,,,,,,,,,,,
内蒙古自治区,226.95,217.74,178.97,147.73,112.20,97.59,88.94,79.81,66.75,,,,,,,,,,,
辽宁省,833.09,821.07,668.80,609.54,463.20,407.82,382.70,313.88,273.29,,,,,,,,,,,
吉林省,452.85,409.33,260.28,229.89,187.80,153.75,136.34,121.59,99.64,,,,,,,,,,,
黑龙江省,266.38,261.15,235.34,207.23,177.40,188.48,178.28,171.63,149.84,,,,,,,,,,,
上海市,1679.63,1538.54,1435.12,1162.79,743.10,667.21,627.64,535.73,404.88,,,,,,,,,,,
江苏省,3570.14,3036.11,1555.27,1347.94,1063.20,847.64,812.02,686.04,561.15,,,,,,,,,,,
浙江省,1797.86,1649.95,1521.27,1345.97,1030.00,833.72,775.46,585.07,443.25,,,,,,,,,,,
安徽省,587.42,531.27,384.23,310.85,216.90,173.71,151.13,130.61,107.43,,,,,,,,,,,
福建省,1153.40,1091.68,1129.24,952.52,639.70,509.22,481.14,414.71,349.95,,,,,,,,,,,
江西省,570.91,493.08,273.52,266.52,180.50,145.14,121.97,106.50,90.43,,,,,,,,,,,
山东省,1934.17,1807.55,1448.12,1198.79,953.70,802.44,718.20,628.82,529.22,,,,,,,,,,,
河南省,1245.94,1034.07,693.12,563.04,406.10,358.84,322.33,270.08,231.54,,,,,,,,,,,
湖北省,898.47,814.97,629.25,594.51,414.50,294.60,248.04,203.48,220.68,,,,,,,,,,,
湖南省,626.46,579.66,512.40,449.79,297.00,240.15,200.73,167.52,134.74,,,,,,,,,,,
广东省,5376.19,4756.72,2306.77,1895.66,1487.10,1205.73,1083.79,943.49,779.90,,,,,,,,,,,
广西壮族自治区,328.13,304.12,235.57,200.13,158.60,135.38,122.78,108.90,92.92,,,,,,,,,,,
海南省,44.12,43.60,33.29,25.35,21.10,16.47,13.78,12.25,10.30,,,,,,,,,,,
重庆市,469.88,401.47,322.83,279.78,195.00,157.14,135.74,116.19,96.93,,,,,,,,,,,
四川省,864.81,916.64,533.31,464.65,351.30,297.61,273.69,225.77,192.93,,,,,,,,,,,
贵州省,210.60,199.80,170.83,138.90,107.20,93.56,87.83,78.70,67.51,,,,,,,,,,,
云南省,310.59,299.90,256.80,209.47,166.20,144.62,129.83,110.31,86.70,,,,,,,,,,,
西藏自治区,5.26,4.75,2.46,1.95,2.10,1.92,1.52,1.38,1.34,,,,,,,,,,,
陕西省,519.66,476.56,341.26,303.41,212.70,198.93,178.59,154.70,131.55,,,,,,,,,,,
甘肃省,184.95,182.11,141.64,122.05,104.10,100.86,93.01,80.26,72.21,,,,,,,,,,,
青海省,57.49,53.27,49.68,41.82,28.10,20.46,18.61,13.90,11.52,,,,,,,,,,,
宁夏回族自治区,66.06,54.80,43.34,38.44,31.10,25.85,24.83,21.73,17.42,,,,,,,,,,,
新疆维吾尔自治区,209.96,176.86,145.09,117.75,82.00,69.05,62.55,50.64,39.79,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
