数据库：分省年度数据
指标：信息传输、计算机服务和软件业城镇单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,893.76,784.62,669.67,545.42,420.30,357.68,314.47,216.77,171.64,,,,,,,,,,,
天津市,45.43,36.59,27.60,15.40,15.90,14.37,13.66,11.72,9.26,,,,,,,,,,,
河北省,71.10,60.44,32.85,27.32,24.10,22.09,17.93,15.69,13.82,,,,,,,,,,,
山西省,31.15,29.64,20.26,17.68,13.70,13.05,11.80,10.68,8.15,,,,,,,,,,,
内蒙古自治区,30.93,31.99,20.05,17.05,14.50,12.52,10.77,9.09,7.74,,,,,,,,,,,
辽宁省,102.95,91.60,58.70,48.79,38.10,32.63,29.54,22.68,19.86,,,,,,,,,,,
吉林省,37.32,33.49,21.28,22.21,17.40,15.58,10.51,9.96,8.41,,,,,,,,,,,
黑龙江省,45.32,39.33,30.69,27.89,22.50,19.90,19.24,17.01,14.12,,,,,,,,,,,
上海市,418.23,327.28,109.17,96.40,77.10,67.32,50.05,42.32,32.59,,,,,,,,,,,
江苏省,298.32,286.21,84.86,69.81,49.60,34.63,31.90,30.98,26.75,,,,,,,,,,,
浙江省,183.62,162.82,134.79,101.89,82.30,69.43,55.82,42.37,31.36,,,,,,,,,,,
安徽省,45.50,32.71,22.03,17.57,13.80,11.47,9.93,9.40,7.86,,,,,,,,,,,
福建省,55.31,51.31,35.69,31.49,26.50,21.14,17.53,17.17,15.82,,,,,,,,,,,
江西省,40.55,37.18,19.07,11.43,10.70,9.46,7.33,8.29,6.14,,,,,,,,,,,
山东省,131.95,130.45,54.75,43.60,33.00,27.34,23.28,21.10,19.66,,,,,,,,,,,
河南省,51.54,44.92,28.07,22.42,17.10,16.78,11.00,12.10,11.38,,,,,,,,,,,
湖北省,66.91,51.36,24.69,21.67,17.30,14.64,12.37,11.12,16.53,,,,,,,,,,,
湖南省,45.12,39.97,33.27,27.76,21.90,16.85,16.31,13.71,13.03,,,,,,,,,,,
广东省,372.40,330.70,148.39,141.25,117.50,100.34,97.80,88.88,77.80,,,,,,,,,,,
广西壮族自治区,30.25,30.20,20.04,18.21,15.10,13.78,11.90,10.97,10.22,,,,,,,,,,,
海南省,12.33,10.17,6.68,6.34,4.50,3.96,3.44,3.58,3.48,,,,,,,,,,,
重庆市,39.58,36.08,27.70,25.69,17.90,12.45,11.29,9.04,7.55,,,,,,,,,,,
四川省,124.48,109.31,33.43,29.90,27.20,23.04,19.32,17.08,16.39,,,,,,,,,,,
贵州省,24.95,21.30,12.95,12.04,10.00,8.47,8.17,5.76,3.29,,,,,,,,,,,
云南省,33.75,37.15,20.43,16.81,12.80,14.65,12.46,10.70,8.60,,,,,,,,,,,
西藏自治区,4.07,4.06,1.12,1.24,1.90,1.94,2.20,1.99,1.80,,,,,,,,,,,
陕西省,94.53,65.70,41.71,34.88,30.80,22.77,18.69,15.44,12.14,,,,,,,,,,,
甘肃省,12.51,12.20,6.66,4.47,4.40,5.02,3.11,3.21,2.72,,,,,,,,,,,
青海省,5.73,5.08,4.79,4.06,3.20,2.89,2.39,2.27,2.30,,,,,,,,,,,
宁夏回族自治区,5.88,5.34,3.78,3.14,2.70,2.61,2.12,1.73,1.69,,,,,,,,,,,
新疆维吾尔自治区,20.32,18.51,14.24,11.77,7.90,7.45,6.48,6.28,5.33,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
