数据库：分省年度数据
指标：住宿和餐饮业城镇单位就业人员工资总额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,149.21,142.11,133.08,109.76,89.30,81.69,72.37,59.87,52.65,,,,,,,,,,,
天津市,21.11,21.76,21.63,15.73,10.30,7.78,7.23,6.12,5.23,,,,,,,,,,,
河北省,18.42,19.49,17.42,11.56,8.00,7.07,6.60,5.68,5.26,,,,,,,,,,,
山西省,12.33,12.81,19.89,8.33,6.30,5.61,4.86,4.19,3.07,,,,,,,,,,,
内蒙古自治区,14.69,14.78,8.92,6.81,5.00,4.12,3.98,3.44,3.11,,,,,,,,,,,
辽宁省,27.70,26.78,21.99,18.79,13.90,12.17,10.34,8.76,8.15,,,,,,,,,,,
吉林省,9.24,9.16,7.72,6.94,5.50,4.63,4.42,3.78,3.35,,,,,,,,,,,
黑龙江省,17.78,18.14,13.87,8.85,7.40,6.50,5.68,5.41,5.29,,,,,,,,,,,
上海市,119.43,95.48,82.99,62.97,38.30,31.63,28.02,22.67,18.70,,,,,,,,,,,
江苏省,69.09,60.66,36.70,31.07,25.30,22.62,20.11,16.81,14.43,,,,,,,,,,,
浙江省,56.60,53.89,53.73,49.08,37.20,33.01,30.01,22.30,18.41,,,,,,,,,,,
安徽省,17.42,16.47,10.63,8.72,6.70,6.30,4.38,4.00,3.02,,,,,,,,,,,
福建省,35.78,33.10,28.79,22.73,16.70,11.22,9.60,8.95,7.04,,,,,,,,,,,
江西省,12.49,12.42,9.55,6.73,3.00,2.87,2.65,2.41,2.69,,,,,,,,,,,
山东省,56.96,71.84,44.50,35.20,23.90,22.62,20.28,16.83,15.61,,,,,,,,,,,
河南省,35.08,33.16,27.70,25.78,19.90,17.48,14.85,13.41,12.38,,,,,,,,,,,
湖北省,34.81,34.80,23.40,18.66,15.50,10.99,8.29,5.52,7.85,,,,,,,,,,,
湖南省,27.63,28.15,24.21,21.15,17.80,14.21,12.08,10.57,10.03,,,,,,,,,,,
广东省,143.74,138.35,100.05,79.44,61.80,53.63,50.83,45.65,43.06,,,,,,,,,,,
广西壮族自治区,14.44,13.81,11.89,8.69,7.50,7.02,6.15,5.51,5.21,,,,,,,,,,,
海南省,23.38,21.93,17.08,12.41,8.20,6.42,5.92,5.23,4.12,,,,,,,,,,,
重庆市,23.49,22.16,19.76,17.50,9.00,6.56,5.58,4.92,4.01,,,,,,,,,,,
四川省,38.64,38.25,22.26,16.27,12.10,10.04,8.42,7.56,6.28,,,,,,,,,,,
贵州省,13.33,11.98,9.72,6.70,4.90,4.52,3.58,3.60,3.20,,,,,,,,,,,
云南省,25.35,25.56,19.67,14.25,9.30,8.66,7.79,6.50,4.74,,,,,,,,,,,
西藏自治区,2.19,2.21,1.10,0.86,0.80,1.05,0.70,0.65,0.59,,,,,,,,,,,
陕西省,34.31,35.03,18.96,15.83,11.00,9.26,7.64,6.31,5.09,,,,,,,,,,,
甘肃省,9.84,9.36,4.41,3.64,3.30,3.06,2.76,2.54,2.39,,,,,,,,,,,
青海省,2.13,1.96,1.86,1.65,0.90,0.80,0.55,0.51,0.54,,,,,,,,,,,
宁夏回族自治区,2.27,2.09,1.77,0.94,0.80,0.75,0.80,0.78,0.74,,,,,,,,,,,
新疆维吾尔自治区,10.22,10.65,9.18,8.19,5.20,4.55,4.75,4.08,3.83,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员工资总额即为原来的城镇单位就业人员劳动报酬总额。
数据来源：国家统计局
