数据库：分省年度数据
指标：农、林、牧、渔业城镇单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,49478,48352,39334,34110,29889,27020,26114,22154,19147,,,,,,,,,,,
天津市,62672,55191,52939,46948,40221,31834,28373,23040,17975,,,,,,,,,,,
河北省,15559,13859,13669,12878,12423,11330,9618,7677,6622,,,,,,,,,,,
山西省,34230,29661,25293,23573,20570,17957,16566,13841,11806,,,,,,,,,,,
内蒙古自治区,32463,29501,26573,22939,18292,15017,13189,11574,10148,,,,,,,,,,,
辽宁省,12976,13058,12050,11478,10040,8832,7517,7354,6619,,,,,,,,,,,
吉林省,25610,23249,21126,19467,15220,13636,12039,9402,7866,,,,,,,,,,,
黑龙江省,25816,23824,20830,15069,12916,11079,10017,8383,7093,,,,,,,,,,,
上海市,57514,55329,50484,45858,39575,38093,29615,26646,22271,,,,,,,,,,,
江苏省,32347,29334,26300,23319,20736,17904,14728,12030,10181,,,,,,,,,,,
浙江省,50469,47000,41718,37570,34088,32969,30338,28182,24760,,,,,,,,,,,
安徽省,27185,24302,22845,19443,16945,13437,12473,10857,8685,,,,,,,,,,,
福建省,28340,26205,24516,22021,18041,15790,14496,12500,10717,,,,,,,,,,,
江西省,26877,26459,20580,19765,16265,15049,12478,9670,8208,,,,,,,,,,,
山东省,40558,39617,31290,28329,24143,21884,19387,16960,14519,,,,,,,,,,,
河南省,28849,25268,24226,20492,17433,15718,13455,11259,9405,,,,,,,,,,,
湖北省,26962,24336,23039,22045,19541,15777,10610,8559,6993,,,,,,,,,,,
湖南省,23507,21744,20624,16878,15435,14519,13322,10617,7923,,,,,,,,,,,
广东省,28823,24884,20315,16790,15270,14469,12905,11857,11113,,,,,,,,,,,
广西壮族自治区,26186,23430,19511,18387,17023,15397,13617,11959,9917,,,,,,,,,,,
海南省,27085,20032,20436,21906,18042,10855,10823,9122,7157,,,,,,,,,,,
重庆市,38064,35415,34254,31330,20544,18713,16459,14816,12253,,,,,,,,,,,
四川省,39358,34437,31430,26476,19980,17748,15231,13377,11224,,,,,,,,,,,
贵州省,38853,33490,30850,23923,18175,17249,16890,15274,12361,,,,,,,,,,,
云南省,25457,24290,21232,19612,15922,15011,13537,13088,12219,,,,,,,,,,,
西藏自治区,13948,13761,13522,19685,20238,28052,25289,21694,14316,,,,,,,,,,,
陕西省,38418,36800,32557,28159,23934,20670,16985,13551,11016,,,,,,,,,,,
甘肃省,31950,29317,24971,20409,19735,16872,14400,13117,10867,,,,,,,,,,,
青海省,35634,32204,29087,30407,26020,24022,21849,18747,15332,,,,,,,,,,,
宁夏回族自治区,35391,32753,28643,24563,20940,19384,16458,13833,11757,,,,,,,,,,,
新疆维吾尔自治区,33872,30199,26323,22678,20022,16862,14499,12976,11297,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
