数据库：分省年度数据
指标：金融业城镇单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,225482,206110,184612,172621,164643,143187,135192,97320,88408,,,,,,,,,,,
天津市,118263,118448,104335,97006,89166,74068,69862,60294,49810,,,,,,,,,,,
河北省,73130,65547,60304,53190,45176,36989,32649,27390,22699,,,,,,,,,,,
山西省,74778,67729,62678,55125,47037,35447,31352,27532,22080,,,,,,,,,,,
内蒙古自治区,73866,69426,63880,55530,45588,40945,35824,28643,23521,,,,,,,,,,,
辽宁省,77949,73851,69453,60859,53676,45038,39968,34247,28549,,,,,,,,,,,
吉林省,71894,66938,59995,54512,43174,36473,30675,27335,21709,,,,,,,,,,,
黑龙江省,58112,57390,55849,49143,42537,37056,33742,28110,24362,,,,,,,,,,,
上海市,195718,181909,174682,170086,155763,134581,116636,92914,66016,,,,,,,,,,,
江苏省,111934,105289,92156,86520,71115,60164,52051,44417,36760,,,,,,,,,,,
浙江省,130337,124711,117291,112458,98135,84714,77773,65882,53667,,,,,,,,,,,
安徽省,72215,65920,59416,52780,46561,36891,32652,27193,22642,,,,,,,,,,,
福建省,107826,101550,94708,84296,70532,61181,56965,46441,37393,,,,,,,,,,,
江西省,71160,70497,53798,47112,38926,33055,29324,26513,22921,,,,,,,,,,,
山东省,89331,80835,72345,61416,53148,46480,40297,35303,28207,,,,,,,,,,,
河南省,69223,62835,57364,47749,41871,38019,34618,29878,24238,,,,,,,,,,,
湖北省,76995,68047,62301,58104,49830,43200,35661,28767,22161,,,,,,,,,,,
湖南省,84674,77457,65336,56704,44428,38337,31879,27529,22846,,,,,,,,,,,
广东省,127285,117219,101308,97916,90519,84721,78781,66906,53079,,,,,,,,,,,
广西壮族自治区,86500,82062,69852,64836,60153,51315,45979,36727,28118,,,,,,,,,,,
海南省,88362,75429,69316,67337,62984,52674,43707,40475,33667,,,,,,,,,,,
重庆市,115065,100437,87720,72277,58751,49871,44635,38918,33511,,,,,,,,,,,
四川省,84601,76687,69846,61242,52854,43556,42055,33843,28282,,,,,,,,,,,
贵州省,118477,102294,81630,75169,61474,53780,48292,38124,28612,,,,,,,,,,,
云南省,110235,104144,88699,76946,60775,52773,42672,35352,27792,,,,,,,,,,,
西藏自治区,137736,137033,119165,91919,98092,76650,60720,69622,56768,,,,,,,,,,,
陕西省,74340,71987,57997,53289,48138,46122,39246,31335,24411,,,,,,,,,,,
甘肃省,52334,48791,44437,38163,35311,30627,27511,24671,19343,,,,,,,,,,,
青海省,77354,67182,59574,54446,41641,37456,36723,29131,25721,,,,,,,,,,,
宁夏回族自治区,82011,74026,68814,62587,53674,47745,46484,40358,33365,,,,,,,,,,,
新疆维吾尔自治区,79653,74551,69445,59732,53127,45502,39158,34110,26146,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
