数据库：分省年度数据
指标：房地产业城镇单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,79280,72828,64295,57579,50814,44256,42923,36921,31180,,,,,,,,,,,
天津市,75052,67872,65766,120379,47385,40945,37002,30193,24184,,,,,,,,,,,
河北省,39631,38716,35670,30640,27894,24945,21868,18304,15593,,,,,,,,,,,
山西省,37991,32837,29753,21937,17847,15938,15919,13622,11999,,,,,,,,,,,
内蒙古自治区,40512,39964,39512,33144,26475,23424,20480,17735,15145,,,,,,,,,,,
辽宁省,46517,44905,36022,32183,28147,25727,22408,18814,16635,,,,,,,,,,,
吉林省,39308,38598,33489,27748,23153,21227,18539,16795,14626,,,,,,,,,,,
黑龙江省,40002,36885,31379,26558,21881,20254,17980,16166,14214,,,,,,,,,,,
上海市,72185,67231,69810,62340,48306,45903,45459,37436,33461,,,,,,,,,,,
江苏省,61740,56357,53489,48591,43305,38012,34455,31207,27991,,,,,,,,,,,
浙江省,61529,56607,52212,48153,42290,39558,37291,32540,29144,,,,,,,,,,,
安徽省,50362,46737,39354,32958,27250,23285,22145,19046,16990,,,,,,,,,,,
福建省,57980,52646,50397,43969,36917,31581,30428,24695,21860,,,,,,,,,,,
江西省,45093,37376,38431,33475,25857,21531,18285,17365,13918,,,,,,,,,,,
山东省,49742,44393,38545,32966,29793,27254,24426,22182,19225,,,,,,,,,,,
河南省,41847,37594,36852,34062,28913,26125,21928,18790,15451,,,,,,,,,,,
湖北省,47049,42767,41227,35569,30760,24520,21165,27189,16744,,,,,,,,,,,
湖南省,45314,42022,37834,33394,27550,25034,24337,21938,17415,,,,,,,,,,,
广东省,60404,53601,49644,45109,37590,34240,32450,28959,26380,,,,,,,,,,,
广西壮族自治区,40344,35230,31776,29253,27597,25223,23481,19136,16508,,,,,,,,,,,
海南省,50881,47873,38460,33787,26157,22834,20430,18762,16476,,,,,,,,,,,
重庆市,56872,50317,46012,40273,32396,28699,23666,23275,18232,,,,,,,,,,,
四川省,49713,45758,41813,35298,29995,25408,21818,19928,16765,,,,,,,,,,,
贵州省,44867,39683,33617,28038,22997,21959,15552,13924,11980,,,,,,,,,,,
云南省,43732,38864,33562,28992,22236,20612,17896,15805,14142,,,,,,,,,,,
西藏自治区,55726,46613,46446,46730,43451,38017,35757,37529,35105,,,,,,,,,,,
陕西省,43865,41317,35213,31770,37842,32639,31592,26622,17229,,,,,,,,,,,
甘肃省,40045,37381,31397,26660,22936,17985,14910,13562,12182,,,,,,,,,,,
青海省,36842,32456,33489,26309,21948,22716,24131,14924,12712,,,,,,,,,,,
宁夏回族自治区,43761,42676,42469,33348,28610,26031,23086,18560,15338,,,,,,,,,,,
新疆维吾尔自治区,45377,42100,36266,31948,23005,21389,19617,19493,15315,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
