数据库：分省年度数据
指标：文化、体育和娱乐业城镇单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,121094,112707,105785,92617,76415,67881,65056,56980,47028,,,,,,,,,,,
天津市,77689,67310,64602,59627,54182,49221,43146,37794,28349,,,,,,,,,,,
河北省,39789,36423,33453,30311,26208,24762,21340,17689,15290,,,,,,,,,,,
山西省,40133,36348,33307,29377,24927,23631,21277,18741,17130,,,,,,,,,,,
内蒙古自治区,54827,52312,49701,44326,37805,32545,27861,23702,20776,,,,,,,,,,,
辽宁省,46833,46818,43515,40272,36478,34781,29565,24959,22095,,,,,,,,,,,
吉林省,40313,37367,34017,30467,26684,25159,21842,19468,15710,,,,,,,,,,,
黑龙江省,43083,39644,36117,32918,29827,28140,25543,22033,17629,,,,,,,,,,,
上海市,96303,90056,83701,81409,68533,62422,55888,51651,43701,,,,,,,,,,,
江苏省,71787,63059,58582,52576,48360,44856,40249,36773,31667,,,,,,,,,,,
浙江省,78311,73090,66915,61695,56313,49956,47433,44028,39896,,,,,,,,,,,
安徽省,44211,42787,39138,34353,28435,24416,22793,20900,17807,,,,,,,,,,,
福建省,57796,53391,47017,41715,35654,31419,29704,27670,24453,,,,,,,,,,,
江西省,44941,44087,43512,32519,30555,27576,23794,21796,19117,,,,,,,,,,,
山东省,62056,56870,48702,43492,41008,37964,36088,30657,24853,,,,,,,,,,,
河南省,42426,36555,35925,31249,28511,25973,23075,20401,17996,,,,,,,,,,,
湖北省,51861,45201,37397,35310,32390,27091,23082,21393,17597,,,,,,,,,,,
湖南省,53924,48902,43448,38532,32908,30758,26441,24767,21355,,,,,,,,,,,
广东省,69745,65268,56081,53259,47213,44252,40962,38155,35485,,,,,,,,,,,
广西壮族自治区,46735,40389,36314,31609,32141,31565,28627,23668,20115,,,,,,,,,,,
海南省,47717,43622,35410,34700,29492,25196,24469,22776,20302,,,,,,,,,,,
重庆市,59598,53723,46882,43786,34163,30383,27752,27244,23075,,,,,,,,,,,
四川省,51728,47138,43665,36944,32101,28291,25859,23597,20204,,,,,,,,,,,
贵州省,48944,43319,35937,29999,24531,24332,24699,21206,17954,,,,,,,,,,,
云南省,46209,41914,35997,32058,24834,22377,20164,18866,16427,,,,,,,,,,,
西藏自治区,67735,62046,57178,55133,50858,48258,47352,48632,29075,,,,,,,,,,,
陕西省,47853,46364,38995,33425,29724,27119,21079,17001,14846,,,,,,,,,,,
甘肃省,46981,39989,35478,28503,28769,26946,22676,20248,16767,,,,,,,,,,,
青海省,55759,49730,45084,42506,38694,36700,31526,28782,23073,,,,,,,,,,,
宁夏回族自治区,54120,48919,47805,42154,34118,32279,29963,26142,19337,,,,,,,,,,,
新疆维吾尔自治区,52299,50951,45049,38062,32609,28027,25554,23339,19154,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
