数据库：分省年度数据
指标：制造业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,20.29,11.05,9.75,10.80,11.51,11.68,13.63,13.13,14.91,15.82,16.11,,,,,,,,,
天津市,33.28,32.84,33.16,34.00,33.36,32.94,33.38,10.44,11.39,11.30,11.06,,,,,,,,,
河北省,54.51,89.90,66.33,72.65,59.41,56.09,75.91,59.57,53.59,47.00,40.43,,,,,,,,,
山西省,27.19,26.36,22.13,15.05,16.06,10.02,14.05,12.23,8.92,9.13,9.03,,,,,,,,,
内蒙古自治区,38.52,25.74,26.83,24.89,24.36,22.17,20.04,17.84,16.71,15.10,13.76,,,,,,,,,
辽宁省,95.06,88.72,87.71,89.40,87.49,79.19,67.86,70.28,67.10,74.84,72.72,,,,,,,,,
吉林省,42.40,39.79,40.51,40.52,31.48,29.59,26.00,21.59,24.35,30.18,14.24,,,,,,,,,
黑龙江省,39.60,39.84,40.10,38.62,34.18,36.04,35.14,32.23,31.72,29.96,25.57,,,,,,,,,
上海市,52.30,50.73,51.18,53.33,53.49,51.49,52.09,48.42,47.30,46.61,41.75,,,,,,,,,
江苏省,554.36,546.30,494.47,488.93,475.33,436.33,410.75,346.48,294.52,231.72,183.13,,,,,,,,,
浙江省,382.57,336.19,292.57,288.17,259.68,224.91,217.48,220.88,174.34,131.55,144.06,,,,,,,,,
安徽省,111.89,97.50,85.22,73.56,57.50,42.60,40.03,47.30,42.92,40.52,38.26,,,,,,,,,
福建省,100.89,94.38,90.50,83.85,65.43,68.25,61.49,56.18,41.97,36.12,28.52,,,,,,,,,
江西省,63.29,51.00,56.63,61.81,53.35,53.93,56.25,56.07,50.60,46.24,43.56,,,,,,,,,
山东省,131.81,131.18,142.87,144.97,143.98,125.81,125.85,147.78,145.88,132.78,118.43,,,,,,,,,
河南省,71.58,61.91,75.50,67.85,61.94,60.59,46.87,45.52,42.68,33.45,27.19,,,,,,,,,
湖北省,108.72,90.79,99.88,80.02,71.53,68.56,59.18,48.47,49.73,44.35,39.90,,,,,,,,,
湖南省,76.66,66.74,48.98,44.30,39.35,35.59,34.62,39.26,41.54,43.18,34.49,,,,,,,,,
广东省,365.34,332.44,318.82,306.80,293.27,303.65,275.81,264.80,220.69,142.38,102.27,,,,,,,,,
广西壮族自治区,31.78,30.99,34.02,35.88,34.71,31.37,30.46,26.92,24.02,22.10,19.41,,,,,,,,,
海南省,5.61,5.19,4.64,4.64,4.42,4.04,3.75,3.41,3.55,3.41,2.29,,,,,,,,,
重庆市,53.10,47.42,43.04,38.70,30.06,28.42,25.46,23.32,17.18,24.13,20.68,,,,,,,,,
四川省,114.41,59.75,63.35,62.96,64.18,62.03,73.27,49.33,44.86,40.76,36.87,,,,,,,,,
贵州省,16.80,15.15,14.57,14.21,13.01,12.86,12.40,12.48,11.66,10.29,9.99,,,,,,,,,
云南省,48.02,46.49,46.69,47.08,45.02,39.08,36.26,27.17,23.41,21.04,17.16,,,,,,,,,
西藏自治区,2.32,2.04,2.42,2.24,1.81,1.66,1.53,1.18,0.94,0.78,0.71,,,,,,,,,
陕西省,26.05,22.41,21.11,21.86,47.22,18.44,17.84,15.76,17.17,14.41,14.64,,,,,,,,,
甘肃省,13.62,12.82,12.16,12.17,11.61,10.49,9.42,9.43,8.44,7.72,8.09,,,,,,,,,
青海省,4.39,4.09,4.33,4.56,5.16,4.66,5.28,5.96,5.92,5.36,4.66,,,,,,,,,
宁夏回族自治区,5.27,4.22,5.67,5.89,5.23,5.71,2.70,3.78,4.49,3.27,3.87,,,,,,,,,
新疆维吾尔自治区,25.81,20.21,22.70,21.64,16.26,16.31,16.21,15.22,15.22,14.13,13.54,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
