数据库：分省年度数据
指标：交通运输、仓储和邮政业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,12.74,6.74,6.51,6.70,6.61,5.94,5.53,5.16,5.95,4.99,3.37,,,,,,,,,
天津市,3.05,2.47,5.27,5.30,5.48,5.01,5.06,2.03,3.09,2.78,2.40,,,,,,,,,
河北省,13.32,15.19,47.79,10.00,10.23,9.93,10.01,10.73,10.18,7.96,8.27,,,,,,,,,
山西省,8.26,8.28,57.78,3.10,3.32,2.21,2.22,1.89,1.86,1.72,1.87,,,,,,,,,
内蒙古自治区,15.75,17.94,20.56,10.93,10.79,10.62,10.62,8.66,7.21,6.45,5.94,,,,,,,,,
辽宁省,49.99,46.44,51.44,51.12,46.46,59.13,40.10,49.09,32.49,29.96,30.47,,,,,,,,,
吉林省,12.42,12.67,11.11,11.60,10.32,11.25,11.37,10.75,9.35,8.14,6.52,,,,,,,,,
黑龙江省,12.81,16.61,20.84,12.75,11.33,13.14,13.28,13.28,14.01,13.05,13.42,,,,,,,,,
上海市,17.23,15.35,14.81,13.93,13.61,12.93,12.70,9.41,9.17,8.26,5.40,,,,,,,,,
江苏省,41.38,38.23,119.30,29.44,29.31,26.52,23.20,17.40,15.47,12.45,9.75,,,,,,,,,
浙江省,20.12,18.63,17.29,16.98,15.60,14.46,15.06,13.75,10.47,8.70,8.97,,,,,,,,,
安徽省,10.62,8.58,7.75,6.71,6.72,7.00,10.72,13.28,12.13,12.53,12.54,,,,,,,,,
福建省,11.05,9.56,9.43,8.28,5.06,5.29,4.37,3.68,3.12,2.52,2.38,,,,,,,,,
江西省,12.93,10.89,9.23,11.58,10.17,8.25,8.93,8.02,7.55,7.43,5.67,,,,,,,,,
山东省,22.50,21.70,21.70,22.58,19.86,17.42,14.65,12.37,12.47,11.26,10.46,,,,,,,,,
河南省,7.55,6.08,7.76,6.48,6.11,5.86,6.96,7.70,7.94,10.02,10.36,,,,,,,,,
湖北省,20.78,19.39,18.78,17.64,15.09,13.64,9.57,9.73,11.00,10.77,11.58,,,,,,,,,
湖南省,13.61,11.44,10.63,10.55,10.07,9.36,8.96,7.75,9.25,7.58,7.59,,,,,,,,,
广东省,34.85,29.50,28.24,26.74,24.42,24.91,24.70,22.38,19.06,10.25,8.98,,,,,,,,,
广西壮族自治区,13.53,12.71,27.43,14.38,11.29,11.18,11.31,11.03,10.64,9.02,8.26,,,,,,,,,
海南省,4.81,4.24,8.11,3.96,4.26,3.89,3.43,2.79,2.38,2.24,2.45,,,,,,,,,
重庆市,12.39,10.57,9.69,8.73,7.34,7.10,6.49,6.10,4.89,4.37,3.66,,,,,,,,,
四川省,11.20,14.47,16.40,14.31,15.70,15.52,13.46,13.05,12.35,11.71,9.87,,,,,,,,,
贵州省,3.65,3.56,3.28,2.64,3.36,3.36,3.27,3.12,2.96,2.96,2.93,,,,,,,,,
云南省,10.23,9.60,8.13,8.07,7.06,6.23,5.61,4.89,4.23,6.63,4.40,,,,,,,,,
西藏自治区,0.84,0.85,0.83,0.82,0.67,0.64,0.64,0.58,0.56,0.57,0.53,,,,,,,,,
陕西省,3.91,3.14,3.25,3.05,2.62,2.00,2.70,3.13,3.39,2.76,4.01,,,,,,,,,
甘肃省,2.68,2.48,2.14,2.18,1.99,1.81,1.74,1.86,1.72,1.50,1.40,,,,,,,,,
青海省,0.57,0.54,0.88,1.18,1.48,1.63,1.58,1.68,1.41,0.60,1.58,,,,,,,,,
宁夏回族自治区,1.19,1.18,1.49,1.39,1.20,1.12,0.67,0.58,0.63,0.62,0.75,,,,,,,,,
新疆维吾尔自治区,6.50,6.02,6.07,5.59,5.40,5.26,7.01,7.04,7.18,6.75,6.60,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
