数据库：分省年度数据
指标：批发和零售业城镇私营企业和个体就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,134.68,111.52,93.73,91.99,88.74,82.54,77.37,71.38,73.93,66.66,63.29,,,,,,,,,
天津市,27.43,24.36,43.69,42.40,39.82,36.78,37.45,16.84,20.77,20.08,20.37,,,,,,,,,
河北省,180.88,215.82,137.84,167.23,136.17,302.73,104.53,95.73,77.37,66.92,64.75,,,,,,,,,
山西省,122.86,113.74,65.99,101.46,94.09,75.58,70.42,61.11,48.69,44.12,41.99,,,,,,,,,
内蒙古自治区,207.91,170.10,122.07,117.45,94.87,86.96,75.01,58.74,52.37,45.80,43.76,,,,,,,,,
辽宁省,278.19,254.29,243.00,222.43,193.92,194.77,163.15,165.50,151.03,143.89,150.10,,,,,,,,,
吉林省,148.47,136.61,126.70,108.77,102.51,82.83,73.34,57.34,54.05,73.82,73.06,,,,,,,,,
黑龙江省,156.77,191.11,172.13,142.72,114.00,103.27,102.83,94.58,85.25,81.69,78.59,,,,,,,,,
上海市,182.42,156.07,142.94,131.32,121.54,111.13,96.37,110.75,110.68,111.67,96.04,,,,,,,,,
江苏省,548.65,529.23,369.05,446.79,408.37,346.55,299.17,242.85,228.69,174.75,149.82,,,,,,,,,
浙江省,432.84,355.95,330.68,307.07,269.84,256.49,240.12,205.62,162.95,135.66,131.24,,,,,,,,,
安徽省,307.78,240.05,220.75,203.57,190.71,130.43,106.85,111.56,86.63,91.00,88.99,,,,,,,,,
福建省,245.99,209.72,233.38,202.19,115.13,139.92,109.06,90.07,74.68,66.62,57.23,,,,,,,,,
江西省,213.47,178.29,165.63,161.05,108.77,96.41,91.87,101.84,101.67,84.79,70.39,,,,,,,,,
山东省,421.02,361.33,334.15,315.44,279.35,232.23,217.41,205.27,193.97,177.75,160.28,,,,,,,,,
河南省,322.89,244.66,257.57,231.46,186.88,156.52,127.99,115.86,108.58,98.09,79.66,,,,,,,,,
湖北省,360.59,295.37,305.10,272.25,207.61,181.95,143.34,119.82,104.70,102.83,89.21,,,,,,,,,
湖南省,345.31,290.39,230.54,233.58,162.94,150.31,138.41,126.11,111.76,106.21,101.39,,,,,,,,,
广东省,1038.61,777.81,652.42,590.74,523.86,522.66,504.66,484.40,411.23,309.20,218.84,,,,,,,,,
广西壮族自治区,178.58,155.03,121.97,144.84,120.51,100.08,91.67,83.33,73.44,65.46,56.94,,,,,,,,,
海南省,49.08,42.96,33.59,33.09,28.70,26.77,22.42,21.98,19.85,19.24,17.47,,,,,,,,,
重庆市,267.30,225.67,195.03,157.03,114.59,110.03,96.53,79.53,62.72,59.11,45.70,,,,,,,,,
四川省,325.60,236.27,228.96,198.98,191.70,186.72,166.18,157.23,137.73,127.30,99.88,,,,,,,,,
贵州省,87.04,80.01,71.35,54.39,44.31,40.14,36.68,37.40,32.56,26.97,29.21,,,,,,,,,
云南省,169.06,155.87,153.90,158.47,136.70,118.85,120.93,94.76,66.70,63.12,57.45,,,,,,,,,
西藏自治区,18.97,18.42,17.75,16.64,13.53,12.58,10.40,9.37,6.30,4.82,4.17,,,,,,,,,
陕西省,172.20,149.42,139.55,130.18,30.94,43.73,81.77,40.69,63.80,53.23,61.60,,,,,,,,,
甘肃省,99.45,87.67,74.84,69.62,63.46,56.19,48.65,40.05,35.21,34.15,34.62,,,,,,,,,
青海省,22.94,21.72,21.80,18.40,17.06,15.18,14.04,15.23,14.54,16.45,14.79,,,,,,,,,
宁夏回族自治区,38.16,28.53,36.18,39.99,23.33,25.54,13.30,17.67,16.77,13.98,13.36,,,,,,,,,
新疆维吾尔自治区,93.35,76.46,64.93,63.65,56.69,56.19,58.46,55.38,52.54,49.42,43.56,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
