数据库：分省年度数据
指标：金融业城镇私营单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,82994,61099,61216,36619,32689,30941,,,,,,,,,,,,,,
天津市,47915,43257,34213,31071,,,,,,,,,,,,,,,,
河北省,32544,29054,25611,21833,19627,17960,,,,,,,,,,,,,,
山西省,30471,34975,30753,19208,20150,16326,,,,,,,,,,,,,,
内蒙古自治区,39336,34357,31313,28300,23777,23536,,,,,,,,,,,,,,
辽宁省,31924,31635,27639,23218,20052,18117,,,,,,,,,,,,,,
吉林省,34664,32078,29012,25886,21765,19982,,,,,,,,,,,,,,
黑龙江省,31235,31006,25287,25920,24600,19605,,,,,,,,,,,,,,
上海市,51269,43202,36489,30546,30933,25630,,,,,,,,,,,,,,
江苏省,38444,39086,34808,26207,29784,19641,,,,,,,,,,,,,,
浙江省,52348,60961,49879,41807,51331,51180,,,,,,,,,,,,,,
安徽省,47655,28163,22772,18673,14487,,,,,,,,,,,,,,,
福建省,42526,36432,31149,31083,32156,27937,,,,,,,,,,,,,,
江西省,35701,32712,27422,23028,21775,18039,,,,,,,,,,,,,,
山东省,40925,35532,31242,26837,22675,16647,,,,,,,,,,,,,,
河南省,24345,20682,21652,16894,14404,12615,,,,,,,,,,,,,,
湖北省,39530,37203,33975,32873,30883,28031,,,,,,,,,,,,,,
湖南省,36013,26735,22832,20494,17598,16717,,,,,,,,,,,,,,
广东省,47666,37383,35722,33237,26532,28425,,,,,,,,,,,,,,
广西壮族自治区,35410,27609,22470,20715,18618,17622,,,,,,,,,,,,,,
海南省,30148,36019,22685,27145,16926,15917,,,,,,,,,,,,,,
重庆市,49952,46209,43965,37415,33591,28634,,,,,,,,,,,,,,
四川省,35417,33847,29824,24439,23809,20188,,,,,,,,,,,,,,
贵州省,55289,52258,48843,46412,44581,42280,,,,,,,,,,,,,,
云南省,31549,26141,25443,26177,20367,25618,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,33374,30310,25580,20486,17965,15203,,,,,,,,,,,,,,
甘肃省,26392,21144,16821,18577,16864,6667,,,,,,,,,,,,,,
青海省,20769,19408,20949,18112,17188,17023,,,,,,,,,,,,,,
宁夏回族自治区,35754,30540,23392,25575,26271,17983,,,,,,,,,,,,,,
新疆维吾尔自治区,41620,36275,28847,31007,25756,16321,,,,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
