数据库：分省年度数据
指标：居民服务和其他服务业城镇私营单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,38463,34963,32248,22654,20159,17967,,,,,,,,,,,,,,
天津市,33683,30275,23513,20204,17685,14751,,,,,,,,,,,,,,
河北省,27185,24149,21601,20621,18446,15827,,,,,,,,,,,,,,
山西省,20913,20070,18731,16748,13590,12377,,,,,,,,,,,,,,
内蒙古自治区,26889,29659,26291,21508,20121,17062,,,,,,,,,,,,,,
辽宁省,27875,26958,23457,19711,16689,15521,,,,,,,,,,,,,,
吉林省,26137,25854,21610,18084,17284,16649,,,,,,,,,,,,,,
黑龙江省,21346,18300,15659,13867,12624,16076,,,,,,,,,,,,,,
上海市,28273,22429,20532,18420,18292,16078,,,,,,,,,,,,,,
江苏省,40699,36241,30309,24564,25804,18560,,,,,,,,,,,,,,
浙江省,32057,27718,25546,21045,19221,17641,,,,,,,,,,,,,,
安徽省,22125,21399,19401,17808,16506,14525,,,,,,,,,,,,,,
福建省,29575,29248,27669,22969,19168,16341,,,,,,,,,,,,,,
江西省,25931,23432,19253,15868,14473,14255,,,,,,,,,,,,,,
山东省,39085,33792,28352,24976,21320,18820,,,,,,,,,,,,,,
河南省,24484,21372,18705,16217,14306,12460,,,,,,,,,,,,,,
湖北省,25190,23151,20319,17626,16627,13375,,,,,,,,,,,,,,
湖南省,30917,26474,20722,19547,16616,16197,,,,,,,,,,,,,,
广东省,34844,30653,28900,25767,21295,16755,,,,,,,,,,,,,,
广西壮族自治区,27315,24336,22174,18426,17164,13919,,,,,,,,,,,,,,
海南省,27237,19653,18295,16084,14496,12929,,,,,,,,,,,,,,
重庆市,37721,32185,25508,20861,17569,14520,,,,,,,,,,,,,,
四川省,30133,26736,22779,20238,15840,13832,,,,,,,,,,,,,,
贵州省,21816,18781,17123,14688,12853,12162,,,,,,,,,,,,,,
云南省,29506,23712,20332,14966,15029,13450,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,25713,24315,20881,18306,16913,12228,,,,,,,,,,,,,,
甘肃省,19572,17945,16549,14895,13066,9685,,,,,,,,,,,,,,
青海省,26238,22409,20525,18153,15219,13092,,,,,,,,,,,,,,
宁夏回族自治区,25939,24299,19353,19302,18331,13972,,,,,,,,,,,,,,
新疆维吾尔自治区,29672,27320,21843,17760,15435,14050,,,,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
