数据库：分省年度数据
指标：电力、燃气及水的生产和供应业城镇私营单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,46725,41939,39565,31309,25375,22377,,,,,,,,,,,,,,
天津市,38968,34968,28620,22643,20077,17472,,,,,,,,,,,,,,
河北省,30409,27760,24391,22424,18972,13661,,,,,,,,,,,,,,
山西省,28725,27199,25722,17650,13447,11616,,,,,,,,,,,,,,
内蒙古自治区,38204,41316,31645,29923,25842,23637,,,,,,,,,,,,,,
辽宁省,31325,25658,24884,22271,19379,17526,,,,,,,,,,,,,,
吉林省,22789,19804,18677,16377,15204,13656,,,,,,,,,,,,,,
黑龙江省,27860,24063,20606,18382,16017,15647,,,,,,,,,,,,,,
上海市,32464,31231,29707,24775,23546,22966,,,,,,,,,,,,,,
江苏省,37951,36986,30331,27716,22149,19298,,,,,,,,,,,,,,
浙江省,37545,28185,27377,28981,25137,22372,,,,,,,,,,,,,,
安徽省,29462,26903,26107,19110,16881,21227,,,,,,,,,,,,,,
福建省,35080,29918,24573,23309,21435,18399,,,,,,,,,,,,,,
江西省,30013,31275,27635,21270,16453,15030,,,,,,,,,,,,,,
山东省,43869,39881,33262,22003,18696,17348,,,,,,,,,,,,,,
河南省,25437,23711,21024,16119,12895,13780,,,,,,,,,,,,,,
湖北省,27271,26030,23430,19052,17726,15020,,,,,,,,,,,,,,
湖南省,32650,32001,24818,21852,18986,18205,,,,,,,,,,,,,,
广东省,30323,21670,19181,17114,13606,15305,,,,,,,,,,,,,,
广西壮族自治区,32477,27879,26489,17146,15187,13700,,,,,,,,,,,,,,
海南省,24880,20408,18648,16882,13124,11872,,,,,,,,,,,,,,
重庆市,37204,34641,32177,25185,20606,16658,,,,,,,,,,,,,,
四川省,34958,30099,27148,23291,18468,16921,,,,,,,,,,,,,,
贵州省,46221,43575,38523,36477,35031,32349,,,,,,,,,,,,,,
云南省,28140,26405,10058,20032,18398,16854,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,29533,25193,21277,18729,15470,13548,,,,,,,,,,,,,,
甘肃省,31371,24873,18746,19360,17889,15903,,,,,,,,,,,,,,
青海省,37562,33502,22685,22803,18146,16421,,,,,,,,,,,,,,
宁夏回族自治区,33045,32293,22627,18630,16097,12933,,,,,,,,,,,,,,
新疆维吾尔自治区,40183,33911,28189,21488,18301,16396,,,,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
