数据库：分省年度数据
指标：批发和零售业城镇私营单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,47109,40742,37981,30878,23583,22375,,,,,,,,,,,,,,
天津市,44761,40093,33793,29350,25890,21182,,,,,,,,,,,,,,
河北省,28033,25345,23034,19731,16415,13173,,,,,,,,,,,,,,
山西省,25477,25978,21380,16798,14513,13457,,,,,,,,,,,,,,
内蒙古自治区,32092,29201,26900,21235,19376,16852,,,,,,,,,,,,,,
辽宁省,32270,28330,24841,20516,17997,15290,,,,,,,,,,,,,,
吉林省,24325,25170,22510,19944,17249,14491,,,,,,,,,,,,,,
黑龙江省,26648,23335,19201,18716,16355,14978,,,,,,,,,,,,,,
上海市,32984,27420,24952,22048,20994,20432,,,,,,,,,,,,,,
江苏省,37335,34213,31261,25848,23840,19706,,,,,,,,,,,,,,
浙江省,36399,33766,30828,26801,23146,20050,,,,,,,,,,,,,,
安徽省,28921,27437,23489,18841,15974,14628,,,,,,,,,,,,,,
福建省,35354,33192,29467,24404,21512,17590,,,,,,,,,,,,,,
江西省,25342,25652,19428,16814,15516,13716,,,,,,,,,,,,,,
山东省,36760,31817,27740,24252,20510,18261,,,,,,,,,,,,,,
河南省,26384,23086,19339,17087,14049,12632,,,,,,,,,,,,,,
湖北省,24519,23028,20739,18672,17156,14462,,,,,,,,,,,,,,
湖南省,23699,23271,20023,17406,15015,14717,,,,,,,,,,,,,,
广东省,40080,40866,33511,28314,25203,25602,,,,,,,,,,,,,,
广西壮族自治区,31317,25026,26279,19489,17816,16621,,,,,,,,,,,,,,
海南省,30814,29126,23730,21795,18249,16339,,,,,,,,,,,,,,
重庆市,35411,32919,30120,23069,17477,14504,,,,,,,,,,,,,,
四川省,32510,29149,24242,20329,16632,14975,,,,,,,,,,,,,,
贵州省,24701,22260,19673,16596,14119,13945,,,,,,,,,,,,,,
云南省,34901,28732,21358,17810,17049,13380,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,28568,24392,22306,19010,15988,13576,,,,,,,,,,,,,,
甘肃省,28350,26544,21971,15464,14208,13748,,,,,,,,,,,,,,
青海省,31502,27760,21666,18826,16835,14160,,,,,,,,,,,,,,
宁夏回族自治区,29201,28035,21092,19886,17818,16428,,,,,,,,,,,,,,
新疆维吾尔自治区,29320,27373,24048,21581,17910,15479,,,,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
