数据库：分省年度数据
指标：交通运输、仓储和邮政业私营企业和个体就业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,24.38,15.90,15.69,15.47,14.95,13.41,11.50,9.73,10.58,8.23,5.10,,,,,,,,,
天津市,3.25,2.76,5.66,5.65,6.06,5.27,5.32,5.30,5.26,4.52,3.80,,,,,,,,,
河北省,21.94,20.01,77.19,19.19,17.79,19.94,22.34,21.98,24.06,26.99,28.55,,,,,,,,,
山西省,14.84,14.23,89.37,5.90,5.94,4.49,4.75,4.34,5.56,5.23,6.67,,,,,,,,,
内蒙古自治区,19.53,31.93,25.33,13.30,13.10,13.19,12.13,9.84,8.62,8.51,7.92,,,,,,,,,
辽宁省,69.51,64.37,67.40,68.66,67.17,88.37,60.31,63.82,47.16,50.51,49.01,,,,,,,,,
吉林省,17.00,15.94,13.85,14.57,12.35,12.92,13.76,12.96,11.28,9.64,7.37,,,,,,,,,
黑龙江省,17.29,21.54,27.53,18.99,15.20,17.39,17.77,19.44,17.87,17.01,16.92,,,,,,,,,
上海市,32.53,27.61,25.24,22.84,22.20,20.98,20.51,15.20,14.17,12.49,8.54,,,,,,,,,
江苏省,54.73,51.09,146.27,39.49,38.92,35.13,31.69,24.64,23.24,21.25,16.98,,,,,,,,,
浙江省,31.18,28.41,26.87,26.22,24.24,23.50,23.92,24.59,24.28,23.46,23.05,,,,,,,,,
安徽省,14.12,12.09,11.32,10.41,10.58,12.22,18.21,23.51,26.93,23.89,23.34,,,,,,,,,
福建省,12.91,10.94,10.60,9.34,7.73,6.29,5.23,4.50,3.93,3.25,3.33,,,,,,,,,
江西省,24.24,20.18,19.72,20.13,16.79,16.08,15.00,13.49,13.97,12.70,10.51,,,,,,,,,
山东省,54.87,51.09,46.77,43.50,38.00,34.15,28.56,29.18,27.82,25.13,24.23,,,,,,,,,
河南省,12.89,11.13,15.71,15.64,14.90,16.06,17.44,21.40,21.25,22.20,24.45,,,,,,,,,
湖北省,43.36,42.48,30.77,26.88,22.78,19.80,17.15,17.15,18.24,18.17,19.39,,,,,,,,,
湖南省,16.89,14.40,14.96,13.87,16.29,11.64,11.06,12.51,13.75,12.99,13.24,,,,,,,,,
广东省,39.68,33.68,31.52,30.11,27.57,28.53,28.86,25.41,23.88,14.18,13.71,,,,,,,,,
广西壮族自治区,22.58,21.53,52.03,19.11,19.57,23.14,19.89,18.93,17.52,15.64,14.69,,,,,,,,,
海南省,5.64,5.11,9.91,4.53,4.77,4.38,3.88,3.12,3.33,3.38,3.31,,,,,,,,,
重庆市,14.31,12.35,11.33,10.27,8.78,8.99,8.36,8.18,7.31,6.00,6.52,,,,,,,,,
四川省,17.14,24.65,23.49,21.62,24.96,23.35,20.72,20.54,19.01,18.66,17.23,,,,,,,,,
贵州省,8.77,8.54,6.49,5.78,6.12,5.67,5.27,4.89,4.46,4.56,4.38,,,,,,,,,
云南省,13.79,12.62,11.04,10.63,9.56,8.67,8.30,8.03,7.99,10.00,7.73,,,,,,,,,
西藏自治区,0.90,0.92,0.98,0.94,0.77,0.70,0.71,0.77,0.64,0.66,0.61,,,,,,,,,
陕西省,6.45,9.75,7.43,6.85,8.13,26.37,5.57,7.05,6.22,7.32,11.49,,,,,,,,,
甘肃省,5.02,4.27,3.76,3.14,2.77,2.78,2.28,2.34,2.16,1.90,1.92,,,,,,,,,
青海省,0.79,0.74,1.21,1.38,1.65,1.92,1.84,2.12,2.30,1.48,2.21,,,,,,,,,
宁夏回族自治区,2.13,1.80,1.94,1.80,1.70,1.33,1.29,0.98,0.98,1.01,1.19,,,,,,,,,
新疆维吾尔自治区,6.99,7.17,6.27,5.74,6.30,6.03,7.67,7.71,8.02,7.90,7.76,,,,,,,,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
