数据库：分省年度数据
指标：外商及港澳台商投资工业企业所有者权益合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3261.78,2969.77,2513.23,2293.07,1837.29,1669.52,1478.97,1301.39,1116.69,1001.60,802.07,597.18,513.08,466.85,417.88,366.10,,,,
天津市,3101.66,2933.98,2639.46,2477.65,2216.05,1833.64,1688.44,1458.99,1347.72,1113.04,1020.10,764.30,707.21,703.40,602.74,519.73,,,,
河北省,2269.04,2083.55,1995.38,2077.83,1752.41,1574.71,1264.12,1024.49,842.66,667.00,511.19,367.49,292.69,232.24,179.39,172.42,,,,
山西省,623.76,585.22,554.77,486.59,413.69,363.55,313.31,274.86,187.72,136.02,113.49,90.86,75.64,64.78,30.40,28.15,,,,
内蒙古自治区,1095.68,1029.82,788.88,690.08,645.56,520.81,404.81,482.50,321.34,275.23,214.06,96.01,82.92,69.19,45.24,39.04,,,,
辽宁省,3289.34,3188.81,2924.92,2721.62,2525.09,2232.85,1885.98,1512.38,1242.89,1042.39,996.03,757.07,629.37,545.50,488.71,444.81,,,,
吉林省,738.44,699.80,649.89,999.61,825.44,644.84,545.05,431.85,369.35,297.67,339.66,243.33,198.05,168.55,143.67,114.92,,,,
黑龙江省,581.10,545.45,535.86,515.61,465.45,402.30,359.80,285.80,252.17,155.07,124.66,81.00,113.06,65.55,62.89,66.35,,,,
上海市,7525.02,7111.60,6692.37,6372.16,5981.46,5270.36,4885.36,4836.87,4275.73,3784.04,3522.42,2863.60,2452.47,2263.51,2045.50,1785.87,,,,
江苏省,17719.75,16604.14,15122.19,14098.36,12725.19,10380.26,9277.45,6845.37,5462.90,4218.47,3593.21,2109.25,1675.38,1406.73,1163.52,1015.94,,,,
浙江省,7155.22,6817.26,6397.55,6020.41,5343.66,4467.43,4126.49,3385.76,2688.64,2165.09,1897.25,1029.27,794.46,639.69,525.14,456.10,,,,
安徽省,1216.47,1053.93,1020.41,935.53,751.97,601.50,474.23,432.05,388.94,304.23,233.89,208.08,178.73,158.89,130.78,85.69,,,,
福建省,5076.73,4843.78,4424.09,4133.33,3599.41,3059.89,2720.35,2350.79,2050.75,1759.53,1556.83,1262.00,983.17,880.81,801.05,662.26,,,,
江西省,1182.73,1055.81,921.81,883.96,819.40,600.61,624.76,432.12,241.09,182.81,177.88,71.73,55.30,57.08,56.41,43.99,,,,
山东省,6165.09,5270.51,5185.83,4521.33,4505.59,4078.43,3464.60,2889.64,2287.85,1716.43,1370.97,978.45,705.35,600.29,447.62,382.43,,,,
河南省,1702.47,1472.87,1239.87,1003.31,791.80,698.52,621.49,471.26,342.23,223.15,255.62,188.06,180.80,184.42,181.51,173.40,,,,
湖北省,2070.55,1857.21,1676.27,1502.56,1607.77,1317.12,1408.08,896.61,695.30,606.86,505.58,255.70,221.77,225.47,194.17,149.96,,,,
湖南省,867.63,775.24,647.50,558.94,547.74,505.98,437.81,249.74,212.51,184.83,180.45,127.30,109.58,86.71,56.29,58.09,,,,
广东省,16569.65,15619.74,14405.83,13610.26,15503.91,11236.92,10874.31,9555.25,7907.34,6809.28,5893.88,4654.91,3720.74,3347.51,2919.22,2654.16,,,,
广西壮族自治区,1022.18,917.68,875.01,813.54,618.06,489.98,449.20,360.80,262.76,217.43,177.78,137.08,122.77,109.26,100.83,81.91,,,,
海南省,341.31,337.57,331.01,282.69,248.48,197.64,145.35,155.99,128.33,82.94,74.41,33.79,32.06,26.96,27.70,41.97,,,,
重庆市,908.90,911.97,680.80,661.81,564.80,471.58,398.42,329.06,265.74,215.59,178.91,147.74,142.03,142.73,114.52,113.19,,,,
四川省,1506.21,1902.66,1146.34,977.42,780.03,686.94,636.59,633.38,305.93,234.53,217.31,172.51,147.13,124.58,113.28,88.60,,,,
贵州省,118.51,120.48,89.88,86.71,75.14,59.65,59.27,45.08,39.51,30.53,38.86,17.03,14.75,19.83,14.92,14.30,,,,
云南省,290.98,292.61,266.96,248.56,243.05,217.90,188.76,175.97,136.32,101.64,91.10,70.49,67.11,64.99,59.91,55.58,,,,
西藏自治区,9.28,8.37,7.78,7.47,6.22,6.35,5.61,5.69,5.11,4.61,0.10,0.60,0.36,0.35,0.65,0.64,,,,
陕西省,715.47,492.39,447.25,402.99,435.53,330.37,259.57,214.86,175.39,112.43,104.29,93.07,96.77,92.07,86.37,73.83,,,,
甘肃省,140.22,131.22,106.92,110.17,109.89,82.69,78.52,64.32,33.60,29.35,32.12,18.70,19.77,20.20,18.76,15.78,,,,
青海省,60.89,52.15,59.10,44.11,161.96,154.42,139.07,14.13,15.10,40.74,19.62,4.77,2.35,4.33,2.78,3.01,,,,
宁夏回族自治区,146.21,54.48,56.17,94.39,93.08,39.60,42.74,42.30,33.44,31.05,24.79,15.64,12.68,10.72,12.33,10.95,,,,
新疆维吾尔自治区,123.07,105.07,82.52,70.25,63.79,55.11,48.68,39.45,28.59,27.16,30.25,16.31,12.37,11.08,10.14,11.25,,,,
数据来源：国家统计局
