数据库：分省年度数据
指标：外商及港澳台商投资工业企业本年应交增值税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,231.52,231.08,194.61,172.33,170.76,137.29,112.26,103.18,87.10,73.27,63.20,56.12,45.44,47.82,34.21,26.71,,,,
天津市,438.49,550.12,378.02,298.07,282.16,133.55,108.42,90.47,76.80,63.65,54.19,41.06,39.11,49.29,33.86,29.99,,,,
河北省,110.46,116.30,121.67,125.57,117.63,130.64,134.54,105.98,89.20,66.21,52.03,29.76,23.29,15.84,14.16,12.26,,,,
山西省,40.44,42.26,44.68,40.13,30.96,29.90,35.76,28.88,19.58,14.71,12.44,9.12,7.76,5.30,2.73,1.83,,,,
内蒙古自治区,50.49,67.57,64.22,56.53,57.77,47.39,39.29,41.73,25.37,22.01,7.48,4.83,3.74,3.46,2.03,2.29,,,,
辽宁省,220.91,302.74,264.59,206.17,191.46,158.55,101.79,97.73,70.28,51.62,53.24,41.16,31.62,31.31,29.39,20.91,,,,
吉林省,72.88,85.22,65.41,131.63,109.05,83.30,26.58,51.72,36.56,33.24,24.72,23.44,28.25,24.42,18.30,9.80,,,,
黑龙江省,38.74,42.72,41.48,34.41,40.25,35.80,37.00,26.28,24.41,21.31,14.55,9.07,8.65,6.16,5.58,5.13,,,,
上海市,463.73,459.58,440.95,445.24,426.19,357.56,281.08,300.10,235.17,195.68,202.90,192.05,155.09,131.86,122.77,108.72,,,,
江苏省,1296.98,1240.71,1133.24,962.97,848.44,715.81,725.58,385.43,280.86,217.65,192.87,132.41,108.69,120.61,106.36,74.22,,,,
浙江省,429.44,427.00,399.64,398.21,344.93,269.01,259.10,215.43,163.36,133.35,127.48,79.35,58.76,46.56,40.53,32.21,,,,
安徽省,122.19,133.53,123.34,112.69,98.04,86.77,59.34,38.76,32.84,24.51,20.53,17.92,16.62,12.11,8.92,6.59,,,,
福建省,384.80,354.61,346.17,304.63,251.62,204.80,177.57,149.02,122.14,93.10,85.82,68.70,51.95,44.49,42.64,31.52,,,,
江西省,124.60,110.27,89.86,80.00,65.83,44.94,37.75,25.00,19.49,13.66,13.54,7.14,5.28,4.83,3.50,2.71,,,,
山东省,512.28,500.14,448.43,410.93,364.91,310.43,269.29,228.03,179.44,146.50,108.49,70.38,58.60,59.11,41.63,28.50,,,,
河南省,217.86,196.40,154.94,95.89,63.87,56.79,66.51,49.22,32.66,20.56,19.67,12.89,12.69,12.69,12.63,10.96,,,,
湖北省,265.10,214.70,157.03,144.49,127.57,102.28,119.64,77.09,54.37,49.98,27.04,21.62,21.53,18.09,19.37,8.92,,,,
湖南省,81.48,83.83,64.35,71.56,62.76,40.54,56.34,26.48,18.47,13.28,12.46,10.50,7.23,7.12,4.79,4.58,,,,
广东省,1315.54,1408.96,1222.78,1175.41,1104.93,815.39,1041.71,773.25,669.25,460.35,334.51,297.42,224.98,191.39,159.49,143.09,,,,
广西壮族自治区,98.72,86.10,84.76,72.50,66.02,54.58,40.44,40.07,28.50,22.34,15.85,14.50,10.97,8.77,6.29,5.18,,,,
海南省,20.62,21.68,26.46,27.29,32.45,21.80,11.95,18.18,9.80,3.92,2.96,2.28,2.12,1.80,1.53,1.83,,,,
重庆市,133.27,104.43,76.94,99.98,103.38,68.88,52.64,54.54,26.93,23.75,19.41,16.58,11.74,9.61,6.99,4.99,,,,
四川省,185.67,219.48,176.66,128.25,72.49,48.65,52.39,36.02,21.63,17.13,15.95,12.77,10.14,8.07,7.11,5.58,,,,
贵州省,10.51,8.68,7.00,4.82,5.30,3.94,4.75,3.73,2.60,1.77,2.55,1.19,1.06,1.02,0.97,0.68,,,,
云南省,17.90,19.34,18.44,19.75,18.45,16.74,14.52,14.76,11.25,8.97,7.00,4.81,4.03,3.81,3.41,2.71,,,,
西藏自治区,0.54,0.54,0.60,0.48,0.45,0.37,0.34,0.21,0.18,0.18,0.01,0.00,0.00,0.00,0.00,0.00,,,,
陕西省,51.96,48.61,42.45,41.74,41.49,41.62,32.24,24.35,15.36,11.44,11.06,9.28,9.00,8.47,7.72,6.84,,,,
甘肃省,3.23,3.67,3.67,4.35,3.02,4.10,4.68,4.14,3.02,2.43,2.73,0.97,1.21,1.14,0.94,0.87,,,,
青海省,1.21,4.64,1.09,1.07,10.71,6.07,7.02,1.13,0.72,1.53,1.34,0.35,0.18,0.14,0.05,0.04,,,,
宁夏回族自治区,3.98,2.95,2.55,3.00,3.79,2.50,2.82,3.09,2.38,1.43,1.07,0.64,0.65,0.68,0.70,0.68,,,,
新疆维吾尔自治区,5.54,5.48,5.29,4.74,4.38,4.08,3.53,2.69,2.25,2.00,1.57,0.70,0.50,0.41,0.29,0.44,,,,
数据来源：国家统计局
