数据库：分省年度数据
指标：外商及港澳台商投资工业企业出口交货值(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1097.42,1231.85,1221.44,1270.05,1402.29,1314.09,1541.93,1615.67,1318.67,963.62,565.90,331.10,264.60,243.46,198.18,,,,,
天津市,2251.14,2245.37,2229.76,1924.22,1769.31,1426.71,1933.48,2152.77,1724.96,1519.26,1284.19,796.04,664.44,497.96,438.09,,,,,
河北省,584.47,524.15,546.40,567.18,476.21,371.06,513.86,375.06,267.44,191.18,165.13,102.76,81.99,66.03,58.44,,,,,
山西省,448.61,395.27,306.07,86.49,65.35,60.75,79.92,69.21,52.99,35.89,34.43,19.16,11.31,4.42,5.49,,,,,
内蒙古自治区,41.32,48.08,40.83,61.48,42.42,28.56,62.89,53.28,67.96,60.75,35.59,26.94,20.22,19.08,21.90,,,,,
辽宁省,1624.24,1735.67,1648.07,1441.01,1567.27,1289.88,1446.36,1183.90,986.33,830.44,815.57,536.15,395.33,323.58,354.21,,,,,
吉林省,152.96,158.67,127.31,121.82,94.00,92.46,102.08,73.21,54.83,39.83,41.05,26.96,21.79,23.03,19.93,,,,,
黑龙江省,41.85,29.84,31.29,35.33,40.05,33.76,41.53,50.40,45.11,21.61,19.31,14.04,13.55,6.03,16.92,,,,,
上海市,6614.08,6803.79,7055.30,7309.37,7122.60,5582.68,6781.16,6500.63,5149.43,4415.29,3567.18,2301.18,1444.65,1121.44,1013.50,,,,,
江苏省,18138.00,18184.97,18642.94,17277.86,15190.24,12135.04,12606.05,9990.73,7767.30,6034.65,5311.30,2262.71,1604.81,1209.62,1119.40,,,,,
浙江省,4432.91,4281.68,4340.02,4650.60,4427.99,3591.05,4343.03,4127.42,3483.87,2520.33,2021.35,1077.77,793.63,639.99,488.08,,,,,
安徽省,655.28,361.30,290.93,411.12,265.36,198.20,183.85,196.42,150.65,105.88,83.48,45.39,31.32,29.11,39.53,,,,,
福建省,4691.09,4626.11,4376.86,4150.15,3647.42,2890.13,3097.66,2854.78,2453.85,2165.62,1970.82,1398.54,1049.53,847.33,777.88,,,,,
江西省,1008.28,829.19,787.67,749.85,599.50,449.73,356.58,248.84,166.40,89.72,78.12,16.52,9.11,7.21,6.33,,,,,
山东省,4080.38,3958.01,3571.87,3607.14,3475.58,3242.47,3432.83,2897.93,2245.48,1675.67,1353.56,928.36,672.06,544.87,481.70,,,,,
河南省,2402.83,1998.04,1372.85,651.26,148.76,119.28,138.68,115.65,100.15,84.20,61.62,41.08,34.23,25.58,24.18,,,,,
湖北省,363.85,540.04,672.67,531.64,429.83,234.57,242.17,227.88,193.25,114.87,83.37,43.32,40.43,25.26,19.26,,,,,
湖南省,382.09,462.31,308.00,113.71,75.58,51.69,79.97,75.64,63.11,52.24,54.38,29.46,19.79,14.53,6.96,,,,,
广东省,23747.32,22809.31,22008.35,21410.20,20509.40,16781.96,19673.01,18566.06,15437.60,12185.37,11254.58,7844.88,5770.91,4598.35,3860.38,,,,,
广西壮族自治区,431.38,351.07,282.09,266.16,187.66,103.87,122.15,92.71,61.09,51.26,37.59,25.10,16.46,14.71,11.80,,,,,
海南省,158.81,114.37,69.83,55.26,68.23,70.73,40.11,55.64,29.03,14.20,12.53,8.15,6.71,5.37,6.50,,,,,
重庆市,2181.79,1758.41,1256.60,548.52,118.15,51.07,64.67,53.78,44.03,28.24,22.31,14.24,8.45,7.88,8.90,,,,,
四川省,1332.43,2370.72,1547.58,1021.50,436.75,216.81,211.91,93.24,83.12,41.00,46.86,31.33,15.93,16.51,16.37,,,,,
贵州省,5.49,6.65,8.01,13.28,9.53,9.65,11.19,7.21,6.34,9.57,13.83,7.18,2.31,1.19,0.85,,,,,
云南省,15.68,14.98,14.63,13.30,15.51,13.97,21.76,38.70,16.85,14.54,10.49,5.91,5.80,5.34,3.70,,,,,
西藏自治区,0.00,0.00,,0.00,,0.01,,,0.00,,,0.01,0.02,0.03,0.04,,,,,
陕西省,133.39,76.24,78.72,79.76,66.10,63.37,60.81,51.93,24.90,17.84,15.95,6.43,7.84,7.14,7.87,,,,,
甘肃省,0.22,0.40,0.66,0.90,0.23,3.08,1.49,0.71,1.58,6.25,4.53,3.65,3.58,0.64,1.22,,,,,
青海省,0.00,0.00,,,,,2.83,0.98,0.12,0.38,0.66,0.26,,,,,,,,
宁夏回族自治区,13.61,11.82,10.73,9.68,7.77,8.49,13.40,10.57,9.59,9.04,8.83,8.64,4.52,4.11,3.20,,,,,
新疆维吾尔自治区,5.40,6.73,5.14,6.73,4.45,3.73,9.95,6.53,3.07,5.59,9.08,5.64,3.09,2.89,4.90,,,,,
数据来源：国家统计局
