数据库：分省年度数据
指标：外商及港澳台商投资工业企业个人资本金(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,34.98,27.97,22.77,18.39,12.65,11.36,10.02,8.15,7.79,7.77,10.33,2.27,2.45,1.40,1.20,,,,,
天津市,212.56,35.29,39.08,338.30,30.51,19.30,31.22,16.76,11.73,15.17,4.04,2.88,1.64,2.30,1.83,,,,,
河北省,28.84,26.79,23.47,19.25,28.31,17.71,35.78,25.90,20.28,17.75,14.10,13.10,7.30,8.20,7.61,,,,,
山西省,17.87,13.15,12.45,13.78,6.13,13.12,16.85,15.17,4.47,1.88,2.29,0.91,2.22,0.28,0.42,,,,,
内蒙古自治区,23.40,1482.51,18.47,11.89,18.54,8.52,13.74,6.35,3.71,4.39,4.32,3.57,2.81,2.17,1.33,,,,,
辽宁省,107.14,61.98,65.95,75.68,85.57,72.02,72.25,26.03,32.99,29.90,30.04,15.78,36.52,7.91,6.63,,,,,
吉林省,9.02,10.43,12.91,12.68,16.70,17.35,9.45,6.00,4.22,5.80,2.38,1.11,1.10,2.73,1.13,,,,,
黑龙江省,15.62,9.27,13.11,8.45,8.16,9.53,13.50,6.13,3.88,1.99,4.22,4.18,3.24,1.00,1.30,,,,,
上海市,106.58,100.49,85.50,77.47,63.89,46.66,52.10,52.74,39.64,43.37,41.18,29.59,29.00,28.46,27.94,,,,,
江苏省,448.07,391.76,302.92,289.42,250.64,224.11,187.61,126.03,106.70,78.19,57.50,42.29,30.84,21.69,17.62,,,,,
浙江省,148.75,175.12,189.21,175.78,184.79,165.73,175.25,140.77,125.78,107.83,111.16,58.77,39.25,27.17,22.29,,,,,
安徽省,30.16,38.08,18.01,36.10,26.74,14.83,11.25,12.33,14.33,12.02,4.08,4.71,3.52,1.36,1.27,,,,,
福建省,114.33,104.23,104.62,76.94,63.01,32.86,46.05,21.91,16.86,11.98,12.36,16.07,16.42,11.16,10.72,,,,,
江西省,40.58,39.12,24.14,17.00,6.02,8.35,7.43,6.21,5.20,6.02,9.37,1.82,1.64,2.70,1.90,,,,,
山东省,281.83,190.69,198.61,151.63,161.09,132.41,217.54,102.68,79.26,64.29,36.03,31.27,16.78,12.36,10.15,,,,,
河南省,96.27,75.76,39.49,50.65,35.85,35.89,30.62,37.75,20.90,12.28,6.42,3.90,2.25,1.88,1.66,,,,,
湖北省,32.01,26.51,21.90,20.16,23.56,21.98,19.62,13.33,10.76,5.75,4.32,2.34,2.44,1.99,2.94,,,,,
湖南省,29.39,24.10,25.26,26.13,28.39,24.02,19.29,17.38,9.82,6.18,3.51,2.84,3.72,1.07,0.66,,,,,
广东省,190.50,176.18,176.13,150.68,140.45,110.78,107.22,69.12,46.57,73.87,57.65,45.77,40.98,31.29,27.09,,,,,
广西壮族自治区,15.28,23.84,22.30,21.71,9.18,5.78,19.19,5.69,2.93,1.79,2.41,1.07,2.61,0.49,0.29,,,,,
海南省,1.97,2.54,1.61,1.36,1.26,0.93,0.29,0.32,0.44,0.18,0.02,0.12,0.07,1.20,1.27,,,,,
重庆市,20.06,23.57,21.93,22.02,14.71,15.22,10.63,7.00,2.80,2.44,1.42,0.80,0.77,0.83,1.05,,,,,
四川省,56.00,20.90,15.20,18.56,14.54,15.82,25.48,12.82,9.42,6.53,6.33,7.62,2.77,1.73,2.08,,,,,
贵州省,2.07,1.60,0.25,0.78,2.07,0.49,0.68,0.53,0.28,0.48,0.37,1.33,0.17,0.68,0.20,,,,,
云南省,5.65,5.52,9.72,8.03,8.83,4.48,5.77,3.99,3.00,2.67,3.80,2.44,3.78,0.80,0.75,,,,,
西藏自治区,0.00,0.00,,,,,,,0.00,,0.04,0.13,0.18,0.18,0.13,,,,,
陕西省,22.07,9.72,8.63,8.62,8.21,5.06,6.10,2.37,1.30,2.95,1.10,3.52,0.71,1.01,0.21,,,,,
甘肃省,1.60,1.18,1.22,0.68,1.37,0.82,1.26,0.23,0.21,0.17,0.27,0.41,0.38,0.31,0.16,,,,,
青海省,1.24,0.63,0.40,0.11,0.26,0.27,0.44,0.25,0.09,0.38,0.12,0.04,0.06,0.07,,,,,,
宁夏回族自治区,6.10,0.86,0.65,0.64,0.65,1.27,1.53,0.17,1.03,1.17,0.91,0.87,0.01,0.06,0.03,,,,,
新疆维吾尔自治区,0.27,0.26,5.62,2.11,1.81,1.66,1.58,0.58,0.71,0.52,1.59,0.50,0.48,0.39,0.37,,,,,
数据来源：国家统计局
