数据库：分省年度数据
指标：大中型工业企业应收帐款净额(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2496.46,2328.78,2137.02,1677.27,1296.45,1149.77,941.17,809.10,658.07,560.14,437.28,350.87,334.05,380.39,259.25,,,,,
天津市,2284.61,2242.38,2032.75,1801.67,1139.28,882.17,660.14,689.80,644.94,587.58,434.27,421.06,399.33,409.97,412.27,,,,,
河北省,1890.23,1790.49,1586.95,1421.53,1159.79,880.60,772.38,647.29,498.36,460.78,402.64,384.48,317.43,334.70,363.37,,,,,
山西省,1772.67,1482.93,1410.05,1216.88,915.97,659.84,625.90,519.66,394.67,357.02,270.95,222.89,181.08,201.85,221.81,,,,,
内蒙古自治区,1224.60,1118.57,955.49,682.43,702.73,445.52,372.35,359.68,205.49,164.03,133.90,103.65,102.18,88.45,96.85,,,,,
辽宁省,2340.63,2333.08,2103.78,1856.95,1629.51,1438.10,1159.93,963.32,875.86,667.45,603.25,540.17,524.21,547.13,626.43,,,,,
吉林省,842.95,848.99,652.20,556.09,423.74,397.58,375.67,332.27,328.80,289.53,224.80,237.96,227.69,271.35,311.88,,,,,
黑龙江省,870.33,784.08,797.90,633.92,554.91,505.79,484.98,375.08,314.54,271.56,272.58,272.00,362.69,396.58,393.46,,,,,
上海市,3898.12,3694.80,3404.16,3124.70,2759.01,2480.93,1928.08,2115.50,1666.10,1486.23,1281.02,965.65,857.07,837.50,863.20,,,,,
江苏省,10019.08,9266.22,8405.82,7647.64,6098.16,4775.46,4036.86,3849.28,3052.32,2528.53,1974.17,1507.83,963.56,883.70,718.32,,,,,
浙江省,4638.92,4349.44,3923.92,3641.40,3025.77,2481.36,2112.79,2135.67,1688.07,1333.96,1023.60,849.33,351.68,367.77,325.78,,,,,
安徽省,1846.22,1671.54,1312.69,1074.78,824.17,630.70,542.14,448.80,362.89,291.38,261.49,221.01,188.85,172.30,200.06,,,,,
福建省,2239.09,2126.44,1931.22,1593.61,1317.84,959.07,821.81,828.46,667.31,542.42,473.06,398.57,278.58,238.47,117.11,,,,,
江西省,935.42,692.24,556.49,482.11,335.37,260.91,235.65,217.94,162.29,140.71,96.93,105.06,160.64,140.99,133.13,,,,,
山东省,5313.30,4759.18,3965.06,3076.23,2415.82,1967.57,1693.08,1464.16,1309.49,1135.19,1004.78,837.87,648.27,641.68,635.95,,,,,
河南省,3320.99,2610.88,2141.10,1616.47,1204.20,979.09,808.43,766.77,621.86,522.73,466.26,417.65,324.78,347.67,369.06,,,,,
湖北省,2165.16,2029.28,1638.57,1231.17,1003.15,1538.88,641.81,543.18,476.64,441.35,367.64,368.38,394.79,382.19,434.75,,,,,
湖南省,1922.62,1759.06,1307.16,901.38,713.30,465.51,405.38,323.91,245.45,226.65,211.97,237.94,214.53,222.01,205.34,,,,,
广东省,10950.15,9561.14,9184.09,8377.28,7453.34,5905.22,5153.98,4824.58,4057.39,3311.53,2555.72,2007.00,1341.95,1100.03,963.14,,,,,
广西壮族自治区,829.21,763.33,630.81,503.42,375.38,273.00,243.94,200.85,143.74,133.78,128.33,113.08,114.27,108.55,113.12,,,,,
海南省,106.13,118.50,110.92,67.71,70.37,40.25,48.18,47.35,43.28,34.51,20.09,17.22,26.53,25.43,27.56,,,,,
重庆市,1331.78,1175.09,984.34,761.68,524.06,397.03,327.96,288.78,251.60,223.32,192.48,181.02,194.41,214.91,188.86,,,,,
四川省,2523.28,2461.39,1941.03,1612.43,1139.67,947.39,805.00,675.61,510.33,432.49,350.94,397.58,427.08,342.75,341.33,,,,,
贵州省,441.70,351.92,272.43,262.36,238.48,216.74,208.78,189.35,164.25,142.50,131.99,137.69,140.01,114.61,150.97,,,,,
云南省,467.35,537.20,507.35,405.58,342.96,310.54,252.04,199.48,190.53,142.58,112.58,109.59,133.52,144.66,106.76,,,,,
西藏自治区,7.22,4.94,5.62,4.73,4.46,2.90,3.38,2.60,2.34,2.41,1.87,3.43,2.92,3.34,3.99,,,,,
陕西省,1406.09,1259.81,1113.73,878.98,904.72,691.43,544.20,524.03,341.82,307.51,284.61,257.83,245.62,251.92,259.90,,,,,
甘肃省,408.52,318.80,282.13,252.45,211.24,168.51,163.61,138.63,126.36,106.40,114.50,131.40,99.43,108.81,139.04,,,,,
青海省,131.83,128.29,134.11,86.11,85.91,76.11,56.62,45.85,43.74,38.97,41.10,46.63,85.47,92.34,99.37,,,,,
宁夏回族自治区,259.24,217.09,198.05,152.18,120.33,87.55,78.21,58.61,57.01,48.79,43.47,50.23,49.92,58.25,59.85,,,,,
新疆维吾尔自治区,558.38,511.70,354.32,280.90,229.90,192.90,175.45,149.57,100.64,86.75,84.44,68.96,65.11,69.55,96.36,,,,,
数据来源：国家统计局
