数据库：分省年度数据
指标：大中型工业企业存货(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1563.60,1561.08,1477.47,1438.44,1248.55,1036.58,946.76,890.52,748.78,674.47,567.67,439.65,368.16,384.09,307.48,,,,,
天津市,2183.30,1898.29,1860.28,1713.75,1322.36,1049.66,985.61,782.40,650.03,540.22,431.56,371.75,323.93,330.12,333.95,,,,,
河北省,2909.91,2864.28,2715.65,2665.01,2245.62,1738.06,1643.57,1347.48,1037.07,913.84,786.88,589.97,404.31,412.82,400.03,,,,,
山西省,1561.36,1634.42,1576.77,1566.88,1364.86,1085.63,1185.28,953.70,757.79,606.44,458.21,327.59,215.53,212.38,218.83,,,,,
内蒙古自治区,1214.66,1165.87,1077.83,895.35,767.41,583.04,615.94,457.39,366.55,289.30,219.09,186.05,161.32,159.97,151.08,,,,,
辽宁省,3290.90,3356.57,3086.70,3041.93,2594.83,2325.23,1939.18,1678.22,1381.41,1214.23,1012.75,838.43,725.79,710.83,655.61,,,,,
吉林省,1270.93,1020.27,1021.66,961.92,858.33,561.51,623.06,534.23,396.49,395.71,318.64,355.31,290.08,284.55,278.76,,,,,
黑龙江省,1171.18,1202.90,1124.65,1050.94,937.52,798.94,730.87,642.24,564.34,542.63,427.56,341.08,358.64,355.75,338.99,,,,,
上海市,3122.82,3109.21,2936.91,3023.48,2603.40,2169.25,2201.77,2119.46,1712.04,1562.22,1382.42,1016.04,866.73,857.17,843.41,,,,,
江苏省,7880.16,7665.92,7185.85,6788.19,5463.31,4273.95,4094.99,3602.49,2861.19,2362.37,1987.61,1476.61,1059.68,981.07,799.15,,,,,
浙江省,4153.74,4228.76,4163.20,4090.72,3468.33,2744.72,2657.63,2410.26,1892.14,1544.08,1174.51,979.15,467.91,462.91,457.47,,,,,
安徽省,1882.76,1836.87,1650.70,1306.28,1265.40,908.37,779.79,657.61,537.91,463.17,418.26,327.87,268.18,247.10,223.12,,,,,
福建省,2330.86,2206.51,1987.86,1783.08,1426.42,1085.50,950.42,853.46,723.84,581.29,506.35,394.61,320.12,315.28,151.70,,,,,
江西省,1173.10,1117.66,1099.05,980.27,787.55,450.23,501.60,414.36,378.57,267.12,217.19,195.15,163.24,168.74,172.75,,,,,
山东省,7286.06,6766.09,6186.29,5471.20,4510.06,3368.32,3400.51,2871.58,2218.29,2060.70,1701.77,1286.39,1046.36,992.15,894.45,,,,,
河南省,3050.36,2835.75,2645.39,2137.73,1692.12,1456.92,1380.63,1183.13,928.56,805.27,688.10,576.80,454.38,442.74,387.26,,,,,
湖北省,2802.94,2669.26,2327.10,2049.78,1769.88,1351.11,1186.56,1012.22,777.73,693.02,611.69,449.70,449.22,389.41,405.95,,,,,
湖南省,1932.23,1745.09,1609.08,1405.96,1151.75,908.09,733.10,661.71,546.50,452.24,398.84,312.91,271.13,268.85,250.33,,,,,
广东省,8718.90,7954.22,7441.89,7349.19,6160.67,4758.62,4628.03,4228.23,3628.23,2900.76,2559.18,1839.28,1214.09,1156.77,1037.39,,,,,
广西壮族自治区,1275.49,1206.95,1145.39,983.55,787.26,577.04,537.61,410.02,294.08,240.56,215.19,161.23,163.61,161.08,153.74,,,,,
海南省,196.41,200.89,169.73,132.07,133.15,83.05,94.52,99.51,59.86,36.95,25.80,20.63,21.30,24.40,23.69,,,,,
重庆市,1101.03,1012.23,870.47,802.13,650.88,501.21,497.30,418.43,329.21,287.37,261.85,208.25,188.28,181.86,170.06,,,,,
四川省,2814.50,2699.37,2493.78,2419.17,1949.45,1415.06,1364.43,1102.35,889.36,771.17,621.32,561.61,477.64,463.94,406.59,,,,,
贵州省,774.93,647.86,561.79,543.64,442.23,378.62,382.71,294.01,243.79,214.29,172.49,143.33,129.96,145.20,150.16,,,,,
云南省,1705.02,1574.68,1414.18,1260.98,966.79,788.96,737.65,637.38,568.17,436.62,368.40,367.55,286.39,268.99,121.58,,,,,
西藏自治区,11.01,9.98,5.72,6.19,6.68,3.63,3.45,4.25,3.11,2.76,2.27,2.45,1.38,1.27,1.47,,,,,
陕西省,1768.97,1697.84,1568.44,1417.98,1125.24,905.60,826.92,665.96,568.15,447.12,368.81,317.77,289.23,272.98,250.11,,,,,
甘肃省,1304.96,1452.81,1255.13,1066.18,891.09,671.85,554.05,417.65,337.23,253.50,231.66,208.08,158.27,155.80,144.91,,,,,
青海省,229.32,227.77,207.91,188.96,175.57,126.31,110.65,80.71,68.40,49.00,47.27,40.34,36.26,36.50,36.01,,,,,
宁夏回族自治区,538.83,468.95,378.42,349.87,254.45,200.92,173.05,112.49,93.61,86.28,63.77,52.77,56.11,52.03,45.30,,,,,
新疆维吾尔自治区,843.85,950.68,747.10,661.82,484.25,418.48,357.98,296.15,226.47,184.84,167.37,119.01,102.69,111.04,106.94,,,,,
数据来源：国家统计局
