数据库：分省年度数据
指标：大中型工业企业固定资产合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5623.41,5428.93,5323.27,4556.15,4817.59,4238.14,4172.95,3918.95,3131.49,2722.26,2430.79,1540.57,1443.58,1544.54,1420.83,,,,,
天津市,6779.03,6539.13,6050.32,5276.98,4691.76,3909.97,3015.27,2448.47,2163.31,1815.64,1576.30,1445.42,1584.97,1562.56,1436.20,,,,,
河北省,14788.68,12570.45,12045.75,10113.52,9115.69,7880.29,6127.63,5054.84,4501.46,3761.26,3198.59,2791.44,2324.67,2249.97,2089.78,,,,,
山西省,10657.13,9304.18,8178.74,7854.39,6613.33,5762.34,5183.88,4588.84,3880.13,3090.71,2463.82,2037.99,1446.08,1332.68,1168.15,,,,,
内蒙古自治区,8672.81,7961.89,6870.44,6043.68,5385.96,3994.57,3024.25,2247.18,2110.63,1662.09,1367.10,889.13,974.51,943.06,879.09,,,,,
辽宁省,9533.76,10105.70,8676.11,8441.99,8481.96,7874.67,6983.32,5537.97,5175.40,4486.60,4090.47,3309.07,3573.53,3463.49,3088.51,,,,,
吉林省,5325.30,4537.44,4223.02,3563.68,3175.18,3023.01,2652.35,2202.71,2036.62,1780.85,1553.77,1398.30,1399.09,1355.59,1312.53,,,,,
黑龙江省,5296.72,5101.86,4904.42,4591.65,4393.50,4033.77,3256.85,3085.27,2657.42,2391.50,2317.35,2105.22,2137.65,2079.14,2049.76,,,,,
上海市,6340.94,6547.28,6411.01,6522.13,6224.10,6259.78,6028.91,5373.64,5069.75,4652.93,4067.12,3412.19,3447.44,3307.32,3104.17,,,,,
江苏省,23839.01,21992.99,19967.80,17772.60,16662.03,13724.24,13044.72,10741.49,9008.18,7576.91,6258.92,4857.72,3852.87,3550.49,2764.52,,,,,
浙江省,9932.19,8979.01,8691.51,8871.03,8182.38,7517.01,6844.28,5843.36,4696.78,4278.92,3657.03,2552.07,1810.47,1760.27,1683.89,,,,,
安徽省,7863.34,7987.88,7179.75,6081.64,5291.11,4292.97,3631.92,2799.88,2422.90,1893.52,1693.35,1527.03,1260.93,1145.05,1130.56,,,,,
福建省,6594.77,5422.95,4756.83,4425.24,3727.97,3321.43,2742.95,2370.87,2044.43,1769.07,1602.35,1335.81,1292.03,1253.51,629.03,,,,,
江西省,4638.50,4245.77,3710.34,3163.51,2622.47,2087.61,1734.67,1393.31,1185.70,1079.38,886.95,833.16,721.14,701.95,676.01,,,,,
山东省,23805.23,21564.47,19019.97,18114.38,16427.61,14433.56,12242.67,10947.66,9036.83,7579.26,6693.02,5409.75,4290.43,4010.18,3689.03,,,,,
河南省,15690.43,13227.68,11488.83,10211.92,8638.50,7615.43,6143.53,5238.20,4406.65,3737.34,3211.25,2689.50,2101.28,1826.57,1718.43,,,,,
湖北省,8988.43,8968.02,8561.33,8402.53,7735.84,7566.57,6578.87,5173.99,4277.04,3828.82,3057.32,3081.57,2009.09,1890.54,1836.70,,,,,
湖南省,5930.46,5415.96,4874.32,4500.10,4048.64,3376.13,2738.15,2309.51,1962.70,1571.71,1408.69,1270.24,1133.06,1086.22,980.78,,,,,
广东省,17628.99,17367.58,16526.11,15746.47,16522.01,12190.57,10694.14,9418.02,8269.74,6552.11,5616.55,5252.96,4698.03,4176.90,3750.43,,,,,
广西壮族自治区,4101.11,3887.19,3634.98,2949.12,2662.89,2135.79,1694.36,1346.26,1189.29,1052.14,893.04,795.23,828.61,789.71,771.33,,,,,
海南省,761.50,686.59,556.16,473.53,508.14,444.90,444.31,408.97,393.30,307.21,177.57,112.27,142.08,149.71,155.20,,,,,
重庆市,4418.86,3904.22,2997.56,2627.29,2450.23,1941.11,1661.67,1428.59,1215.42,1008.40,874.16,812.91,755.78,737.33,711.00,,,,,
四川省,10754.41,10025.21,8191.32,7205.78,6293.32,5371.55,4095.53,3527.43,2891.73,2590.75,2277.48,2250.01,2066.98,1944.81,1850.24,,,,,
贵州省,3585.86,3102.69,2815.37,1887.56,2492.50,2345.38,1890.43,1445.63,1464.40,1217.74,1070.20,734.36,667.84,615.74,553.35,,,,,
云南省,4959.72,4377.42,3730.12,3320.75,3240.40,2651.86,1856.73,1879.39,1438.13,1158.49,1053.84,1000.36,1023.06,913.85,748.33,,,,,
西藏自治区,274.31,218.94,194.36,139.79,133.49,101.23,83.94,87.05,19.68,20.37,15.10,11.63,4.59,3.96,4.07,,,,,
陕西省,9939.89,6966.42,8259.95,6661.64,4262.79,4909.98,3927.61,3357.55,2634.86,2243.74,1927.40,1602.94,1304.79,1174.79,1057.16,,,,,
甘肃省,3836.16,3401.81,3020.10,2612.42,2568.74,2102.90,1684.86,1513.98,1445.21,1071.15,1100.64,1006.62,754.61,710.10,693.67,,,,,
青海省,2168.36,1860.50,1713.90,1211.45,1458.56,1241.74,1089.66,812.23,753.59,671.76,546.79,342.23,415.85,373.11,362.58,,,,,
宁夏回族自治区,2204.44,2016.05,1993.24,1690.92,1202.26,980.72,854.11,678.30,578.66,495.90,360.91,337.38,278.86,237.60,199.30,,,,,
新疆维吾尔自治区,6825.26,5850.63,4623.86,4068.75,3581.43,3046.30,2196.09,2123.35,1734.26,1478.04,1315.95,1148.09,979.84,946.31,864.36,,,,,
数据来源：国家统计局
