数据库：分省年度数据
指标：大中型工业企业流动负债合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,8838.67,8192.23,7293.63,5992.47,5272.55,4279.19,3977.33,3469.22,2799.68,2259.97,1904.86,1421.09,1213.85,1283.79,1021.09,,,,,
天津市,9481.83,9058.37,8379.73,7312.81,5334.54,4898.36,3745.53,3043.03,2475.19,2039.74,1550.58,1354.01,1344.61,1236.48,1154.59,,,,,
河北省,14648.61,13605.35,12371.51,11059.95,8989.25,7389.50,6358.26,4929.00,4071.86,3391.00,2836.77,2270.36,1727.28,1617.84,1453.32,,,,,
山西省,12797.70,11402.00,10520.14,9371.68,7233.40,5982.67,5450.98,4260.74,3364.34,2645.89,1979.47,1413.08,882.81,805.71,730.91,,,,,
内蒙古自治区,7723.92,6730.55,5828.95,4776.21,3730.73,2947.00,2338.78,1777.57,1480.89,1133.13,953.86,613.21,584.47,497.12,473.09,,,,,
辽宁省,12470.13,12783.97,11113.24,10288.66,9331.80,8221.30,7224.23,5842.09,4610.99,4002.55,3528.31,2924.72,2706.67,2527.98,2338.83,,,,,
吉林省,5005.16,4731.41,4021.67,3568.98,2968.26,2418.11,2222.38,2011.52,1764.98,1683.33,1311.46,1357.28,1250.53,1147.56,1141.90,,,,,
黑龙江省,4850.89,4672.02,4493.53,4187.65,3488.88,3016.24,2787.85,2356.35,1998.38,1919.02,1693.22,1462.99,1471.18,1468.18,1347.29,,,,,
上海市,11287.46,11108.09,10145.26,9991.40,8841.39,7543.87,6716.91,6431.80,5217.89,4658.60,4183.37,3285.31,2908.63,2651.10,2631.34,,,,,
江苏省,32068.09,30764.74,27880.08,26014.46,21298.71,17242.58,15603.15,13494.26,10706.97,9093.94,7471.29,5801.60,3773.34,3339.78,2738.75,,,,,
浙江省,16691.34,16595.50,15730.64,15188.53,12936.13,10725.74,10170.87,9044.65,6967.59,5699.83,4111.25,3476.69,1548.94,1415.24,1383.87,,,,,
安徽省,8274.56,7898.26,6979.07,5949.63,5018.42,3702.47,3105.46,2542.79,1949.70,1691.37,1420.42,1239.59,973.11,833.19,797.37,,,,,
福建省,7985.75,7201.97,6285.54,5387.80,4379.71,3478.37,3122.27,2942.36,2339.28,1844.10,1635.05,1259.87,955.65,858.44,422.94,,,,,
江西省,4630.49,4153.49,3757.06,3305.01,2765.57,2106.88,1603.19,1531.98,1220.68,1017.24,832.10,767.00,616.33,583.73,564.13,,,,,
山东省,29544.69,26836.72,23731.80,21003.20,17191.55,13784.09,12361.36,10568.29,8872.93,7541.69,6440.09,4969.15,3671.62,3299.62,2995.10,,,,,
河南省,14275.92,12562.97,11032.22,9188.23,7489.02,6363.82,5843.09,4852.53,3906.86,3350.02,2762.88,2391.39,1729.39,1505.65,1405.82,,,,,
湖北省,10218.85,10398.35,9505.39,8592.73,7487.41,6116.76,4569.63,3420.40,2611.60,2468.23,2069.59,1736.11,1579.56,1438.46,1360.24,,,,,
湖南省,5863.97,5518.80,5033.55,4445.03,3608.23,2732.32,2335.86,1867.01,1561.24,1311.76,1175.31,1033.60,927.05,855.53,773.01,,,,,
广东省,31372.84,27834.00,26077.43,24785.98,20817.98,16522.60,14988.33,13214.83,10862.85,8930.17,7480.39,5790.84,4306.37,3914.34,3416.28,,,,,
广西壮族自治区,4975.80,4777.96,4027.27,3458.35,2768.53,2119.75,1774.89,1346.73,1041.43,861.10,747.39,623.84,605.32,578.11,587.84,,,,,
海南省,699.33,666.54,610.72,484.12,493.95,378.00,381.04,278.86,183.15,153.39,104.70,83.88,91.20,93.80,103.82,,,,,
重庆市,5527.48,5168.40,4178.58,3410.90,2716.70,2038.47,1775.23,1543.18,1271.76,1097.36,987.98,861.23,756.34,741.06,709.37,,,,,
四川省,11425.85,10228.02,9429.04,8752.14,6872.76,5157.21,4462.80,3496.33,2762.09,2464.06,2126.62,1874.30,1585.30,1466.63,1285.79,,,,,
贵州省,3370.92,2883.08,2355.42,2092.61,1631.24,1519.67,1408.93,1051.01,926.14,848.98,713.01,564.92,468.77,451.01,468.65,,,,,
云南省,4387.46,4251.29,4010.32,3315.57,2617.07,2189.92,2031.23,1617.95,1353.40,1049.88,895.71,814.14,772.35,727.04,511.84,,,,,
西藏自治区,89.93,69.90,67.70,33.85,37.57,20.60,18.12,18.31,12.13,8.42,7.09,8.21,4.94,3.28,3.14,,,,,
陕西省,8241.41,7374.85,6804.71,5808.45,4639.70,3800.36,3121.63,2584.61,2105.03,1680.96,1431.56,1181.78,991.39,933.48,855.98,,,,,
甘肃省,3583.79,3300.22,2965.64,2602.07,2089.64,1578.09,1330.93,1197.48,1051.97,757.93,747.20,680.89,553.16,498.10,467.38,,,,,
青海省,1527.48,1319.63,1184.96,911.92,882.20,717.61,564.98,486.38,385.68,335.41,284.67,232.49,207.60,186.06,190.40,,,,,
宁夏回族自治区,2366.98,1906.88,1564.93,1279.35,947.37,780.47,637.78,453.41,382.55,332.40,262.07,256.27,190.90,179.44,154.14,,,,,
新疆维吾尔自治区,5021.68,4256.78,3105.31,2481.86,1683.44,1483.67,1320.54,1021.46,798.71,777.93,716.47,542.91,471.64,465.08,447.72,,,,,
数据来源：国家统计局
