数据库：分省年度数据
指标：大中型工业企业实收资本(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5689.42,5529.51,5893.27,5508.10,4919.02,4689.14,4477.71,4031.23,4002.92,3885.42,3790.62,1010.06,998.92,959.75,761.05,,,,,
天津市,3396.83,3123.86,3028.39,2614.70,2374.64,1986.89,2150.32,1680.48,1420.08,1284.51,1116.43,842.96,979.28,927.59,795.69,,,,,
河北省,4758.36,4416.57,4130.30,3724.42,3247.18,2856.02,2388.76,2020.66,1851.24,1502.73,1373.89,1261.05,911.37,912.55,893.22,,,,,
山西省,3334.59,3251.51,3043.46,2733.80,2494.29,2201.45,1958.30,1597.04,1376.44,1153.93,1082.52,916.31,732.17,609.57,493.15,,,,,
内蒙古自治区,3536.24,2971.01,2675.60,2286.03,1974.41,1559.07,1359.66,1114.75,883.07,769.41,671.43,536.09,550.91,492.11,437.24,,,,,
辽宁省,5060.21,4994.98,4599.30,4413.16,4001.97,3987.07,3658.35,2735.46,2551.74,2408.23,2451.48,1763.21,1703.09,1635.55,1458.65,,,,,
吉林省,1565.75,1523.06,1402.41,1449.91,1253.08,1339.49,1732.59,1219.95,1051.87,937.37,984.23,668.01,649.96,679.22,587.39,,,,,
黑龙江省,1692.23,1587.60,1696.15,1652.00,1550.71,1432.91,1665.98,1560.23,1413.36,1281.57,1331.07,1231.55,1230.15,1039.41,1066.59,,,,,
上海市,4952.91,5035.06,4965.23,4638.49,4237.94,4169.70,3926.82,3699.50,3466.72,3186.61,2787.20,2483.99,2552.89,2721.66,2411.13,,,,,
江苏省,13412.90,12506.43,11525.23,10307.77,9111.43,7707.91,7075.30,5822.93,4665.45,3962.63,3369.82,2687.72,2123.40,2021.35,1434.33,,,,,
浙江省,5937.32,5649.14,5220.19,4983.24,4428.25,3804.64,3597.39,3223.87,2628.39,2263.73,1758.81,1575.83,865.89,868.06,834.22,,,,,
安徽省,3363.82,2964.11,2646.75,2199.19,1868.39,1466.39,1346.19,1060.47,978.12,885.13,823.18,827.40,726.27,640.14,571.88,,,,,
福建省,3797.41,3518.52,3011.75,2763.32,2270.49,1998.65,1897.61,1588.33,1262.98,1086.16,967.15,792.37,698.27,660.59,271.35,,,,,
江西省,1960.04,2307.94,1637.47,1311.46,980.57,753.87,707.51,632.44,503.22,467.97,509.82,380.36,343.17,337.58,271.74,,,,,
山东省,8342.37,7787.50,7412.37,6384.24,5465.15,4920.20,4699.13,3555.55,3157.13,2926.75,2777.62,2401.21,1986.41,1953.58,1723.62,,,,,
河南省,6952.72,5961.89,4659.17,4062.50,3182.90,2894.72,2778.11,1914.46,1781.10,1492.56,1358.95,1210.32,957.92,765.67,704.37,,,,,
湖北省,3519.65,3464.85,3194.12,2836.09,2466.85,3572.06,3130.62,2469.96,2083.52,1972.92,1820.16,1259.77,1030.95,990.44,875.09,,,,,
湖南省,2527.64,2243.80,1857.58,1593.65,1292.94,1004.29,1036.44,785.45,766.86,624.84,668.82,532.60,466.80,438.71,374.28,,,,,
广东省,11841.95,11565.73,12186.30,10628.53,9373.91,8431.84,8039.38,6798.47,5948.11,4399.67,3916.83,3135.60,2767.96,2329.25,2005.07,,,,,
广西壮族自治区,1715.89,1598.46,1465.53,1252.98,1027.90,778.28,713.62,546.42,486.68,429.21,390.61,313.28,334.87,318.18,297.92,,,,,
海南省,411.57,395.12,379.10,296.40,345.76,284.41,246.07,221.67,200.58,149.57,102.92,92.64,109.68,105.16,91.38,,,,,
重庆市,1530.39,1468.33,1349.78,1238.75,1030.07,889.85,785.36,660.87,612.35,548.92,528.18,483.39,474.61,461.18,442.42,,,,,
四川省,3613.91,3682.65,2957.62,2950.68,2883.62,1960.51,2147.60,1431.83,1167.22,1103.25,993.34,959.10,867.16,729.06,751.59,,,,,
贵州省,1209.64,1041.36,926.39,886.99,774.49,808.52,626.44,463.68,469.48,406.29,465.21,420.14,287.70,315.53,231.23,,,,,
云南省,1841.42,1525.16,1309.94,1208.73,1078.49,1022.10,946.39,876.29,697.38,540.46,486.70,447.77,452.69,370.91,286.89,,,,,
西藏自治区,90.22,90.70,66.31,56.69,61.78,42.34,42.33,42.77,13.78,11.99,9.45,12.33,4.81,4.66,5.54,,,,,
陕西省,4904.61,4380.52,3832.41,3129.70,1629.76,1604.19,1948.33,1143.35,916.56,800.07,686.59,606.78,522.55,653.41,504.39,,,,,
甘肃省,1624.11,1425.75,1394.15,1323.70,1081.46,1084.16,1130.72,940.89,789.62,710.93,696.15,494.52,364.31,296.82,299.75,,,,,
青海省,539.05,524.25,432.28,364.40,384.41,323.52,262.16,234.53,203.47,195.62,158.63,195.15,159.97,112.19,99.52,,,,,
宁夏回族自治区,893.63,703.18,656.03,561.99,494.13,409.00,319.39,253.99,234.11,185.48,152.66,141.67,128.95,100.33,98.19,,,,,
新疆维吾尔自治区,3687.97,3199.73,2886.43,2712.94,2073.66,1964.99,1740.65,1450.99,1105.73,839.51,593.47,551.77,462.71,391.66,330.64,,,,,
数据来源：国家统计局
