数据库：分省年度数据
指标：大中型工业企业所有者权益合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,13994.74,12705.37,11949.43,11088.99,9592.86,8225.17,7478.08,8518.03,7569.89,7184.32,6827.31,1759.27,1558.06,1546.07,1187.63,,,,,
天津市,7079.86,5992.04,5505.33,5041.71,4181.51,3216.22,2908.17,2414.94,2210.45,1886.65,1661.87,1379.59,1432.99,1343.49,1207.08,,,,,
河北省,12605.36,10834.76,9863.24,8733.49,7097.44,6000.57,5052.15,4335.78,3385.93,2812.37,2440.25,2107.39,1547.54,1467.78,1493.83,,,,,
山西省,6661.25,6776.47,6628.29,6380.24,5484.78,4418.22,3757.71,3003.79,2316.89,1791.27,1680.95,1358.04,1011.24,865.77,792.44,,,,,
内蒙古自治区,7384.44,6790.34,6141.31,5438.69,4584.40,3259.53,2743.71,2220.22,1597.51,1261.05,1013.68,754.49,740.52,676.13,621.01,,,,,
辽宁省,10143.94,10206.28,9180.03,8406.45,7529.34,6815.16,5973.66,5126.57,4394.64,3715.13,3587.59,2999.36,2837.12,2752.47,2386.85,,,,,
吉林省,4990.58,4510.97,4275.96,3607.70,3083.21,2368.39,2520.02,2002.39,1983.53,1476.38,1471.28,1144.94,993.51,1034.47,953.14,,,,,
黑龙江省,4805.07,4528.48,4393.85,4207.44,3777.98,3130.43,2882.07,2458.62,2237.41,1992.27,1918.55,1728.14,1698.85,1557.46,1556.33,,,,,
上海市,13342.05,12573.02,11777.74,10695.77,9421.18,8233.87,7541.95,7341.45,6645.84,5796.42,5089.11,4380.12,4210.80,4589.08,3873.69,,,,,
江苏省,30715.57,27589.75,24778.45,22232.05,18592.97,14371.55,12684.21,10254.73,8361.29,6855.82,5603.26,4560.90,3577.27,3238.43,2538.40,,,,,
浙江省,15474.60,14337.59,13371.65,12404.50,10706.63,8453.11,7524.28,6841.41,5676.27,4836.16,3605.16,3365.41,1962.66,1822.82,1660.09,,,,,
安徽省,7678.03,6915.43,6070.87,5166.44,4198.05,3187.44,2723.82,2162.16,1802.78,1524.71,1401.90,1205.56,1036.56,900.98,866.22,,,,,
福建省,8353.99,7534.72,6626.65,6124.40,4777.87,3830.34,3312.18,2768.71,2319.28,2009.10,1722.71,1335.28,1037.66,962.18,495.63,,,,,
江西省,4808.28,4084.26,3543.44,2962.54,2207.95,1659.05,1511.71,1233.01,897.80,733.24,638.28,550.90,504.30,495.69,434.20,,,,,
山东省,26372.56,23195.76,21312.36,18695.74,16498.61,14146.91,11924.45,9883.14,7854.56,6671.89,5817.19,4739.36,3689.33,3372.30,2895.29,,,,,
河南省,17074.14,13863.35,11075.35,9041.78,7010.38,5840.07,5108.11,4265.69,3211.39,2647.59,2342.23,1901.28,1473.68,1295.69,1191.83,,,,,
湖北省,9965.19,9137.84,8167.05,7106.78,6413.04,6962.77,6000.26,4249.93,3482.50,3174.22,2608.12,2322.62,1611.32,1573.84,1400.30,,,,,
湖南省,6205.50,5553.39,4693.27,4073.58,3307.49,2361.86,2294.20,1879.97,1481.73,1148.03,1100.12,916.08,758.69,731.86,630.08,,,,,
广东省,26205.98,24693.68,22856.92,21313.15,20392.73,14787.37,13480.48,12075.81,10415.34,7651.77,6717.83,5700.72,4864.69,4309.51,3567.76,,,,,
广西壮族自治区,3818.95,3560.18,3108.98,2683.89,2166.28,1591.65,1381.68,1196.35,939.00,820.57,741.30,539.03,494.06,488.70,412.74,,,,,
海南省,775.30,746.54,719.20,556.64,592.71,401.35,362.58,308.62,239.92,228.57,129.91,118.20,142.10,114.19,102.33,,,,,
重庆市,4173.30,3594.09,3046.78,2768.07,2352.81,1846.35,1621.67,1387.03,1177.13,997.02,876.04,757.38,672.50,636.03,553.33,,,,,
四川省,10347.66,9812.37,7651.59,7446.71,5935.53,4848.37,4315.03,3396.35,2566.51,2116.05,1766.31,1821.40,1637.34,1480.01,1301.09,,,,,
贵州省,2996.20,2503.06,2104.06,1936.72,1608.63,1312.93,1256.20,1041.83,888.60,778.14,689.63,611.20,508.02,490.13,343.97,,,,,
云南省,4598.19,4113.88,3756.13,3384.55,3000.21,2640.10,2405.18,2196.12,1793.10,1516.19,1319.84,1143.32,1096.09,969.78,765.77,,,,,
西藏自治区,294.85,274.08,252.91,175.26,160.25,122.77,106.95,107.24,23.19,20.05,18.87,19.51,12.37,11.06,11.91,,,,,
陕西省,9178.74,8198.42,7438.82,6372.82,5153.00,4280.44,3780.28,2787.31,2139.75,1647.31,1318.04,1140.14,826.57,769.49,654.59,,,,,
甘肃省,3029.55,2783.18,2640.27,2232.28,1903.39,1704.53,1691.81,1327.21,1122.81,839.98,709.65,650.27,534.38,457.69,436.25,,,,,
青海省,1312.57,1206.59,1098.85,958.57,914.18,719.49,624.96,513.83,390.69,314.11,233.94,236.22,214.18,167.29,159.58,,,,,
宁夏回族自治区,1725.67,1502.50,1322.86,1177.63,947.30,753.14,590.96,474.00,399.04,333.79,229.52,222.14,201.32,189.91,154.44,,,,,
新疆维吾尔自治区,4799.81,4454.85,4070.28,3635.53,3223.89,2401.05,2302.93,1835.10,1379.66,1148.41,983.02,828.96,638.71,588.60,517.77,,,,,
数据来源：国家统计局
